run,boundary_case,count
deepseek_rep1,MISSING,67
deepseek_rep1,clear_exclude,24
deepseek_rep1,thin_abstract_boundary,10
deepseek_rep1,wrapper_boundary,8
deepseek_rep1,clear_include,4
deepseek_rep1,biological_token_only_boundary,1
deepseek_rep1,text_component_boundary,1
deepseek_rep1,generative_boundary,1
deepseek_rep2,MISSING,59
deepseek_rep2,clear_exclude,26
deepseek_rep2,wrapper_boundary,10
deepseek_rep2,thin_abstract_boundary,10
deepseek_rep2,clear_include,9
deepseek_rep2,text_component_boundary,2
deepseek_rep3,MISSING,66
deepseek_rep3,clear_exclude,20
deepseek_rep3,wrapper_boundary,10
deepseek_rep3,thin_abstract_boundary,10
deepseek_rep3,clear_include,8
deepseek_rep3,generative_boundary,1
deepseek_rep3,biological_token_only_boundary,1
gptoss_rep1,MISSING,86
gptoss_rep1,clear_exclude,12
gptoss_rep1,clear_include,9
gptoss_rep1,wrapper_boundary,5
gptoss_rep1,thin_abstract_boundary,3
gptoss_rep1,none,1
gptoss_rep2,MISSING,92
gptoss_rep2,clear_exclude,11
gptoss_rep2,thin_abstract_boundary,5
gptoss_rep2,clear_include,4
gptoss_rep2,wrapper_boundary,3
gptoss_rep2,none,1
