cluster_id,title,doi,preprint_doi,pmid,arxiv_id,url,year,venue,abstract,sources,deepseek_current_rep1,deepseek_current_rep2,gpt_oss_current_rep1,gpt_oss_current_rep2,nemotron_current_rep1
3732,"Entropy, Disagreement, and the Limits of Foundation Models in Genomics",,,,2604.04287,,2026.0,,"Foundation models in genomics have shown mixed success compared to their counterparts in natural language processing. Yet, the reasons for their limited effectiveness remain poorly understood. In this work, we investigate the role of entropy as a fundamental factor limiting the capacities of such models to learn from their training data and develop foundational capabilities. We train ensembles of models on text and DNA sequences and analyze their predictions, static embeddings, and empirical Fisher information flow. We show that the high entropy of genomic sequences -- from the point of view of unseen token prediction -- leads to near-uniform output distributions, disagreement across models, and unstable static embeddings, even for models that are matched in architecture, training and data. We then demonstrate that models trained on DNA concentrate Fisher information in embedding layers, seemingly failing to exploit inter-token relationships. Our results suggest that self-supervised training from sequences alone may not be applicable to genomic data, calling into question the assumptions underlying current methodologies for training genomic foundation models.","['arxiv', 'semantic_scholar']",UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,EXCLUDE
3737,Integrating multimodal health datasets with AI-driven epidemiological modeling to accurately forecast infectious disease transmission across populations,10.30574/msabp.2026.17.2.0024,,,,,2026.0,Magna Scientia Advanced Biology and Pharmacy,"The accelerating frequency and scale of infectious disease outbreaks underscore the urgent need for more reliable forecasting methods to strengthen global health resilience. Traditional epidemiological models, while valuable, often rely on limited and siloed datasets that fail to capture the multifactorial dynamics of disease transmission. Recent advances in Artificial Intelligence (AI) offer opportunities to overcome these limitations by integrating multimodal health datasets encompassing clinical records, genomic information, behavioral data, environmental exposures, and mobility patterns. This integration expands the analytical depth of epidemiological modeling, enabling more accurate detection of early outbreak signals and enhancing the capacity to predict transmission pathways across diverse populations. AI-driven approaches, including machine learning, deep learning, and hybrid ensemble techniques, provide the computational power to identify complex, non-linear relationships in large-scale health data. By combining multimodal inputs with epidemiological modeling, these systems can account for heterogeneous risk factors such as social determinants of health, co-morbidities, and population density. Beyond forecasting, such integrated frameworks support decision-making in real time, informing public health interventions such as vaccination campaigns, resource allocation, and quarantine strategies. However, challenges remain, particularly in ensuring data interoperability, managing privacy concerns, and addressing algorithmic bias that could reinforce existing inequities in healthcare delivery. This paper proposes a structured framework for integrating multimodal health datasets with AI-driven epidemiological modeling, emphasizing accuracy, equity, and ethical governance. By narrowing the scope from broad health system complexity to targeted AI-enabled modeling, the discussion illustrates how this convergence can revolutionize infectious disease surveillance and ultimately improve global preparedness for future pandemics.",['semantic_scholar'],EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN
3747,Abstract 2754: VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer.,10.1158/1538-7445.am2026-2754,,,,,2026.0,Cancer Research,"Understanding the tumor microenvironment requires models that resolve cellular heterogeneity across molecular and spatial modalities. With the expansion of spatial transcriptomics, single-cell RNA-seq, and high-resolution histopathology imaging, there is a need for a unified foundation model that jointly interprets gene expression, spatial context, and visual tissue features. We developed a multimodal large language model (LLM) that integrates these modalities into a single adaptive framework handling heterogeneous inputs—including gene expression profiles, spatial transcriptomics spots, single-cell measurements, and histology patches—while generating harmonized outputs such as genes, cell types, and image-derived descriptors.
 
 
 
 We built a multimodal LLM within a Vision-Gene-Language (VGL) framework that integrates gene expression, histology images, and biological language representations. The model is based on MedGemma-4b-it and was fine-tuned using QLoRA for parameter-efficient training. Training used 5.2 million multimodal samples of H&E patches paired with highly variable gene expression profiles from non-small cell lung cancer, totaling 1,745,240 cells and spatial spots across scRNA-seq and spatial transcriptomics platforms (Visium, Xenium). The model was trained using multi-task learning across five canonical tasks spanning image-to-gene, gene-to-cell type, and cell type-to-gene objectives with task-specific ratio scheduling on 4 x H100 GPUs. We evaluated performance on cell type classification from gene expression profiles across 12 major immune and stromal cell types.
 
 
 
 The trained VGL model achieved 70.07% accuracy on the held-out test set (n=20,764) for predicting cell types from gene expression profiles, compared to 16.32% accuracy for the naive pre-trained model, a 4.3-fold improvement. Validation performance was similar (69.85% accuracy, n=41,529), indicating robust generalization. These gains demonstrate the value of a multimodal LLM that jointly leverages single-cell, spatial transcriptomics, and histology information. Through cross-modal learning and masking, the model learned gene and cell type embeddings that generalized across data platforms and spatial contexts and produced biologically consistent outputs even when only a subset of modalities was available.
 
 
 
 We introduce a multimodal LLM-based spatial foundation model, VGL, that unifies single-cell RNA-seq, spatial transcriptomics, and histopathology imaging into a modality-agnostic framework. The improvement in cell type classification highlights the model’s ability to capture and reason over cross-modal biological structure. This framework lays the groundwork for spatial AI systems that interpret heterogeneous molecular and imaging data and enable scalable tumor microenvironment profiling.
 
 
 
 Haenara Shin, Dongjoo Lee, Jeongbin Park, Hongyoon Choi, . VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer [abstract]. In: Proceedings of the American Association for Cancer Research Annual Meeting 2026; Part 1 (Regular Abstracts); 2026 Apr 17-22; San Diego, CA. Philadelphia (PA): AACR; Cancer Res 2026;86(7 Suppl):Abstract nr 2754.",['semantic_scholar'],EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE
3749,"Neurobiological architecture of first-episode, drug-naive late-life depression: Insights from multimodal MRI, transcriptomics, and neurotransmitter mapping.",10.1016/j.jad.2026.121532,,41780696.0,,,2026.0,Journal of Affective Disorders,"PURPOSE
To elucidate the neurobiological architecture of late-life depression (LLD) by integrating macroscopic multimodal MRI with microscopic transcriptomic and neurochemical mapping.


METHODS
We analyzed 39 first-episode, drug-naive LLD patients and 41 matched healthy controls (HC) using structural MRI, diffusion kurtosis imaging, and resting-state fMRI. Data were processed to extract gray matter volume (GMV), white matter diffusion metrics (FA, MD, AD, RD), and functional indices (fALFF, DC), with group differences evaluated under rigorous multiple-comparison corrections. To elucidate molecular underpinnings, partial least squares (PLS) regression was applied to link neuroimaging t-maps with Allen Human Brain Atlas gene expression profiles. Spatial correlations between neuroimaging statistical maps and PET-derived neurotransmitter receptor density maps were further examined to identify neurochemical substrates.


RESULTS
LLD patients exhibited localized gray matter volume (GMV) reductions in the right fusiform gyrus and limbic structures, widespread microstructural white matter degradation across fronto-limbic tracts, and increased functional amplitude and network centrality centered on the medial prefrontal cortex (mPFC). Transcriptomic decoding linked these macroscopic anomalies to gene sets enriched for mitochondrial metabolism, calcium signaling, and synaptic organization. Furthermore, spatial correlation analyses uniquely revealed that structural atrophy was predominantly associated with the glutamatergic system, whereas functional and network alterations aligned most robustly with the opioid system.


CONCLUSIONS
Our findings support a multi-scale neurobiological model of LLD, wherein distinct molecular deficits in bioenergetics, glutamatergic excitotoxicity, and opioid neurotransmission underlie macroscopic structural and functional network failures. This integrative framework identifies specific neurochemical systems as prime mechanistic substrates and potential therapeutic targets for the cognitive-emotional dysregulation characteristic of LLD.",['semantic_scholar'],UNCERTAIN,UNCERTAIN,EXCLUDE,UNCERTAIN,EXCLUDE
3763,Abstract 1467: Mechanism-aware cancer therapy planning with group-relative policy optimization on a multimodal oncology foundation model.,10.1158/1538-7445.am2026-1467,,,,,2026.0,Cancer Research,"Modern multimodal oncology foundation models (OFMs) can predict patient trajectories and simulate treatment effects from clinical, genomic, transcriptomic, and histologic data, but they remain largely black boxes: they rarely explain which mechanisms drive risk or how to modulate those mechanisms with feasible interventions. We trained a multimodal OFM on over 1.2 million cancer patients with longitudinal clinical records, tumor DNA and RNA sequencing, and H&E imaging. The model learns a joint latent representation of each patient’s evolving disease state and can forecast outcomes and simulate counterfactual treatment trajectories. We then added a mechanism-aware reasoning layer that turns the OFM from a predictor into an engine for mechanism-based therapy design. Our key innovation is group-relative policy optimization (GRPO), a reinforcement-learning framework that links mechanism states inferred by the OFM (e.g., pathway activation patterns and resistance programs), a drug intervention space built from curated drug-target relationships and perturbation signatures, and an explicit clinical reward. Rather than optimizing an abstract objective for a single patient, we define the reward as improvement in predicted outcomes for cohorts of patients who share similar disease state and driver mechanisms. For each disease context, we identify mechanisms associated with poor outcome, link them to candidate drugs and observed outcomes in real-world data, and then use GRPO to evaluate policies (sets of mechanism-level interventions) by asking whether applying a policy to that cohort improves predicted survival or delays progression relative to matched standard-of-care controls. This group-relative reward stabilizes learning, avoids overfitting to idiosyncratic outliers, and aligns the learned policies with how clinicians naturally reason about “patients like these.” To make outputs biologically and clinically interpretable, we map proposed mechanism shifts to existing drugs and combinations, to mechanism-defined patient clusters whose outcomes are driven by similar latent programs, and to de novo mechanism opportunities where the optimal policy improves outcomes but no current drug fully explains the effect, flagging potential targets for discovery. Across multiple indications, GRPO recovers known mechanism-therapy relationships, identifies patient subgroups whose outcomes are improved when therapies they receive align with GRPO-suggested mechanism policies compared with matched patients receiving discordant therapies, and proposes novel mechanism-therapy hypotheses involving combined or sequential modulation of programs that are not jointly targeted today. This turns a large-scale OFM into a mechanism-aware decision engine that reasons about resistance and treatment opportunities in the same latent space used for outcome prediction.
 
 
 Eric E. Schadt, Jackson Stokes, Lihua Zhao, Jason Chin, Jonathan Tyler, Lijia Sun, Lauren Beck, Duo Xu, Aviva G. Beckmann, Iker Huerga, . Mechanism-aware cancer therapy planning with group-relative policy optimization on a multimodal oncology foundation model [abstract]. In: Proceedings of the American Association for Cancer Research Annual Meeting 2026; Part 1 (Regular Abstracts); 2026 Apr 17-22; San Diego, CA. Philadelphia (PA): AACR; Cancer Res 2026;86(7 Suppl):Abstract nr 1467.",['semantic_scholar'],UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE
3764,CLOP-DiT: Structured-Metadata-Conditioned Single-Cell Latent Generation via Contrastive Language-Omics Pretraining and Diffusion Transformers,10.64898/2026.03.26.714457,,,,,2026.0,bioRxiv,"Abstract
                
                  Generating realistic single-cell transcriptomic profiles from structured biological descriptions would enable controlled simulation, data augmentation, and hypothesis-driven cell-state creation—yet no existing method combines text–cell alignment with conditional generation. We present CLOP-DiT, a modular three-stage pipeline: (1) a contrastive aligner (CLOP) maps BiomedBERT text embeddings and scGPT cell embeddings into a shared 512-dimensional space; (2) a conditional Diffusion Transformer (DiT) generates scGPT-compatible latent states via flow matching, steered by a five-field biological template (cell type, tissue, organism, marker genes, disease); and (3) a frozen scGPT decoder maps latents to gene expression. Across 69 cell types from 80 GEO datasets (220,304 cells), a high-fidelity regime (CFG = 2.0) achieves 36.9% KNN accuracy (25× chance) and 81.0% steering, while a high-diversity regime (CFG = 1.0) reaches diversity ratio 0.93 at 80.7% steering. Conditioning field ablation and swap-label permutation tests confirm that marker genes are the dominant steering signal (steering accuracy drops from 99.8% to 62.4% when only metadata fields are retained). Key limitations are identified transparently: in-distribution per-gene variance structure is well preserved (
                  r
                  = 0.98) but cross-dataset variance correlation drops to near zero, the discriminator AUC of 0.656 indicates residual distinguishability, and a pilot rare-cell augmentation study was negative. The modular architecture enables targeted remediation of each limitation without full retraining. CLOP-DiT establishes the feasibility of structured-metadata-conditioned single-cell generation and provides a composable framework for iterative improvement.
                
                
                  Simple Summary
                  CLOP-DiT is a computational pipeline that generates synthetic single-cell gene expression profiles from structured biological descriptions (cell type, tissue, organism, marker genes, and disease context). It first learns to align text descriptions with real cell data in a shared mathematical space, then uses a diffusion model to generate new cell states matching a given description. The generated cells capture correct cell-type identity and marker gene patterns, but do not yet reproduce the full cell-to-cell variability seen in real single-cell experiments. This work demonstrates that text-guided single-cell generation is feasible as a proof of concept, opening directions for future simulation and hypothesis-generation tools in biology.","['google_scholar', 'semantic_scholar']",INCLUDE,UNCERTAIN,INCLUDE,INCLUDE,INCLUDE
3765,Discovery of a Hematopoietic Manifold in scGPT Yields a Method for Extracting Performant Algorithms from Biological Foundation Model Internals,,,,2603.10261,,2026.0,,"We report the discovery and extraction of a compact hematopoietic algorithm from the single-cell foundation model scGPT, to our knowledge the first biologically useful, competitive algorithm extracted from a foundation model via mechanistic interpretability. We show that scGPT internally encodes a compact hematopoietic manifold with significant developmental branch structure, validated on a strict non-overlap Tabula Sapiens external panel and confirmed via frozen-head zero-shot transfer to an independent multi-donor immune panel. To isolate this geometry, we introduce a general three-stage extraction method consisting of direct operator export from frozen attention weights, a lightweight learned adaptor, and a task-specific readout, producing a standalone algorithm without target-dataset retraining. In 88-split donor-holdout benchmarks against scVI, Palantir, DPT, CellTypist, PCA, and raw-expression baselines, the extracted algorithm achieves the strongest pseudotime-depth ordering and leads on key subtype endpoints (CD4/CD8 AUROC 0.867, mono/macro AUROC 0.951). Compared to standard probing of frozen scGPT embeddings with a 3-layer MLP, the extracted head is BH-significantly better on 6/8 classification endpoints while completing a full 12-split evaluation campaign 34.5x faster with approximately 1000x fewer trainable parameters. The exported operator compresses from three pooled attention heads to a single head without statistically significant loss, and further to a rank-64 surrogate. Mechanistic interpretability of the compact operator reveals a concentrated four-factor core explaining 66.2% of ablation impact, with factors resolving into explicit T/lymphoid, B/plasma, granulocytic, and monocyte/macrophage gene programs. A supplementary second-manifold validation (intercellular communication geometry) confirms that the extraction method generalizes beyond hematopoiesis.","['arxiv', 'google_scholar', 'semantic_scholar']",UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE
3771,"Causal Circuit Tracing Reveals Distinct Computational Architectures in Single-Cell Foundation Models: Inhibitory Dominance, Biological Coherence, and Cross-Model Convergence",10.48550/arXiv.2603.01752,,,2603.01752,,2026.0,arXiv.org,"Motivation: Sparse autoencoders (SAEs) decompose foundation model activations into interpretable features, but causal feature-to-feature interactions across network depth remain unknown for biological foundation models. Results: We introduce causal circuit tracing by ablating SAE features and measuring downstream responses, and apply it to Geneformer V2-316M and scGPT whole-human across four conditions (96,892 edges, 80,191 forward passes). Both models show approximately 53 percent biological coherence and 65 to 89 percent inhibitory dominance, invariant to architecture and cell type. scGPT produces stronger effects (mean absolute d = 1.40 vs. 1.05) with more balanced dynamics. Cross-model consensus yields 1,142 conserved domain pairs (10.6x enrichment, p<0.001). Disease-associated domains are 3.59x more likely to be consensus. Gene-level CRISPRi validation shows 56.4 percent directional accuracy, confirming co-expression rather than causal encoding.",['semantic_scholar'],UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE
3793,MAT-Cell: A Multi-Agent Tree-Structured Reasoning Framework for Batch-Level Single-Cell Annotation,,,,2604.06269v1,,2026.0,,"Automated cellular reasoning faces a core dichotomy: supervised methods fall into the Reference Trap and fail to generalize to out-of-distribution cell states, while large language models (LLMs), without grounded biological priors, suffer from a Signal-to-Noise Paradox that produces spurious associations. We propose MAT-Cell, a neuro-symbolic reasoning framework that reframes single-cell analysis from black-box classification into constructive, verifiable proof generation. MAT-Cell injects symbolic constraints through adaptive Retrieval-Augmented Generation (RAG) to ground neural reasoning in biological axioms and reduce transcriptomic noise. It further employs a dialectic verification process with homogeneous rebuttal agents to audit and prune reasoning paths, forming syllogistic derivation trees that enforce logical consistency.Across large-scale and cross-species benchmarks, MAT-Cell significantly outperforms state-of-the-art (SOTA) models and maintains robust per-formance in challenging scenarios where baselinemethods severely degrade. Code is available at https://gith ub.com/jiangliu91/MAT-Cell-A-Mul ti-Agent-Tree-Structured-Reasoni ng-Framework-for-Batch-Level-Sin gle-Cell-Annotation.","['arxiv', 'google_scholar']",EXCLUDE,EXCLUDE,INCLUDE,INCLUDE,INCLUDE
3794,Sparse Autoencoders Reveal Interpretable Cell-Type Programs in Single-Cell Foundation Model Representations,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6304512,,Available at SSRN 6304512,"​Objective: Single-cell foundation models such as scGPT learn rich representations of cellular identity, yet the biological programs encoded in their internal activations remain opaque. We investigate whether sparse autoencoders (SAEs), a mechanistic interpretability technique from AI safety research, can decompose these representations into sparse, biologically interpretable features.Methods: We extract residual-stream activations from all 12 transformer layers of a pre-trained scGPT model processing 1,000 human immune cells from the Tabula Sapiens atlas. We train SAEs with dictionary size M = 2,048 at multiple sparsity levels (λ ∈ {1, 3, 10}) and evaluate recovered features using cell-type classification (AUROC), gene set enrichment (Fisher’s exact test, FDR &lt; 0.05), and comparison with PCA baselines.Results: Biological foundation models require substantially stronger L1 regularisation (λ ≥ 1) than language models (λ ≈ 0.01–0.1) to achieve genuine sparsity. Appropriately regularised SAEs achieve L0 ≈ 48–54 active features while maintaining R² &gt; 0.76. Later-layer SAE features recover biologically coherent programs aligned with annotated cell types, with 64% of alive features receiving significant gene set annotations. We observe a sparsity–dead-feature trade-off: at λ = 10, up to 66% of dictionary elements become inactive.Conclusion: Mechanistic interpretability methods developed for large language models transfer productively to biological foundation models, but require domain-specific calibration. SAEs provide a principled approach to understanding what single-cell foundation models learn about cellular identity, with potential applications in model auditing and biological discovery.",['google_scholar'],UNCERTAIN,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE
