cluster_id,title,doi,preprint_doi,pmid,arxiv_id,url,year,venue,abstract,sources,deepseek_current_rep1,deepseek_current_rep2,gpt_oss_current_rep1,gpt_oss_current_rep2,nemotron_current_rep1,nemotron_current_rep2_partial
2,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,,41676719.0,,,2026.0,bioRxiv : the preprint server for biology,"Self-supervised DNA language models (DNALMs) are typically trained at massive scale on whole genomes and long contexts. However, regulatory sequence features are sparse, heterogeneous, and dominated by poorly conserved flexible syntax of short motifs, which can be difficult to learn from genome-wide self-supervision. As a result, annotation agnostic, long-context DNALMs struggle to learn regulatory syntax and can underperform simpler baseline models on key regulatory tasks. We therefore introduce",['pubmed'],UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE
24,ChromBERT: A foundation model for learning interpretable representations for context-specific transcriptional regulatory networks.,10.1016/j.xgen.2025.101130,,41592570.0,,,2026.0,Cell genomics,"Gene expression is shaped by transcriptional regulatory networks (TRNs), where transcription regulators interact within regulatory elements in a context-specific manner. Deciphering context-specific TRNs has long been constrained by the severe sparsity of cell-type-specific chromatin immunoprecipitation sequencing (ChIP-seq) profiles. Here, we present ChromBERT, a foundation model pre-trained on large-scale human ChIP-seq datasets covering ∼1,000 transcription regulators. ChromBERT learns the genome-wide syntax of regulatory cooperation and generates interpretable TRN representations. After prompt-enhanced fine-tuning, it outperforms existing methods for imputing unseen cistromes. Moreover, lightweight fine-tuning on cell-type-specific downstream tasks adapts the TRN representations to capture regulatory effects and dynamics within any given cellular context. The resulting context-specific representations can then be interpreted to infer regulatory roles of transcription regulators underlying these cell-type-specific regulatory outcomes without requiring additional ChIP-seq experiments. By overcoming the limitations of sparse transcription regulator data, ChromBERT significantly enhances our ability to model and interpret transcriptional regulation across a wide range of biological contexts.","['pubmed', 'semantic_scholar']",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,UNCERTAIN
48,What Do Single-Cell Models Already Know About Perturbations?,10.3390/genes16121439,,41465115.0,,,2025.0,Genes,"Background: Virtual cells are embedded in widely used single-cell generative models. Nonetheless, the models’ implicit knowledge of perturbations remains unclear. Methods: We train variational autoencoders on three gene expression datasets spanning genetic, chemical, and temporal perturbations, and infer perturbations by differentiating decoder outputs with respect to latent variables. This yields vector fields of infinitesimal change in gene expression. Furthermore, we probe a publicly released scVI decoder trained on the CELL×GENE Discover Census (∼5.7 M mouse cells) and score genes by the alignment between local gradients and an empirical healthy-to-disease axis, followed by a novel large language model-based evaluation of pathways. Results: Gradient flows recover known transitions in Irf8 knockout microglia, cardiotoxin-treated muscle, and worm embryogenesis. In the pretrained Census model, gradients help identify pathways with stronger statistical support and higher type 2 diabetes relevance than an average expression baseline. Conclusions: Trained single-cell decoders already contain rich perturbation-relevant information that can be accessed by automatic differentiation, enabling in-silico perturbation simulations and principled ranking of genes along observed disease or treatment axes without bespoke architectures or perturbation labels.","['google_scholar', 'pubmed', 'scopus', 'semantic_scholar']",EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE
99,A prognostic index integrating deep learning baseline PET/CT biomarkers and multi-omics profiling in diffuse large B cell lymphoma.,10.1016/j.xcrm.2025.102452,,41260205.0,,,2025.0,Cell reports. Medicine,"Wang Y(1), Wang X(2), Huang XY(3), Jing HM(4), Jiang SF(5), Li H(6), Mu RJ(7), Shi Q(1), Fu D(1), Li ZH(3), Yi HM(8), Ouyang BS(8), Li B(3), Yan FH(2), Niu T(9), Cheng S(1), Wang L(10), Wen N(11), Xu PP(12), Zhao WL(13).","['pubmed', 'scopus']",EXCLUDE,UNCERTAIN,EXCLUDE,UNCERTAIN,EXCLUDE,UNCERTAIN
100,Omnireg-gpt: a high-efficiency foundation model for comprehensive genomic sequence understanding.,10.1038/s41467-025-65066-7,,41258300.0,,,2025.0,Nature communications,"The human genome contains a sophisticated array of elements that regulate gene activity and organismal functions. Developing a large window foundation model capable of efficiently processing long sequence inputs is essential yet challenging for decoding the multi-layered and complex landscape of the cis-regulatory elements. Here, we introduce OmniReg-GPT, a generative foundation model designed for the low-resource pretraining of long genomic sequences by optimized attention mechanism. During pretraining, OmniReg-GPT captures the complete distribution of regulatory elements across nucleotide to megabase scales with efficient training speed and memory usage. We demonstrate exceptional performance in downstream regulotary applications spanning the entire spectrum of genomic scales, including various cis-regulatory elements identification, context dependent gene expression prediction, single-cell chromatin accessibility analysis, and 3D chromatin contact modeling. As a generative model, OmniReg-GPT also holds the potential to generate candidate cell-type-specific enhancers through prompt engineering. Overall, OmniReg-GPT extends the boundaries of foundation models in the genomic field, and provides a valuable pretraining model resource which can be extensively applied for genomic researches. Understanding long-range genomic regulation is a key challenge for DNA foundation models. Here, authors develop OmniReg-GPT with a hybrid local-global attention architecture, enabling efficient analysis of multi-scale regulatory features across long DNA sequences.","['google_scholar', 'pubmed', 'scopus', 'semantic_scholar', 'springernature']",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,EXCLUDE
105,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities.,10.1002/advs.202513210,10.1101/2024.05.08.593094,41243712.0,,,2026.0,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Large-scale single-cell RNA sequencing (scRNA-seq) and spatial transcriptomics (ST) have transformed biomedical research into a data-driven field, enabling the creation of comprehensive data atlases. These methodologies facilitate detailed understanding of biology and pathophysiology, aiding in the discovery of new therapeutic targets. However, the complexity and sheer volume of data from these technologies present analytical challenges, particularly in robust cell typing, integration and understanding complex spatial relationships of cells. To address these challenges, we developed CELLama (Cell Embedding Leverage Language Model Abilities), a framework that leverage language model to transform cell data into ’sentences’ that encapsulate gene expressions and metadata, enabling universal cellular data embedding for various analysis. CELLama, serving as a foundation model, supports flexible applications ranging from cell typing to the analysis of spatial contexts, independently of manual reference data selection or intricate dataset-specific analytical workflows. Our results demonstrate that CELLama has significant potential to transform cellular analysis in various contexts, from determining cell types across multi-tissue atlases and their interactions to unraveling intricate tissue dynamics.","['biorxiv_medrxiv', 'google_scholar', 'pubmed', 'scopus', 'semantic_scholar']",EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN
128,Genos: a human-centric genomic foundation model.,10.1093/gigascience/giaf132,,41122975.0,,,2025.0,GigaScience,"Abstract Background The rapid expansion of human genomic data demands foundation models that manage ultra-long sequences and capture population diversity, limitations common in existing models that lack human-specific representation, and clinical inference efficiency. Results Here, we introduce Genos (Genos-1.2B/Genos-10B), a human-centric genomic foundation model engineered for million-basepair sequence modeling. Genos utilizes a large-scale mixture of experts structure, optimized for a 1-Mb context, trained on high-quality human de novo assemblies from datasets such as the Human Pangenome Reference Consortium and the Human Genome Structural Variation Consortium, representing diverse global populations. A suite of optimization strategies was implemented to ensure training stability and enhance computational efficiency, which collectively reduces costs and facilitates million-basepair context modeling. Functionally, Genos performs single-nucleotide resolution analysis and dynamically simulates the cascade effects of noncoding variations on RNA expression profiles. In comprehensive evaluations, Genos uniformly surpasses state-of-the-art models on critical human genomics benchmarks and demonstrates robust omics-text cross-modal diagnostic capabilities. We present a systematic technical evaluation and validation of Genos’s architecture, training convergence, and performance across standard benchmarks. Conclusions This work provides a reliable technical blueprint and performance benchmark for the development of the next generation of high-efficiency genomic foundation models. Genos model weights, inference code, and usage documentation are publicly available on GitHub (https://github.com/BGI-HangzhouAI/Genos) and Hugging Face Hub (https://huggingface.co/BGI-HangzhouAI).","['google_scholar', 'pubmed', 'scopus', 'semantic_scholar']",UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN
137,DTLCDR: A target-based multimodal fusion deep learning framework for cancer drug response prediction.,10.1016/j.jpha.2025.101315,,41050110.0,,,2025.0,Journal of pharmaceutical analysis,"Accurate prediction of drug responses in cancer cell lines (CCLs) and transferable prediction of clinical drug responses using CCLs are two major tasks in personalized medicine. Despite the rapid advancements in existing computational methods for preclinical and clinical cancer drug response (CDR) prediction, challenges remain regarding the generalization of new drugs that are unseen in the training set. Herein, we propose a multimodal fusion deep learning (DL) model called drug-target and single-cell language based CDR (DTLCDR) to predict preclinical and clinical CDRs. The model integrates chemical descriptors, molecular graph representations, predicted protein target profiles of drugs, and cell line expression profiles with general knowledge from single cells. Among these features, a well-trained drug-target interaction (DTI) prediction model is used to generate target profiles of drugs, and a pretrained single-cell language model is integrated to provide general genomic knowledge. Comparison experiments on the cell line drug sensitivity dataset demonstrated that DTLCDR exhibited improved generalizability and robustness in predicting unseen drugs compared with previous state-of-the-art baseline methods. Further ablation studies verified the effectiveness of each component of our model, highlighting the significant contribution of target information to generalizability. Subsequently, the ability of DTLCDR to predict novel molecules was validated through","['pubmed', 'scopus']",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,EXCLUDE
140,Characterizing the Immune Response in Pig-to-Human Heart Xenografts Using a Multimodal Diagnostic System.,10.1161/CIRCULATIONAHA.125.074971,,41036838.0,,,2025.0,Circulation,"BACKGROUND: Porcine genome editing has revolutionized xenotransplantation, recently enabling the first pig-to-human heart xenotransplants. However, the xenoimmune response in heart xenografts remains largely unexplored. This study aimed to precisely characterize the xenoimmune response and injury in 2 heart xenografts transplanted from 10-gene–edited pigs into brain-dead human recipients. METHODS: We analyzed xenograft biopsy specimens 66 hours after reperfusion using a multimodal phenotyping approach combining morphological evaluation, immunophenotyping, ultrastructural assessment, automated quantification of multiplex immunofluorescence staining, and gene expression profiling. Xenografts before implantation and wild-type pig hearts with and without ischemia/reperfusion injury and brain death were used as controls. RESULTS: Both xenografts showed evidence of endothelial activation and mild microvascular inflammation without capillary C4d deposition. Immune infiltrates were mainly composed of CD15+ and CD68+ innate immune cells. Ultrastructural assessment showed endothelial swelling with occasional intravascular leucocytes. Deep learning–based automated multiplex immunofluorescence analysis confirmed that microvascular inflammation was primarily associated with CD15+ and CD68+ innate immune cells. Both xenografts showed increased expression of genes and pathways associated with monocyte/macrophage activation, neutrophil activation, interferon-gamma response, natural killer cell burden, endothelial activation, apoptosis, and injury repair. This phenotype was absent in all control pig hearts independent of ischemia/reperfusion injury and brain death. CONCLUSIONS: Multimodal phenotyping of pig-to-human heart xenografts revealed early signs of xenoimmune response, characterized by mild innate microvascular inflammation, endothelial activation, and a molecular signature characteristic of antibody-mediated rejection. Developing such a precision diagnostic system could improve graft monitoring in future clinical settings.","['pubmed', 'scopus', 'semantic_scholar']",UNCERTAIN,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN
143,Interpretable Transfer Learning for Cancer Drug Resistance: Candidate Target Identification.,10.3390/cimb47090753,,41020875.0,,,2025.0,Current issues in molecular biology,"Tumor drug resistance exhibits substantial heterogeneity across cancer types, reflecting distinct molecular mechanisms in each malignancy. To characterize this complexity, we developed a pan-cancer transfer learning framework that integrates bulk RNA-seq data with a residual variational autoencoder (Res VAE) backbone. Five models were trained on the Genomics of Drug Sensitivity in Cancer (GDSC) dataset, which includes drug response profiles for 72 chemotherapeutic agents. Among them, three models are specially designed by incorporating variational autoencoders and large pretrained models (LLMs): the LLM large VAE (VAE_LL), the LLM small VAE (VAE_LS), and the LLM distillation VAE (VAE_LD). Random Forest (RF) and eXtreme Gradient Boosting (XGB) were included as ensemble learning baselines. After internal cross-validation, the top four models (VAE_LL, VAE_LD, XGB, and RF) were applied to five representative TCGA cohorts comprising 1,836 patients. For each cancer type, resistance to nine clinically relevant first-line drugs was modeled, resulting in 180 drug–cancer prediction tasks. Among all models, VAE_LD achieved the best overall performance, with a mean AUC of 0.81 and an F1 score of 0.92 on the GDSC benchmark, and maintained strong predictive power in the clinical validation phase. Interpretation analyses identified tumor-specific resistance biomarkers with clinical significance. In lung adenocarcinoma, elevated expression of TFF1 was repeatedly associated with resistance to Gefitinib and correlated with poor patient prognosis, indicating its potential as a therapeutic target. In glioblastoma, OPALIN, LTF, IL2RA, and SLC17A7 were implicated in Temozolomide resistance through pathways related to epithelial differentiation and angiogenesis. In conclusion, the VAE_LD model offers a high-performing and interpretable approach for predicting drug resistance across multiple tumor types. It supports the identification of clinically actionable biomarkers and provides a robust framework for precision oncology applications.","['pubmed', 'scopus', 'semantic_scholar']",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,EXCLUDE
144,SenolyticSynergy: An Attention-Based Network for Discovering Novel Senolytic Combinations via Human Aging Genomics.,10.3390/ijms26189004,,41009571.0,,,2025.0,International journal of molecular sciences,"Senolytics, a category of drugs targeting aging processes, have garnered significant attention since their emergence in 2015. Unlike traditional drug development approaches that rely on randomized screening, research on aging-related pharmaceuticals has employed mechanism-based strategies, resulting in the discovery of the pioneering combination therapy of dasatinib (D) and quercetin (Q). Although preliminary studies with senolytic drug combinations have shown promising outcomes, the predictive capabilities of the research in this field remain limited by the extensive experimental data requirements. In this study, we employed differential gene expression analysis and machine learning techniques to investigate the combinatorial effects of senolytic drugs. We identified 1624 core aging-related genes and used this dataset to retrain a multimodal attention mechanism model, creating a specialized framework, SenolyticSynergy, for predicting effective senolytic drug combinations. We then utilized 63 established senolytic compounds as starting points for combination testing, developing a comprehensive dataset of 1953 potential drug combinations for aging interventions. Following rigorous filtration, we identified 190 high-confidence drug combinations and predicted their synergistic scores. Among these combinations, ten demonstrated exceptionally high synergistic scores, exceeding 8. The combination of temsirolimus and nitazoxanide ranked first and may be the most promising candidate. The analysis of the literature data and computational studies of molecular structures using 3D modeling validated the accuracy of these predictions. This framework paves the way for large-scale research into anti-aging drug combinations, advancing research capabilities in this field.","['pubmed', 'scopus']",EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN,EXCLUDE
153,Multi-modal characterization of metabolic and immune gene clusters in adrenocortical carcinoma treatment.,10.1038/s41698-025-01092-4,,40968257.0,,,2025.0,NPJ precision oncology,"Adrenocortical carcinoma (ACC) is an uncommon and aggressive endocrine malignancy, characterized by limited therapeutic options and considerable variability in patient outcomes. The challenge is to combine the complex information of ACC with artificial intelligence (AI) and clinical and pathology data to achieve precision medicine and improve patient prognosis. We developed the Steroid-related Immune Score (SIS) using multi-modal analysis of genomics, digital pathology, and artificial intelligence and validated it in external datasets. In addition, we conducted single-cell RNA sequencing (scRNA-seq) of small samples and in vitro functional experiments. SIS delivered a stable performance with an AUC of 0.8 ± 0.01 in the ResNet50 and Vision Transformer-B16 models. We validated the best model in external ACC cohorts. Using Class Activation Maps (CAMs) technology revealed that SIS was associated with lymphocyte infiltration, establishing it as a new feature in addition to the Weiss scoring system. Patients in the high SIS group responded well to immunotherapy, while the low SIS group showed adaptability to hormone inhibition therapy. Single-cell RNA sequencing data revealed the relationship between the tumor microenvironment and drug resistance in ACC. In vitro functional assays demonstrated that elevated DHCR7 gene expression correlated with unfavorable prognosis and treatment sensitivity, identifying it as a prospective therapeutic target. Furthermore, there are similarities between the metabolic characteristics of ACC and schizophrenia, such as calcium and iron ion levels. Our multi-modal analysis comprehensively characterizes the immune microenvironment of ACC, emphasizing the synergistic regulation of metabolic and immune gene clusters that influence ACC patients' responses to immune and hormone therapies.","['pubmed', 'scopus', 'semantic_scholar', 'springernature']",EXCLUDE,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE
