record_id,old_configuration_id,current_configuration_id,mapping_status,supporting_primary_routes,mean_route_score,old_split_degree,current_merge_degree,old_route_count,current_route_count,old_lifecycle_phase,current_lifecycle_phase,old_task,current_task
full_2026-07-06__rec_000060,config_06952ccec48d,config_3f6b2df58274,route_supported_mapping,1,0.800202,1,1,1,2,inference,inference,predict [gene name] RNA expression,For predicting protein and RNA expression
full_2026-07-06__rec_000060,config_9678d629eef8,config_df2e5ea900f1,route_supported_mapping,1,0.810044,1,1,1,2,inference,inference,predict corresponding H&E image,For the DAPI-to-H&E translation task
full_2026-07-06__rec_000060,config_c42afc99c5f9,,old_only_unmapped,0,,,,1,0,inference,,predict [protein name] protein expression,
full_2026-07-06__rec_000063,,config_bc93787e451a,current_only_unmapped,0,,,,0,1,,evaluation,,"given the name of an anatomical structure, return the top 5 most abundant cell types"
full_2026-07-06__rec_000063,,config_bdaf00473df9,current_only_unmapped,0,,,,0,1,,evaluation,,"given the name of an anatomical structure, generate a natural-language description of the structure"
full_2026-07-06__rec_000063,,config_c72b62f6828f,current_only_unmapped,0,,,,0,1,,evaluation,,"given the name of an anatomical structure, list the top 20 highly expressed genes"
full_2026-07-06__rec_000063,config_1dbd78fd297a,config_1dbd78fd297a,stable_id,1,0.860342,1,1,1,1,inference,inference,Predicting effects of genetic perturbation,predicting effects of genetic perturbation
full_2026-07-06__rec_000063,config_30d5b1c1447b,config_5e8d49c69552,route_supported_mapping,1,0.825431,1,1,1,1,fine_tuning,fine_tuning,next-token prediction,fine-tuning on spatial sentences
full_2026-07-06__rec_000063,config_3b701d106497,config_0483e926ac88,route_supported_mapping,1,0.842348,1,1,1,1,inference,inference,unconditional generation mode,cell generation mode (conditional generation / unconditional generation)
full_2026-07-06__rec_000063,config_3e9ce4e9da39,,old_only_unmapped,0,,,,1,0,evaluation,,TISSUENARRATOR predicts a target cell missing from ST using its neighborhood.,
full_2026-07-06__rec_000063,config_597a8a8b8d6b,config_597a8a8b8d6b,stable_id,1,0.877612,1,1,1,1,inference,inference,Predicting response to neighborhood composition,predicting response to neighborhood composition
full_2026-07-06__rec_000063,config_e0407e5deda4,,old_only_unmapped,0,,,,1,0,inference,,conditional generation mode,
full_2026-07-06__rec_000063,config_e923042c68c7,,old_only_unmapped,0,,,,1,0,evaluation,,conversational tissue querying,
full_2026-07-06__rec_000086,,config_06361596bc98,current_only_unmapped,0,,,,0,1,,evaluation,,Drugbank Target
full_2026-07-06__rec_000086,,config_0f578b47e332,current_only_unmapped,0,,,,0,1,,evaluation,,Cellular component retrieval benchmark
full_2026-07-06__rec_000086,,config_242b4563b4b5,current_only_unmapped,0,,,,0,1,,evaluation,,composite prompts composed of four pathways
full_2026-07-06__rec_000086,,config_2a0fd9641f9f,current_only_unmapped,0,,,,0,2,,evaluation,,Protein retrieval with different disease descriptions.
full_2026-07-06__rec_000086,,config_2b2272ce78af,current_only_unmapped,0,,,,0,1,,evaluation,,Question answering
full_2026-07-06__rec_000086,,config_5c2cee1633c3,current_only_unmapped,0,,,,0,1,,evaluation,,GtoP
full_2026-07-06__rec_000086,,config_5cc6d5f156ab,current_only_unmapped,0,,,,0,3,,evaluation,,disease-associated protein retrieval across different lines of evidence for association
