record_id,old_model_id,current_model_id,mapping_status,supporting_primary_routes,mean_route_score,old_split_degree,current_merge_degree,old_route_count,current_route_count,old_model_name,current_model_name,name_similarity
full_2026-07-06__rec_000060,model_ff0ac12f6b2a,model_ff0ac12f6b2a,stable_id,2,0.805123,1,1,3,4,TissueCraftAI,TissueCraftAI,1.0
full_2026-07-06__rec_000063,model_df8ed6559ceb,model_df8ed6559ceb,stable_id,4,0.851433,1,1,7,7,TISSUENARRATOR,TISSUENARRATOR,1.0
full_2026-07-06__rec_000086,model_b1f724b128da,model_b1f724b128da,stable_id,5,0.82746,1,1,9,6,PROCYON-SPLIT,PROCYON-SPLIT,1.0
full_2026-07-06__rec_000086,model_cde54244f9bc,,old_only_unmapped,0,,,,1,0,PROCYON-BIND,,
full_2026-07-06__rec_000086,model_f8e766fddf66,model_f8e766fddf66,stable_id,4,0.64437,1,1,10,32,PROCYON,PROCYON,1.0
full_2026-07-06__rec_000090,model_79e042109d33,model_79e042109d33,stable_id,12,0.697458,1,1,32,14,C2S-Scale,C2S-Scale,1.0
full_2026-07-06__rec_000090,model_9ead93555f87,model_9ead93555f87,stable_id,0,,1,1,2,1,C2S-Scale perturbation model,C2S-Scale perturbation model,1.0
full_2026-07-06__rec_000771,model_6f7f8cee95d1,model_6f7f8cee95d1,stable_id,2,0.837587,1,1,3,4,ChatNT,ChatNT,1.0
full_2026-07-06__rec_000827,,model_073c1a9ed6a3,current_only_unmapped,0,,,,0,1,,Mixtral 8x7b,
full_2026-07-06__rec_000827,,model_2b474a3814ef,current_only_unmapped,0,,,,0,4,,GPT-4,
full_2026-07-06__rec_000827,,model_36c6451d1b55,current_only_unmapped,0,,,,0,2,,GPT-4o,
full_2026-07-06__rec_000827,model_0564a694d858,model_f1bf6497dcf0,route_supported_mapping,3,0.745465,1,1,5,6,CellWhisperer chat model,Mistral 7B,0.235294
full_2026-07-06__rec_000827,model_0f2d4afabf10,,old_only_unmapped,0,,,,6,0,CellWhisperer embedding model,,
full_2026-07-06__rec_000950,model_efc702564a41,model_efc702564a41,stable_id,7,0.784754,1,1,10,12,Chroma,Chroma,1.0
full_2026-07-06__rec_001074,model_0e0c28b60ee7,model_0e0c28b60ee7,stable_id,0,,2,1,6,1,BIOREASON,BIOREASON,1.0
full_2026-07-06__rec_001074,model_0e0c28b60ee7,model_9d05ddb97916,route_supported_mapping,6,0.818142,2,2,6,7,BIOREASON,Qwen3,0.285714
full_2026-07-06__rec_001074,model_7cb4d8670fa9,,old_only_unmapped,0,,,,1,0,Enformer-Qwen3-1.7B,,
full_2026-07-06__rec_001074,model_93344d6cd8c8,model_9d05ddb97916,route_supported_mapping,1,0.801492,1,2,1,7,Enformer-Qwen3-4B,Qwen3,0.454545
full_2026-07-06__rec_001126,model_c0a097206f2c,model_c0a097206f2c,stable_id,13,0.762437,1,1,14,14,CellHermes,CellHermes,1.0
full_2026-07-06__rec_001187,model_0dc740f11cc3,model_0dc740f11cc3,stable_id,1,0.69347,2,1,3,1,CatBoost,CatBoost,1.0
full_2026-07-06__rec_001187,model_0dc740f11cc3,model_860d9511b312,route_supported_mapping,1,0.84696,2,2,3,12,CatBoost,P3GPT,0.153846
full_2026-07-06__rec_001187,model_183d156148fd,model_860d9511b312,route_supported_mapping,7,0.848386,1,2,14,12,Precious3GPT,P3GPT,0.588235
full_2026-07-06__rec_001200,model_d3d6352d5bcb,model_d3d6352d5bcb,stable_id,2,0.769093,1,1,4,6,Shusi,Shusi,1.0
full_2026-07-06__rec_001218,model_a45de7f446e9,model_a45de7f446e9,stable_id,6,0.818845,1,1,8,8,ALTER,ALTER,1.0
full_2026-07-06__rec_001277,,model_422e09e03da5,current_only_unmapped,0,,,,0,2,,Clinical-LongFormer,
full_2026-07-06__rec_001277,model_5f2f0ba1126a,model_5f2f0ba1126a,stable_id,1,0.73843,1,1,3,2,OKR-CELL,OKR-CELL,1.0
full_2026-07-06__rec_001277,model_cc36a8d0a233,model_cc36a8d0a233,stable_id,1,0.79131,1,1,2,1,Deepseek-V3,Deepseek-V3,1.0
full_2026-07-06__rec_001319,model_867ffa020512,model_867ffa020512,stable_id,1,0.724195,1,1,3,5,InstructCell,InstructCell,1.0
full_2026-07-06__rec_001343,model_2a4d0a37a0ad,model_2a4d0a37a0ad,stable_id,3,0.825716,1,1,6,8,scDiff,scDiff,1.0
full_2026-07-06__rec_001352,model_23ffab302d6b,model_23ffab302d6b,stable_id,14,0.798998,1,1,14,29,Med-PaLM M,Med-PaLM M,1.0
full_2026-07-06__rec_001381,,model_58c5ce11b66a,current_only_unmapped,0,,,,0,1,,scGPT,
full_2026-07-06__rec_001381,,model_b4a92e5e540d,current_only_unmapped,0,,,,0,1,,text LLM,
full_2026-07-06__rec_001381,model_ffaa8b52273c,model_0ea0b64c5788,route_supported_mapping,1,0.749717,2,1,7,1,scMMGPT,LLaMA-2 7B,0.117647
full_2026-07-06__rec_001381,model_ffaa8b52273c,model_ffaa8b52273c,stable_id,4,0.758174,2,1,7,5,scMMGPT,scMMGPT,1.0
full_2026-07-06__rec_001519,model_5421186d4cbe,model_5421186d4cbe,stable_id,2,0.822649,1,1,4,2,BioGPT,BioGPT,1.0
full_2026-07-06__rec_001617,,model_61aa6fc79089,current_only_unmapped,0,,,,0,4,,Llama3.1-8B-Instruct,
full_2026-07-06__rec_001617,,model_a62125696693,current_only_unmapped,0,,,,0,4,,GPT-4o-mini,
full_2026-07-06__rec_001617,,model_a95b39ba55bc,current_only_unmapped,0,,,,0,4,,o1,
full_2026-07-06__rec_001617,,model_c47c8bf166d6,current_only_unmapped,0,,,,0,4,,o3-mini,
full_2026-07-06__rec_001617,,model_ca02cecd45be,current_only_unmapped,0,,,,0,3,,Qwen2.5-7B-Instruct,
full_2026-07-06__rec_001617,,model_cabb39a8d967,current_only_unmapped,0,,,,0,4,,GPT-4o,
full_2026-07-06__rec_001617,model_a0f67b1880c7,model_a0f67b1880c7,stable_id,2,0.792871,1,1,3,2,Cell-o1,Cell-o1,1.0
full_2026-07-06__rec_001617,model_b47a3fca0d58,model_b47a3fca0d58,stable_id,1,0.871526,1,1,1,1,OpenAI's o1,OpenAI's o1,1.0
full_2026-07-06__rec_001687,model_fcda05dbbcd5,model_fcda05dbbcd5,stable_id,2,0.839363,1,1,8,6,CaLMFlow,CaLMFlow,1.0
full_2026-07-06__rec_001773,model_0ed3db93beca,,old_only_unmapped,0,,,,1,0,Omni-DNA (1B),,
full_2026-07-06__rec_001773,model_7fe355535858,,old_only_unmapped,0,,,,1,0,Omni-DNA@ft,,
full_2026-07-06__rec_001773,model_8aba876c5b86,,old_only_unmapped,0,,,,1,0,Omni-DNA@mult,,
full_2026-07-06__rec_001773,model_b0cb65c04697,model_b4d1be45d2bb,route_supported_mapping,1,0.779355,1,2,1,6,Omni-DNA@sgl.,Omni-DNA,0.8
