record_id,old_route_id,current_route_id,score,accepted_by_rule,structural_core_equal,same_model_id,changed_controlled_fields,score_model_name,score_carrier_family,score_carrier_subtype,score_source_modality,score_lifecycle_phase,score_fusion_topology,score_text_role,score_source_object,score_model_visible_form,score_transformation_chain,score_task_or_configuration,score_route_label,score_evidence_quote,old_model_name,current_model_name,old_route_label,current_route_label,old_rank,current_rank,primary_assignment,split_candidate_degree,merge_candidate_degree
full_2026-07-06__rec_000060,route_0c7d1556fb23,route_226242be284c,0.810044,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.358209,0.293333,0.333333,TissueCraftAI,TissueCraftAI,DAPI-to-H&E synthesis with text prompt,TissueCraftAI DAPI image conditioning,1,1,True,2,3
full_2026-07-06__rec_000060,route_0c7d1556fb23,route_49e2cc9a5c64,0.722722,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.26087,1.0,1.0,0.388889,0.3,0.324324,TissueCraftAI,TissueCraftAI,DAPI-to-H&E synthesis with text prompt,TissueCraftAI histology image conditioning,2,3,False,2,3
full_2026-07-06__rec_000060,route_493cbb2f953c,route_0d733b511958,0.463759,False,False,True,carrier_family;carrier_subtype;source_modality,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.195122,0.208333,0.765957,0.739726,0.217391,0.465909,TissueCraftAI,TissueCraftAI,H&E-to-spatial-transcriptomics query generation,TissueCraftAI molecular-target text prompting,3,2,False,2,0
full_2026-07-06__rec_000060,route_493cbb2f953c,route_226242be284c,0.689074,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.347826,0.540541,1.0,0.382353,0.214286,0.098765,TissueCraftAI,TissueCraftAI,H&E-to-spatial-transcriptomics query generation,TissueCraftAI DAPI image conditioning,2,2,False,2,3
full_2026-07-06__rec_000060,route_493cbb2f953c,route_49e2cc9a5c64,0.800202,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.540541,1.0,0.739726,0.224719,0.465909,TissueCraftAI,TissueCraftAI,H&E-to-spatial-transcriptomics query generation,TissueCraftAI histology image conditioning,1,1,True,2,3
full_2026-07-06__rec_000060,route_71790949ba09,route_0d733b511958,0.466157,False,False,True,carrier_family;carrier_subtype;source_modality,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.195122,0.208333,0.765957,0.725,0.321839,0.465909,TissueCraftAI,TissueCraftAI,H&E-to-spatial-proteomics query generation,TissueCraftAI molecular-target text prompting,3,1,False,2,0
full_2026-07-06__rec_000060,route_71790949ba09,route_226242be284c,0.687696,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.347826,0.540541,1.0,0.346667,0.227848,0.098765,TissueCraftAI,TissueCraftAI,H&E-to-spatial-proteomics query generation,TissueCraftAI DAPI image conditioning,2,3,False,2,3
full_2026-07-06__rec_000060,route_71790949ba09,route_49e2cc9a5c64,0.799867,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.540541,1.0,0.725,0.238095,0.465909,TissueCraftAI,TissueCraftAI,H&E-to-spatial-proteomics query generation,TissueCraftAI histology image conditioning,1,2,False,2,3
full_2026-07-06__rec_000063,route_170bcd5403de,route_5a170efb9d64,0.860342,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65625,0.820513,0.306383,1.0,0.676056,0.31068,TISSUENARRATOR,TISSUENARRATOR,Genetic perturbation from an edited cell,Genetic perturbation generation,1,1,True,3,4
full_2026-07-06__rec_000063,route_170bcd5403de,route_a5e96dd9a19b,0.77122,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.323529,0.820513,0.291845,0.218182,0.493827,0.220183,TISSUENARRATOR,TISSUENARRATOR,Genetic perturbation from an edited cell,Cell generation from spatial neighborhood,3,4,False,3,5
full_2026-07-06__rec_000063,route_170bcd5403de,route_dbc6b7ab297a,0.790501,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.337662,0.820513,0.302789,0.539326,0.526316,0.214876,TISSUENARRATOR,TISSUENARRATOR,Genetic perturbation from an edited cell,Neighborhood perturbation generation,2,2,False,3,4
full_2026-07-06__rec_000063,route_20d8a9154583,route_a5e96dd9a19b,0.651197,True,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.333333,0.615385,0.513369,0.157303,0.347826,0.347107,TISSUENARRATOR,TISSUENARRATOR,Spatial sentence fine-tuning,Cell generation from spatial neighborhood,2,5,False,2,5
full_2026-07-06__rec_000063,route_20d8a9154583,route_dbc6b7ab297a,0.642748,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.285714,0.615385,0.44878,0.294118,0.28125,0.270677,TISSUENARRATOR,TISSUENARRATOR,Spatial sentence fine-tuning,Neighborhood perturbation generation,3,5,False,2,4
full_2026-07-06__rec_000063,route_20d8a9154583,route_de59b0fceddc,0.825431,True,True,True,text_role,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.690909,0.544444,0.339623,1.0,0.049383,TISSUENARRATOR,TISSUENARRATOR,Spatial sentence fine-tuning,Spatial sentence fine-tuning,1,1,True,2,3
full_2026-07-06__rec_000063,route_57437427050f,route_5a170efb9d64,0.796465,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.372093,0.820513,0.384279,0.450704,0.426667,0.303571,TISSUENARRATOR,TISSUENARRATOR,Unconditional cell generation from neighbors,Genetic perturbation generation,2,3,False,4,4
