status,record_id,old_route_id,current_route_id,score,accepted_by_rule,structural_core_equal,same_model_id,changed_controlled_fields,score_model_name,score_carrier_family,score_carrier_subtype,score_source_modality,score_lifecycle_phase,score_fusion_topology,score_text_role,score_source_object,score_model_visible_form,score_transformation_chain,score_task_or_configuration,score_route_label,score_evidence_quote,old_model_name,current_model_name,old_route_label,current_route_label,relationship,confidence,interpretation,old_configuration_id,current_configuration_id,old_model_id,current_model_id,best_candidate_route_id,best_candidate_score
linked,full_2026-07-06__rec_000060,route_0c7d1556fb23,route_226242be284c,0.810044,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.358209,0.293333,0.333333,TissueCraftAI,TissueCraftAI,DAPI-to-H&E synthesis with text prompt,TissueCraftAI DAPI image conditioning,primary_one_to_one,moderate,same_structural_core_with_textual_or_interface_change,config_9678d629eef8,config_df2e5ea900f1,model_ff0ac12f6b2a,model_ff0ac12f6b2a,,
linked,full_2026-07-06__rec_000060,route_493cbb2f953c,route_49e2cc9a5c64,0.800202,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.540541,1.0,0.739726,0.224719,0.465909,TissueCraftAI,TissueCraftAI,H&E-to-spatial-transcriptomics query generation,TissueCraftAI histology image conditioning,primary_one_to_one,moderate,same_structural_core_with_textual_or_interface_change,config_06952ccec48d,config_3f6b2df58274,model_ff0ac12f6b2a,model_ff0ac12f6b2a,,
old_unmatched_removed_or_consolidated,full_2026-07-06__rec_000060,route_71790949ba09,,,,,,,,,,,,,,,,,,,,TissueCraftAI,,H&E-to-spatial-proteomics query generation,,,,,config_c42afc99c5f9,,model_ff0ac12f6b2a,,route_49e2cc9a5c64,0.799867
current_unmatched_added_or_split,full_2026-07-06__rec_000060,,route_0d733b511958,,,,,,,,,,,,,,,,,,,,TissueCraftAI,,TissueCraftAI molecular-target text prompting,,,,,config_3f6b2df58274,,model_ff0ac12f6b2a,route_71790949ba09,0.466157
current_unmatched_added_or_split,full_2026-07-06__rec_000060,,route_39890e09066d,,,,,,,,,,,,,,,,,,,,TissueCraftAI,,TissueCraftAI H&E generation text prompting,,,,,config_df2e5ea900f1,,model_ff0ac12f6b2a,,
linked,full_2026-07-06__rec_000063,route_170bcd5403de,route_5a170efb9d64,0.860342,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65625,0.820513,0.306383,1.0,0.676056,0.31068,TISSUENARRATOR,TISSUENARRATOR,Genetic perturbation from an edited cell,Genetic perturbation generation,primary_one_to_one,high,high_confidence_rewording_or_same_route,config_1dbd78fd297a,config_1dbd78fd297a,model_df8ed6559ceb,model_df8ed6559ceb,,
linked,full_2026-07-06__rec_000063,route_20d8a9154583,route_de59b0fceddc,0.825431,True,True,True,text_role,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.690909,0.544444,0.339623,1.0,0.049383,TISSUENARRATOR,TISSUENARRATOR,Spatial sentence fine-tuning,Spatial sentence fine-tuning,primary_one_to_one,moderate,same_structural_core_with_textual_or_interface_change,config_30d5b1c1447b,config_5e8d49c69552,model_df8ed6559ceb,model_df8ed6559ceb,,
linked,full_2026-07-06__rec_000063,route_57437427050f,route_a5e96dd9a19b,0.842348,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533333,0.820513,0.546256,0.6,0.682353,0.305085,TISSUENARRATOR,TISSUENARRATOR,Unconditional cell generation from neighbors,Cell generation from spatial neighborhood,primary_one_to_one,high,high_confidence_rewording_or_same_route,config_3b701d106497,config_0483e926ac88,model_df8ed6559ceb,model_df8ed6559ceb,,
linked,full_2026-07-06__rec_000063,route_8fa09b837884,route_dbc6b7ab297a,0.877612,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.688172,0.820513,0.511364,1.0,0.657895,0.301587,TISSUENARRATOR,TISSUENARRATOR,Counterfactual neighborhood perturbation,Neighborhood perturbation generation,primary_one_to_one,high,high_confidence_rewording_or_same_route,config_597a8a8b8d6b,config_597a8a8b8d6b,model_df8ed6559ceb,model_df8ed6559ceb,,
old_unmatched_removed_or_consolidated,full_2026-07-06__rec_000063,route_91b3698fe62e,,,,,,,,,,,,,,,,,,,,TISSUENARRATOR,,Conversational tissue querying from anatomical structure names,,,,,config_e923042c68c7,,model_df8ed6559ceb,,route_24ffc126eb25,0.691922
old_unmatched_removed_or_consolidated,full_2026-07-06__rec_000063,route_af4b51cff9c9,,,,,,,,,,,,,,,,,,,,TISSUENARRATOR,,Missing cell generation,,,,,config_3e9ce4e9da39,,model_df8ed6559ceb,,route_dbc6b7ab297a,0.603439
old_unmatched_removed_or_consolidated,full_2026-07-06__rec_000063,route_fb903d45d1ca,,,,,,,,,,,,,,,,,,,,TISSUENARRATOR,,Conditional cell generation from neighbors,,,,,config_e0407e5deda4,,model_df8ed6559ceb,,route_a5e96dd9a19b,0.824534
current_unmatched_added_or_split,full_2026-07-06__rec_000063,,route_24ffc126eb25,,,,,,,,,,,,,,,,,,,,TISSUENARRATOR,,Spatial Q&A: top cell types,,,,,config_bc93787e451a,,model_df8ed6559ceb,route_91b3698fe62e,0.691922
current_unmatched_added_or_split,full_2026-07-06__rec_000063,,route_6ccf596636de,,,,,,,,,,,,,,,,,,,,TISSUENARRATOR,,Spatial Q&A: top genes,,,,,config_c72b62f6828f,,model_df8ed6559ceb,route_91b3698fe62e,0.682873
current_unmatched_added_or_split,full_2026-07-06__rec_000063,,route_a3f58fcbfec1,,,,,,,,,,,,,,,,,,,,TISSUENARRATOR,,Spatial Q&A: region summarization,,,,,config_bdaf00473df9,,model_df8ed6559ceb,route_91b3698fe62e,0.672083
linked,full_2026-07-06__rec_000086,route_118ba39eeeec,route_de75413d9ba2,0.87337,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.488889,0.809249,1.0,0.75,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to protein retrieval,Protein retrieval protein sequence,primary_one_to_one,moderate,probable_modified_route,config_569f2c5902d7,config_f42dcc13c120,model_b1f724b128da,model_b1f724b128da,,
linked,full_2026-07-06__rec_000086,route_97aac4c25707,route_205dede67b6c,0.67308,True,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.315789,1.0,0.217391,0.315789,0.315789,PROCYON,ProCyon,GO Process,Zero-shot,primary_one_to_one,moderate,probable_modified_route,config_de3f51360710,config_5f87d2b37166,model_f8e766fddf66,model_f8e766fddf66,,
linked,full_2026-07-06__rec_000086,route_af667f84cbef,route_c4afa80469f5,0.840755,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.441558,0.369231,1.0,0.8,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to phenotype generation,Phenotype generation protein sequence,primary_one_to_one,moderate,probable_modified_route,config_0b319d328431,config_d9c453530470,model_b1f724b128da,model_b1f724b128da,,
linked,full_2026-07-06__rec_000086,route_b8281529f5e5,route_4c1c9b303c55,0.839232,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.455696,0.333333,1.0,0.8,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein structure to phenotype generation,Phenotype generation protein structure,primary_one_to_one,moderate,probable_modified_route,config_0b319d328431,config_d9c453530470,model_b1f724b128da,model_b1f724b128da,,
linked,full_2026-07-06__rec_000086,route_cb8365af8d56,route_440ad7fad63b,0.800606,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.512821,0.361702,0.836066,1.0,0.507463,1.0,PROCYON-SPLIT,PROCYON-SPLIT,phenotype prompt to protein retrieval,Protein retrieval query prompt,primary_one_to_one,moderate,probable_modified_route,config_569f2c5902d7,config_f42dcc13c120,model_b1f724b128da,model_b1f724b128da,,
linked,full_2026-07-06__rec_000086,route_ecfcba054763,route_9d3af98fe18f,0.646709,True,True,True,fusion_topology,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.266667,0.24,0.0,0.478873,0.32381,0.10628,PROCYON,PROCYON,indication description text to indication-specific drug target retrieval,Protein function retrieval prompt,primary_one_to_one,moderate,same_structural_core_with_textual_or_interface_change,config_1b7288b4a028,config_2f56a8eaf38c,model_f8e766fddf66,model_f8e766fddf66,,
linked,full_2026-07-06__rec_000086,route_f3764e1b6ce2,route_5d20ca16ef9b,0.643142,True,True,True,fusion_topology,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.185185,0.24,0.0,0.457143,0.359551,0.261905,PROCYON,PROCYON,drug mechanism text to drug-binding domain retrieval,Domain based protein retrieval prompt,primary_one_to_one,moderate,same_structural_core_with_textual_or_interface_change,config_593d0c90bfbc,config_54ef93b735da,model_f8e766fddf66,model_f8e766fddf66,,
linked,full_2026-07-06__rec_000086,route_f917f5551788,route_caa6f466af38,0.783335,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.529412,0.4,0.523077,1.0,0.506329,1.0,PROCYON-SPLIT,PROCYON-SPLIT,natural language prompt to phenotype generation,Phenotype generation text prompt,primary_one_to_one,moderate,probable_modified_route,config_0b319d328431,config_d9c453530470,model_b1f724b128da,model_b1f724b128da,,
linked,full_2026-07-06__rec_000086,route_fc03548c6fd1,route_e03e955f25bb,0.614547,True,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.516129,0.170213,0.0,0.166667,0.545455,0.15,PROCYON,PROCYON,GO Function,interaction,primary_one_to_one,moderate,same_structural_core_with_textual_or_interface_change,config_7159488fc62c,config_404ae1a44c21,model_f8e766fddf66,model_f8e766fddf66,,
