run_label,model,request_temperature,request_top_p,request_seed,request_max_tokens,enable_thinking,reasoning_effort,server_seed,max_concurrent,summary_files,records_sum_across_jobs
deepseek_v4_review_pipeline_10831_smoke3,deepseek-v4-flash,0.7,1.0,0,,,,,1,1,3
deepseek_v4_review_pipeline_10831_smoke35_thinking_c16,deepseek-v4-flash,0.7,1.0,0,,True,,,16,1,35
deepseek_v4_review_pipeline_10831_smoke35_thinking_streaming_c16,deepseek-v4-flash,0.7,1.0,0,,True,,,16,1,35
deepseek_v4_review_pipeline_10831_smoke3_thinking_c3,deepseek-v4-flash,0.7,1.0,0,,True,,,3,1,3
deepseek_v4_review_pipeline_10831_smoke6_thinking_streaming_c16,deepseek-v4-flash,0.7,1.0,0,,True,,,16,1,6
deepseek_v4_review_pipeline_10848_smoke1_thinking_high_mtp32k_s4_c1_mt8000,deepseek-v4-flash,0.7,1.0,0,8000.0,True,high,,1,1,1
deepseek_v4_review_pipeline_10890_genept_scopefix_wrapper_1_thinking_high_mtp32k_s4_c1_mt16000,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,,1,1,1
deepseek_v4_review_pipeline_10890_smoke35_scopefix_thinking_high_mtp32k_s4_c70_mt16000,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,,70,1,35
deepseek_v4_review_pipeline_10890_smoke35_thinking_high_mtp32k_s4_c70_mt16000,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,,70,1,35
deepseek_v4_review_pipeline_11033_remaining6_thinking_high_mtp32k_s4_3g1b_c36_mt16000,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,,12,1,6
deepseek_v4_review_pipeline_11157_smoke35_foundation_metadata_thinking_high_mtp32k_s4_c4_mt16000,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,,4,1,35
deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,0,72,1,440
deepseek_v4_review_pipeline_all4027_current_rep2_watchdog_20260510T013948Z,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,0,72,1,466
deepseek_v4_review_pipeline_all4027_foundation_metadata_replicate2_nondeterminism,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,0,48,1,431
deepseek_v4_review_pipeline_all4027_foundation_metadata_rerun_watchdog,deepseek-v4-flash,0.7,1.0,0,16000.0,True,high,0,48,1,346
gpt_oss_120b_review_pipeline_all4027_current_rep2_watchdog_20260511T1642Z,gpt-oss-120b,0.7,1.0,0,16000.0,False,,0,24,1,1202
gpt_oss_120b_review_pipeline_all4027_current_watchdog_20260511T1116Z,gpt-oss-120b,0.7,1.0,0,16000.0,False,,0,24,1,1129
nemotron3_super_120b_fp8_review_pipeline_all4027_current_rep2_watchdog_20260511T2040Z,nemotron3-super-120b-a12b-fp8,0.7,1.0,0,16000.0,False,,0,48,1,1805
nemotron3_super_120b_fp8_review_pipeline_all4027_current_watchdog_20260511T1116Z,nemotron3-super-120b-a12b-fp8,0.7,1.0,0,16000.0,False,,0,48,1,215
prompt_iter1_current_highsignal25_deepseekv4_3gpu_11472_20260509T125610Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,9,1,25
prompt_iter2_wrapper_relax_highsignal25_deepseekv4_3gpu_11472_20260509T131343Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,9,1,25
prompt_iter3_bridge_thin_highsignal25_deepseekv4_3gpu_11472_20260509T132756Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,9,1,25
prompt_iter3_repeat2_highsignal25_deepseekv4_3gpu_11472_20260509T134453Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,9,1,25
prompt_iter4_repeat2_highsignal25_deepseekv4_3gpu_11472_20260509T141758Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,9,1,25
prompt_iter4_text_conditioning_highsignal25_deepseekv4_3gpu_11472_20260509T140133Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,9,1,25
prompt_iter5_ambiguous_tiebreak_unstable3_deepseekv4_3gpu_11472_20260509T143515Z,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,,3,1,3
prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep1,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,0,12,1,116
prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep2,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,0,12,1,116
prompt_regression_116_deepseek_v4_iter5_3repeats_20260509T213855Z_rep3,deepseek-v4-flash,0.7,1.0,0,4000.0,True,high,0,12,1,116
prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep1,gpt-oss-120b,0.7,1.0,0,4000.0,False,,not_recorded_explicitly,6,1,116
prompt_regression_116_gpt_oss_120b_2repeats_20260509T214053Z_rep2,gpt-oss-120b,0.7,1.0,0,4000.0,False,,not_recorded_explicitly,6,1,116
