comparison,n,mismatch,mismatch_rate,INCLUDE_a,INCLUDE_b,INCLUDE_stable,INCLUDE_union,INCLUDE_jaccard,EXCLUDE_a,EXCLUDE_b,EXCLUDE_stable,EXCLUDE_union,EXCLUDE_jaccard,UNCERTAIN_a,UNCERTAIN_b,UNCERTAIN_stable,UNCERTAIN_union,UNCERTAIN_jaccard
Full 4027 DeepSeek baseline,4027,295,0.073,50,50,37,63,0.587,3424,3410,3273,3561,0.919,553,567,422,698,0.605
Full 4027 DeepSeek current pipeline,4027,234,0.058,32,33,29,36,0.806,3489,3498,3378,3609,0.936,506,496,386,616,0.627
High-signal 25 iter3 DeepSeek,25,2,0.08,8,7,7,8,0.875,13,14,13,14,0.929,4,4,3,5,0.6
High-signal 25 iter4 DeepSeek,25,3,0.12,9,8,8,9,0.889,14,15,13,16,0.812,2,2,1,3,0.333
Regression 116 DeepSeek r1/r2,116,21,0.181,34,37,33,38,0.868,62,61,53,70,0.757,20,18,9,29,0.31
Regression 116 DeepSeek r1/r3,116,19,0.164,34,36,32,38,0.842,62,63,55,70,0.786,20,17,10,27,0.37
Regression 116 DeepSeek r2/r3,116,18,0.155,37,36,33,40,0.825,61,63,55,69,0.797,18,17,10,25,0.4
Regression 116 GPT-OSS r1/r2,116,8,0.069,49,47,46,50,0.92,63,64,60,67,0.896,4,5,2,7,0.286
Cross-model DS r1 vs GPT r1,116,24,0.207,34,49,34,49,0.694,62,63,54,71,0.761,20,4,4,20,0.2
Cross-model DS r2 vs GPT r2,116,28,0.241,37,47,33,51,0.647,61,64,52,73,0.712,18,5,3,20,0.15
Cross-model DS r3 vs GPT r1,116,23,0.198,36,49,35,50,0.7,63,63,55,71,0.775,17,4,3,18,0.167
