action,reason,cluster_id,source_db,title,doi,matched_with_db,matched_with_title
NEW,No match found,0,pubmed,Interpretable deep generative ensemble learning for single-cell omics with Hydra.,10.1038/s44320-026-00208-7,,
NEW,No match found,1,pubmed,Single-Cell and Spatial Omics: Methods and Applications.,10.1002/mco2.70713,,
NEW,No match found,2,pubmed,Generative AI in drug repurposing and biomarker discovery: a multimodal approach.,10.3389/fbinf.2026.1755412,,
NEW,No match found,3,pubmed,"Artificial intelligence in oral oncology: Current advances and future potential in diagnosis, progno",10.1016/j.ctarc.2026.101193,,
NEW,No match found,4,pubmed,AI assistance in tumor multidisciplinary teams.,10.1016/j.esmorw.2026.100684,,
NEW,No match found,5,pubmed,A deep-learning based biomarker of systemic cellular senescence burden to predict mortality and heal,10.64898/2026.03.20.26348913,,
NEW,No match found,6,pubmed,Hidden immune memory niches in inflammatory skin diseases.,10.64898/2026.03.20.713219,,
NEW,No match found,7,pubmed,Multimodal Deep Learning with Routine Clinical Data for Recurrence Risk Stratification in HR,10.34133/research.1136,,
NEW,No match found,8,pubmed,A Bilayer Feature Fusion Framework for Pan-Cancer Survival Prediction Based on Multihead Attention a,10.2196/83743,,
NEW,No match found,9,pubmed,Toward next-generation machine learning and deep learning for spatial omics.,10.1093/bib/bbag131,,
NEW,No match found,10,pubmed,AI-Driven Drug Discovery: Focus on Targets for Solid Tumors.,10.3390/pharmaceutics18030329,,
NEW,No match found,11,pubmed,"Molecular Pathology, Artificial Intelligence, and New Technologies in Hematologic Diagnostics: Trans",10.3390/diagnostics16060913,,
NEW,No match found,12,pubmed,Current Applications and Future Directions of Artificial Intelligence in Prostate Cancer Diagnosis: ,10.3390/curroncol33030166,,
NEW,No match found,13,pubmed,Structure-aware graph learning predicts RNA editability across tissues and species.,10.21203/rs.3.rs-8793265/v1,,
NEW,No match found,14,pubmed,SpatialFusion: A lightweight multimodal foundation model for pathway-informed spatial niche mapping.,10.64898/2026.03.16.712056,,
NEW,No match found,15,pubmed,"HViLM: A Foundation Model for Viral Genomics Enables Multi-Task Prediction of Pathogenicity, Transmi",10.64898/2026.03.18.712700,,
NEW,No match found,16,pubmed,Triad-LMF: a hierarchical low-rank multimodal fusion framework for robust cancer subtype classificat,10.1186/s12859-026-06378-3,,
NEW,No match found,17,pubmed,High-fidelity bidirectional translation between single-cell transcriptomes and DNA methylomes with s,10.1101/gr.281350.125,,
NEW,No match found,18,pubmed,"Large language model agents for biological intelligence across genomics, proteomics, spatial biology",10.1093/bib/bbag110,,
NEW,No match found,19,pubmed,Toward Computationally Complete Spatial Omics.,10.64898/2026.03.03.709303,,
NEW,No match found,20,pubmed,Application of large language models to the annotation of cell lines and mouse strains in genomics d,10.64898/2026.03.05.709906,,
