candidate_id,source_run,record_id,title,doi,manifest_status,pdf_found,pdf_path,pdf_bytes
full_2026-07-06__rec_000003,full_2026-07-06,rec_000003,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000003__Short-Context_Regulatory_DNA_Language_Models_with_Motif-Discovery_Regu/full_text_pass2_11_pattern_biorxiv_versioned.pdf,6647801
full_2026-07-06__rec_000060,full_2026-07-06,rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,no_full_text_found,True,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000060__Query-driven_generative_AI_synthesizes_multi-modal_spatial_omics_from_/full_text_pass2_01_pattern_biorxiv_versioned.pdf,1770069
full_2026-07-06__rec_000063,full_2026-07-06,rec_000063,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar/full_text_05_openalex_content_pdf.pdf,3410675
full_2026-07-06__rec_000086,full_2026-07-06,rec_000086,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000086__ProCyon_A_multimodal_foundation_model_for_protein_phenotypes./full_text_pass2_01_html_full_text_05_openalex_landi.pdf,26292832
full_2026-07-06__rec_000090,full_2026-07-06,rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000090__Scaling_Large_Language_Models_for_Next-Generation_Single-Cell_Analysis/full_text_01_biorxiv_medrxiv_pdf.pdf,12996044
full_2026-07-06__rec_000099,full_2026-07-06,rec_000099,Semantic design of functional de novo genes from a genomic language model.,10.1038/s41586-025-09749-7,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000099__Semantic_design_of_functional_de_novo_genes_from_a_genomic_language_mo/full_text_07_europepmc_Europe_PMC.pdf,18287651
full_2026-07-06__rec_000160,full_2026-07-06,rec_000160,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,10.1101/2025.08.27.672609,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000160__PlantCAD2_A_Long-Context_DNA_Language_Model_for_Cross-Species_Function/full_text_05_openalex_content_pdf.pdf,2552621
full_2026-07-06__rec_000184,full_2026-07-06,rec_000184,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,10.1093/bioinformatics/btaf469,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000184__TRAFICA_an_open_chromatin_language_model_to_improve_transcription_fact/full_text_09_europepmc_Europe_PMC.pdf,5069137
full_2026-07-06__rec_000246,full_2026-07-06,rec_000246,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,10.1073/pnas.2421738122,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000246__Cross-species_modeling_of_plant_genomes_at_single-nucleotide_resolutio/full_text_07_europepmc_Europe_PMC.pdf,2964047
full_2026-07-06__rec_000313,full_2026-07-06,rec_000313,GENA-LM: a family of open-source foundational DNA language models for long sequences.,10.1093/nar/gkae1310,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000313__GENA-LM_a_family_of_open-source_foundational_DNA_language_models_for_l/full_text_10_europepmc_Europe_PMC.pdf,2569084
