candidate_id,source_record_id,title,doi,source_pdf,profile_status,profile_kind,docling_json,markdown,figures_manifest,figure_count,picture_description_count,scientific_figure_count,non_scientific_image_count,chunks,chunks_status,picture_description_backend,picture_description_model,picture_description_area_threshold,picture_description_max_tokens,picture_description_scale
full_2026-07-06__rec_000060,rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000060__Query-driven_generative_AI_synthesizes_multi-modal_spatial_omics_from_/full_text_pass2_01_pattern_biorxiv_versioned.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000060.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000060.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000060/figures_manifest.json,6,6,6,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_000063,rec_000063,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar/full_text_05_openalex_content_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000063.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000063.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000063/figures_manifest.json,4,4,4,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_000086,rec_000086,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000086__ProCyon_A_multimodal_foundation_model_for_protein_phenotypes./full_text_pass2_01_html_full_text_05_openalex_landi.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000086.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000086.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000086/figures_manifest.json,7,7,6,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_000090,rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000090__Scaling_Large_Language_Models_for_Next-Generation_Single-Cell_Analysis/full_text_01_biorxiv_medrxiv_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000090.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000090.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000090/figures_manifest.json,13,13,13,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_000771,rec_000771,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000771__A_multimodal_conversational_agent_for_DNA_RNA_and_protein_tasks/full_text_01_openalex_pdf_url.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000771.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000771.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000771/figures_manifest.json,9,9,7,2,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_000827,rec_000827,Multimodal learning enables chat-based exploration of single-cell data,10.1038/s41587-025-02857-9,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000827__Multimodal_learning_enables_chat-based_exploration_of_single-cell_data/full_text_01_openalex_pdf_url.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000827.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000827.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000827/figures_manifest.json,23,23,21,2,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_000950,rec_000950,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000950__Illuminating_protein_space_with_a_programmable_generative_model/full_text_01_openalex_pdf_url.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000950.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000950.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_000950/figures_manifest.json,8,8,5,3,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_001074,rec_001074,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_001074__BioReason_Incentivizing_Multimodal_Biological_Reasoning_within_a_DNA-L/full_text_01_arxiv_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001074.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001074.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_001074/figures_manifest.json,4,4,4,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_001126,rec_001126,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001126__Language_may_be_all_omics_needs_Harmonizing_multimodal_data_for_omics_/full_text_05_openalex_content_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001126.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001126.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_001126/figures_manifest.json,5,5,5,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_001187,rec_001187,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,10.1101/2024.07.25.605062,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001187__Precious3GPT_Multimodal_Multi-Species_Multi-Omics_Multi-Tissue_Transfo/full_text_05_openalex_content_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001187.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001187.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_001187/figures_manifest.json,13,13,12,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
