record_id,candidate_id,title,doi,final_code,uncertainty_reason,final_docling_status,selected_attempt_status,source_kind,source_file,docling_json,markdown,chunks,chunk_count,figure_count,figures_manifest,manifest,output_root,attempt_count,notes
rec_000031,full_2026-07-06__rec_000031,CLAMP: predicting specific protein-mediated chromatin loops in diverse species with a chromatin accessibility language model.,10.1186/s13059-026-03948-9,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000031__CLAMP_predicting_specific_protein-mediated_chromatin_loops_in_diverse_/full_text_09_europepmc_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000031.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000031.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000031.jsonl,124,13,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000031/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000106,full_2026-07-06__rec_000106,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities.,10.1002/advs.202513210,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000106__CELLama_Foundation_Model_for_Single_Cell_and_Spatial_Transcriptomics_b/full_text_09_europepmc_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000106.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000106.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000106.jsonl,103,32,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000106/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000129,full_2026-07-06__rec_000129,Genos: a human-centric genomic foundation model.,10.1093/gigascience/giaf132,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000129__Genos_a_human-centric_genomic_foundation_model./full_text_09_europepmc_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000129.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000129.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000129.jsonl,92,10,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000129/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000149,full_2026-07-06__rec_000149,Predicting functional constraints across evolutionary timescales with phylogeny-informed genomic language models.,10.1101/2025.09.21.677619,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/biorxiv_chrome_download_fixed/rec_000149_2025.09.21.677619v1.full.pdf,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08/documents/rec_000149_2025_09_21_677619v1_full.docling.json,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08/markdown/rec_000149_2025_09_21_677619v1_full.md,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08/chunks/rec_000149_2025_09_21_677619v1_full.jsonl,263,27,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08/figures/rec_000149_2025_09_21_677619v1_full/figures_manifest.json,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_biorxiv_chrome_no_vlm_2026-07-08,2,
rec_000324,full_2026-07-06__rec_000324,EpiGePT: a pretrained transformer-based language model for context-specific human epigenomics.,10.1186/s13059-024-03449-7,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000324__EpiGePT_a_pretrained_transformer-based_language_model_for_context-spec/full_text_01_openalex_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000324.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000324.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000324.jsonl,157,8,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000324/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000405,full_2026-07-06__rec_000405,Multimodal Learning for Mapping the Genotype-Phenotype Dynamics.,10.21203/rs.3.rs-4355413/v1,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000405__Multimodal_Learning_for_Mapping_the_Genotype-Phenotype_Dynamics./full_text_05_openalex_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000405.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000405.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000405.jsonl,92,14,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000405/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000483,full_2026-07-06__rec_000483,EpiGePT: a Pretrained Transformer model for epigenomics.,10.1101/2023.07.15.549134,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_missing_uncertain_retry_2026-07-08/standard_retry/run__rec_000483__EpiGePT_a_Pretrained_Transformer_model_for_epigenomics./full_text_05_openalex_content_pdf.pdf,data/docling_uncertain_no_vlm_retry_2026-07-08/documents/run_rec_000483.docling.json,data/docling_uncertain_no_vlm_retry_2026-07-08/markdown/run_rec_000483.md,data/docling_uncertain_no_vlm_retry_2026-07-08/chunks/run_rec_000483.jsonl,118,6,data/docling_uncertain_no_vlm_retry_2026-07-08/figures/run_rec_000483/figures_manifest.json,data/docling_uncertain_no_vlm_retry_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_retry_2026-07-08,1,
rec_000696,full_2026-07-06__rec_000696,Deciphering enzymatic potential in metagenomic reads through DNA language models,10.1093/nar/gkaf836,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000696__Deciphering_enzymatic_potential_in_metagenomic_reads_through_DNA_langu/full_text_09_europepmc_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000696.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000696.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000696.jsonl,118,9,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000696/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000711,full_2026-07-06__rec_000711,PTM-Mamba: a PTM-aware protein language model with bidirectional gated Mamba blocks,10.1038/s41592-025-02656-9,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000711__PTM-Mamba_a_PTM-aware_protein_language_model_with_bidirectional_gated_/full_text_01_openalex_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000711.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000711.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000711.jsonl,46,5,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000711/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_000720,full_2026-07-06__rec_000720,A foundation language model to decipher diverse regulation of RNAs,10.1186/s13059-025-03752-x,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000720__A_foundation_language_model_to_decipher_diverse_regulation_of_RNAs/full_text_01_openalex_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_000720.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000720.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_000720.jsonl,128,8,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_000720/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
