fact_id,description,count
records_identified,Records identified across seven databases and four search rounds,7531
duplicates_removed,Duplicates removed,2729
unique_or_new_after_dedup,Unique or new records after deduplication,4802
without_usable_abstract,Records without usable abstracts,225
title_abstract_screened,Records screened by title and abstract,4577
title_abstract_excluded,Records excluded at title/abstract screening,4327
full_text_candidates,Full-text candidates,250
reports_not_retrieved,Reports not retrieved,15
reports_retrieved,Reports retrieved,235
without_valid_targeted_section_pair,Reports without a valid targeted-section pair,14
targeted_section_screened,Reports screened using complete selected sections,221
automated_include,Automated full-section INCLUDE,50
automated_exclude,Automated full-section EXCLUDE,165
automated_uncertain,Automated full-section UNCERTAIN,6
manual_resolution_include,Manual resolution to INCLUDE,2
manual_resolution_exclude,Manual resolution to EXCLUDE,4
accepted_records,Accepted records,52
full_text_excluded_after_resolution,Full-section exclusions after resolution,169
