family_id,family,subtype_id,subtype,routes,family_records
text_native_token_stream,Text-native token streams,plain_language_prompt_or_question,Plain-language prompts or questions,62,44
text_native_token_stream,Text-native token streams,structured_biological_prompt_or_task_scaffold,Structured biological prompts/task scaffolds,153,44
text_native_token_stream,Text-native token streams,serialized_biological_context_or_ordered_profile,Serialized biological contexts/ordered profiles,66,44
dense_continuous_carrier,Dense continuous carriers,direct_projected_embedding,Direct projected embeddings,53,25
dense_continuous_carrier,Dense continuous carriers,virtual_token_prefix,Virtual-token prefixes,8,25
dense_continuous_carrier,Dense continuous carriers,connector_mediated_embedding,Connector-mediated embeddings,17,25
dense_continuous_carrier,Dense continuous carriers,pooled_or_aggregated_embedding,Pooled/aggregated embeddings,9,25
visual_raster_carrier,Visual raster carriers,raw_slide_or_patch_input,Raw slide or patch input,54,10
visual_raster_carrier,Visual raster carriers,patch_context_or_case_level_visual_reasoning,Patch-context/case-level visual reasoning,8,10
discrete_biological_symbol_stream,Discrete biological symbol streams,native_biological_token_stream,Native biological token streams,32,16
discrete_biological_symbol_stream,Discrete biological symbol streams,multi_track_structural_symbol_stream,Multi-track structural symbol streams,8,16
discrete_biological_symbol_stream,Discrete biological symbol streams,learned_quantized_id_or_codebook_token,Learned quantized IDs/codebook tokens,2,16
geometric_or_diffusion_state_carrier,Geometric or diffusion-state carriers,noisy_diffusion_state,Noisy diffusion state,5,5
geometric_or_diffusion_state_carrier,Geometric or diffusion-state carriers,coordinate_backbone_or_shape_conditioning,Coordinate/backbone/shape conditioning,10,5
geometric_or_diffusion_state_carrier,Geometric or diffusion-state carriers,symbolic_structural_constraint,Symbolic structural constraints,2,5
