record_id,selected_artifact,selected_artifact_sha256,alternative_success_artifacts
full_2026-07-06__rec_000060,data/input_representation_taxonomy_2026-07-11/adjudication/shard_002/records/full_2026-07-06__rec_000060/adjudicated_routes.json,faa587102985873ced6fae5d5aadc5333e9ccb2fb3bf0484aeddf150e697756c,[]
full_2026-07-06__rec_000063,data/input_representation_taxonomy_2026-07-11/adjudication/shard_005/records/full_2026-07-06__rec_000063/adjudicated_routes.json,09829b57081bb2dbaeb80a2db9e9f9ca2b923d606fb23870f96f6083177a08e3,[]
full_2026-07-06__rec_000086,data/input_representation_taxonomy_2026-07-11/adjudication/shard_010/records/full_2026-07-06__rec_000086/adjudicated_routes.json,8a866aabda66c6da49202b3b7aee59f0c6bce4dcc09cd56f88ba2191583df9b3,[]
full_2026-07-06__rec_000090,data/input_representation_taxonomy_2026-07-11/adjudication/replay_rec000090_request2/records/full_2026-07-06__rec_000090/adjudicated_routes.json,cf993f9aef1723f75f30c2a4f6be4826967e525c098b04e84192a59d5dfb797c,[]
full_2026-07-06__rec_000771,data/input_representation_taxonomy_2026-07-11/adjudication/shard_015/records/full_2026-07-06__rec_000771/adjudicated_routes.json,219ddc775b5fff36d1251c7ab85a3f96c147f2d3a3fdc66b7bdcda1abcf61291,[]
full_2026-07-06__rec_000827,data/input_representation_taxonomy_2026-07-11/adjudication/shard_047/records/full_2026-07-06__rec_000827/adjudicated_routes.json,dae55ff29d5174d9f0a5cf452875f216d2ca99afc41b7df4c63b6cd973e2a794,[]
full_2026-07-06__rec_000950,data/input_representation_taxonomy_2026-07-11/adjudication/shard_039/records/full_2026-07-06__rec_000950/adjudicated_routes.json,0b55cbadf796e0ab06144fa03be3de20be916689b8fe44beb4b37a6bb4266adb,[]
full_2026-07-06__rec_001074,data/input_representation_taxonomy_2026-07-11/adjudication/shard_041/records/full_2026-07-06__rec_001074/adjudicated_routes.json,6ca158a540f6e080ba28d2153ac0e20a8e0c5df17123a77d266c94c4dd52f59f,[]
full_2026-07-06__rec_001126,data/input_representation_taxonomy_2026-07-11/adjudication/shard_046/records/full_2026-07-06__rec_001126/adjudicated_routes.json,6e7b1697905244a5125e5b829ede52facbe45736171c0fa2bc039c1fa8649f62,[]
full_2026-07-06__rec_001187,data/input_representation_taxonomy_2026-07-11/adjudication/replay_rec001187/records/full_2026-07-06__rec_001187/adjudicated_routes.json,d4a14819ae54c567d74de4f845a9f1c55af208b445702c7e4f103f4465eb7580,[]
full_2026-07-06__rec_001200,data/input_representation_taxonomy_2026-07-11/adjudication/retry_rec001200/records/full_2026-07-06__rec_001200/adjudicated_routes.json,b5d207b5f1c4451eada9966407c8e6fa65c77f4b234ac2d2ae8b92b950ec5b82,[]
full_2026-07-06__rec_001218,data/input_representation_taxonomy_2026-07-11/adjudication/shard_004/records/full_2026-07-06__rec_001218/adjudicated_routes.json,9c4144532a7a2ea216c1d3e50db0cf957f2c0240b7dfb89f1bafead554edb949,[]
full_2026-07-06__rec_001277,data/input_representation_taxonomy_2026-07-11/adjudication/shard_011/records/full_2026-07-06__rec_001277/adjudicated_routes.json,8f8a3ffc85a36e2a9d11e9b680587eb9d49c14af6fa6da2bc69f6f5dc6ed93a3,[]
full_2026-07-06__rec_001319,data/input_representation_taxonomy_2026-07-11/adjudication/shard_020/records/full_2026-07-06__rec_001319/adjudicated_routes.json,3400fb2c19899c3a5b10c7d8b0a96bddae126b4302c8667c5e45aa9a66eecf34,[]
full_2026-07-06__rec_001343,data/input_representation_taxonomy_2026-07-11/adjudication/shard_021/records/full_2026-07-06__rec_001343/adjudicated_routes.json,f225ea76e745ef3af2459fcb252cba1f77bece7a8b9811d8e946bce1ba230127,[]
full_2026-07-06__rec_001352,data/input_representation_taxonomy_2026-07-11/adjudication/shard_026/records/full_2026-07-06__rec_001352/adjudicated_routes.json,9297b9e54d84d26a654685156d5915ce98e4a30415aef996141422f4ffac9dc6,[]
full_2026-07-06__rec_001381,data/input_representation_taxonomy_2026-07-11/adjudication/shard_033/records/full_2026-07-06__rec_001381/adjudicated_routes.json,21a66bc765c086891bc5af2b678bc5a5e98d75405f038e4fda70e717ba185a7d,[]
full_2026-07-06__rec_001519,data/input_representation_taxonomy_2026-07-11/adjudication/shard_000/records/full_2026-07-06__rec_001519/adjudicated_routes.json,e2186ec0cbb7c4ef0c2dbb7558ac5321b54ef2b5f2069285e0ad5cb50fde3d23,[]
full_2026-07-06__rec_001617,data/input_representation_taxonomy_2026-07-11/adjudication/shard_007/records/full_2026-07-06__rec_001617/adjudicated_routes.json,56cb91850d6539da955a1a6ad96ce5cf4accd705248a179cefba12680c6c0a0c,[]
full_2026-07-06__rec_001687,data/input_representation_taxonomy_2026-07-11/adjudication/shard_040/records/full_2026-07-06__rec_001687/adjudicated_routes.json,1acfa0e1ad189c37919f690d4d2077bc9e7d12244201979562a4c467970dc43d,[]
full_2026-07-06__rec_001773,data/input_representation_taxonomy_2026-07-11/adjudication/shard_008/records/full_2026-07-06__rec_001773/adjudicated_routes.json,108f4c7fde604206a243e2924156254223125b2a71fcf5bac24861a087763f57,[]
full_2026-07-06__rec_001830,data/input_representation_taxonomy_2026-07-11/adjudication/shard_048/records/full_2026-07-06__rec_001830/adjudicated_routes.json,b207102aa3eda7dc53a6b195e6364e73d98a939c10880483d2edb4bd8cdca7d4,[]
full_2026-07-06__rec_001838,data/input_representation_taxonomy_2026-07-11/adjudication/shard_012/records/full_2026-07-06__rec_001838/adjudicated_routes.json,960e6fb30c055f04d977a97bb2ce9ef774b3464e11ab046f58d1469ff8a9d3fc,[]
full_2026-07-06__rec_001889,data/input_representation_taxonomy_2026-07-11/adjudication/shard_016/records/full_2026-07-06__rec_001889/adjudicated_routes.json,7d8891d3353fc3c5828940b592a3e8188badc595305a801957dcd774a0f36c6b,[]
full_2026-07-06__rec_002049,data/input_representation_taxonomy_2026-07-11/adjudication/shard_022/records/full_2026-07-06__rec_002049/adjudicated_routes.json,0bab4f0f2a010f9ffe84c7a24343192bff280dce6fa7e8ac32a097282b138ec5,[]
full_2026-07-06__rec_002105,data/input_representation_taxonomy_2026-07-11/adjudication/shard_023/records/full_2026-07-06__rec_002105/adjudicated_routes.json,69081e33fc4f5e91e97196211c42f56ad77198c2b7d451d19d5870cabf754762,[]
full_2026-07-06__rec_002243,data/input_representation_taxonomy_2026-07-11/adjudication/final_retry_rec002243/records/full_2026-07-06__rec_002243/adjudicated_routes.json,1055e240c40d73fbf09fed70f0abe89bd19aa3965b43eeccaa70a90eb7b49723,[]
full_2026-07-06__rec_002304,data/input_representation_taxonomy_2026-07-11/adjudication/shard_034/records/full_2026-07-06__rec_002304/adjudicated_routes.json,43065dc39d9c8805e28f2c6f54170b1cf4bfe1bff5e6b1dc7d87a08282b586af,[]
full_2026-07-06__rec_002327,data/input_representation_taxonomy_2026-07-11/adjudication/shard_037/records/full_2026-07-06__rec_002327/adjudicated_routes.json,95f0bef4301c28ed07736c8d08922729feb3b05c9ff69bbc8a5117e328a688e1,[]
full_2026-07-06__rec_002517,data/input_representation_taxonomy_2026-07-11/adjudication/shard_017/records/full_2026-07-06__rec_002517/adjudicated_routes.json,6b574d7965cc38f4fec1977aa60555cbefb79c115c68d42800b82f7d51ffcb39,[]
full_2026-07-06__rec_003008,data/input_representation_taxonomy_2026-07-11/adjudication/shard_042/records/full_2026-07-06__rec_003008/adjudicated_routes.json,573e2cda11c2dd3dedd47dee7c2466cf7deda7cfdca514568ff5da5ee591b114,[]
full_2026-07-06__rec_003043,data/input_representation_taxonomy_2026-07-11/adjudication/shard_049/records/full_2026-07-06__rec_003043/adjudicated_routes.json,151ab86c3383f2c85389b18659b318031a9e8cf03aec7102b5fefbea8c14e9fb,[]
full_2026-07-06__rec_003131,data/input_representation_taxonomy_2026-07-11/adjudication/shard_018/records/full_2026-07-06__rec_003131/adjudicated_routes.json,02088d0414d8610cd6cbcbc56f2347f16b3a75857f60cdcd0a0cda523e2189c5,[]
full_2026-07-06__rec_003188,data/input_representation_taxonomy_2026-07-11/adjudication/shard_024/records/full_2026-07-06__rec_003188/adjudicated_routes.json,be499093036cdd5278ee92836cd2f692ce35cfa93a8577b88af247f1f24b0d21,[]
full_2026-07-06__rec_003206,data/input_representation_taxonomy_2026-07-11/adjudication/shard_028/records/full_2026-07-06__rec_003206/adjudicated_routes.json,e33ec5c69ba50d9a6ab77908d9f0695c42138fdffdb50b6eb49e46ba5d5c254a,[]
full_2026-07-06__rec_003214,data/input_representation_taxonomy_2026-07-11/adjudication/shard_035/records/full_2026-07-06__rec_003214/adjudicated_routes.json,a95552e98d6b42525432abd8b732e55ac3a457010242850c77722b5a55042b81,[]
full_2026-07-06__rec_003323,data/input_representation_taxonomy_2026-07-11/adjudication/retry_rec003323/records/full_2026-07-06__rec_003323/adjudicated_routes.json,b161187dd727af7d527c1a3cfb98102c8fdc7719b174984d63b3501b9cf10046,[]
full_2026-07-06__rec_003394,data/input_representation_taxonomy_2026-07-11/adjudication/retry_rec003394/records/full_2026-07-06__rec_003394/adjudicated_routes.json,49fc7b487873053e039584e0dda4ff5838f9080ea44c30f36816623fa3e3dcb6,[]
full_2026-07-06__rec_003434,data/input_representation_taxonomy_2026-07-11/adjudication/retry_rec003434/records/full_2026-07-06__rec_003434/adjudicated_routes.json,6f04ebfed7a2c9f21b66646ae4de59352466cfe00227a5c7a77d99d445d8f703,[]
full_2026-07-06__rec_003517,data/input_representation_taxonomy_2026-07-11/adjudication/replay_rec003517/records/full_2026-07-06__rec_003517/adjudicated_routes.json,f03f6faa28a7e66d403eed424d6e66088d87c331803909681a3819965cca0afe,[]
full_2026-07-06__rec_003629,data/input_representation_taxonomy_2026-07-11/adjudication/shard_031/records/full_2026-07-06__rec_003629/adjudicated_routes.json,10c6e789dec3af27e795d9efd2d1addc762fe40718cc2099b539a2b2fa395a06,[]
full_2026-07-06__rec_003852,data/input_representation_taxonomy_2026-07-11/adjudication/final2_retry_rec003852/records/full_2026-07-06__rec_003852/adjudicated_routes.json,1ec2642a6aead45c2e743ccbd204cf8e030e319de079ba619d31a8b4a26e70e9,[]
july_update_2026-07-06__rec_000050,data/input_representation_taxonomy_2026-07-11/adjudication/shard_051/records/july_update_2026-07-06__rec_000050/adjudicated_routes.json,6844970b7238427e333c35936ceac159a2d6dde24ed89defa92b7a5599ce2b7f,[]
july_update_2026-07-06__rec_000060,data/input_representation_taxonomy_2026-07-11/adjudication/shard_001/records/july_update_2026-07-06__rec_000060/adjudicated_routes.json,51159b23932a8fcca1cdec0cc73a7bf685f35d7ca4422d405397235f866b89f7,[]
june_update_2026-06-10__rec_000121,data/input_representation_taxonomy_2026-07-11/adjudication/shard_009/records/june_update_2026-06-10__rec_000121/adjudicated_routes.json,6f8b264e0775d3137dd3c420010efc12c8a77b9ec5dbaad928b22a74199d512d,[]
june_update_2026-06-10__rec_000133,data/input_representation_taxonomy_2026-07-11/adjudication/final_native_retry_rec000133/records/june_update_2026-06-10__rec_000133/adjudicated_routes.json,bf4f89ea72c559ba412a9843201b13cb5a526a53cf89a29dc1b30d94deebff9f,[]
june_update_2026-06-10__rec_000148,data/input_representation_taxonomy_2026-07-11/adjudication/replay_rec000148_request2/records/june_update_2026-06-10__rec_000148/adjudicated_routes.json,3f256e97f48784fb3f97d71cef55efa39cd206853223c56354ce51da0045ae1d,[]
