carrier_subtype,route_count
connector_mediated_embedding,17
coordinate_backbone_or_shape_conditioning,10
direct_projected_embedding,53
learned_quantized_id_or_codebook_token,2
multi_track_structural_symbol_stream,8
native_biological_token_stream,32
noisy_diffusion_state,5
patch_context_or_case_level_visual_reasoning,8
plain_language_prompt_or_question,62
pooled_or_aggregated_embedding,9
raw_slide_or_patch_input,54
serialized_biological_context_or_ordered_profile,66
structured_biological_prompt_or_task_scaffold,153
symbolic_structural_constraint,2
virtual_token_prefix,8
