source_modality_normalized,route_count
DNA,16
DNA methylation,8
DNA methylation profiles,2
DNA sequence,23
H&E whole-slide image,2
RNA,28
RNA expression,2
RNAseq,1
array expression,1
batch metadata,1
blood chemistry and hematology,1
bulk RNA-seq,2
cell,1
cell fitness labels,1
cell type label,1
cell-conditioned transcriptomic profile,1
chemically induced expression perturbations,1
clinical biomarker,2
clinical image,1
clinical text,1
condition metadata,1
continuous numerical vectors,4
cytokine perturbation labels,1
disease indication,1
drug perturbation labels,1
expression profiles,1
functional genomics,1
gene embeddings,1
gene expression,3
gene lists,1
gene-set database resources,1
gene-set text,1
genes,1
genetic perturbation transcriptomic responses,1
genomic,2
genomics,1
geometric shape specification,1
graph,2
graph network,2
graph/network,4
histology image,2
histology/slide image,25
histopathology image,6
image,1
image-based morphology,1
interaction labels,1
literature,1
mammography image,2
mixed,7
molecular structure,1
molecule,1
multi-omics,1
mutation,1
natural language text,1
nucleotide sequence,8
omics tabular data,1
paired histopathology image and spatial transcriptomics,3
pathology image,1
plain language text,1
protein,11
protein annotations,1
protein homology,1
protein sequence,5
protein sequence pairs,3
protein structure,8
protein structure constraints,4
protein-peptide complex,1
protein/peptide,3
proteomics,6
radiology image,7
ranked gene names,1
scRNA-seq,2
single-cell RNA,9
single-cell RNA-seq,3
single-cell chromatin accessibility-derived gene activity,1
single-cell chromatin accessibility-derived vector,1
single-cell gene expression,4
single-cell gene expression and drug,1
single-cell gene expression matrix,1
single-cell gene-expression tokens,1
single-cell perturbation transcriptomics,3
single-cell transcriptomic data,2
single-cell transcriptomic vector,1
single-cell transcriptomics,12
small molecule,7
spatial omics,7
spatial transcriptomics,9
structured biological data,2
structured perturbation examples,1
text,165
text questions,1
textual gene symbol,1
transcriptome,6
transcriptomic profile plus phenotype context,1
transcriptomic profiles,1
transcriptomics,3
transcriptomics-derived text prompts,1
