candidate_id,source_record_id,title,doi,source_document,source_document_sha256,source_document_kind,source_pdf,profile_status,document_identity_status,document_identity_evidence,profile_kind,docling_json,docling_json_sha256,markdown,markdown_sha256,figures_manifest,figures_manifest_sha256,figure_count,picture_description_count,scientific_figure_count,non_scientific_image_count,chunks,chunks_status,picture_description_backend,picture_description_model,picture_description_area_threshold,picture_description_max_tokens,picture_description_scale,cohort_manifest_source
full_2026-07-06__rec_000060,rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000060.pdf,4cb4e838fd67c4539aa25e5ff18da6714e3006fec3647976df7c771e35308a7a,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000060.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 0.414286, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Abstract"", ""Introduction"", ""Results"", ""A Large-Scale, Multi-Modal Dataset for Computational Pathology"", ""The TissueCraftAI Framework"", ""TissueCraftAI Excels at Synthesizing Realistic Histology Images from Nuclear Staining Images"", ""TissueCraftAI Accurately Predicts Spatial Proteomics Images from H&amp;E Images"", ""Applications to Cellular-Level Spatial Analysis""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000060_39a83b77f2f1.docling.json,1aea2a8c0cd045571936ebb30b04603dad12c0fc356220dd760f761364365a25,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000060_39a83b77f2f1.md,1b2ee33638271f270899b43e0ccbe443370fa469436ade95278717ddfc51fd11,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000060_39a83b77f2f1/figures_manifest.json,71e3101336ae7d8fa76268edef5399cec6ec810d887159f2b072020a87e7a231,6,6,6,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_000063,rec_000063,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000063.pdf,5378f64150bf2420c580e665e5047a3433514e18d33ed647af0db1841e050870,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000063.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models"", ""Abstract"", ""Introduction"", ""Results"", ""Overview of generative modeling in TISSUENARRATOR"", ""TISSUENARRATOR generates cells that capture realistic cell-cell interaction patterns""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000063_b081bf83cc88.docling.json,a3c9496f521f5cc7b2ba5f1890d4d7a9e79a779817518610ef4c195057ce7ad1,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000063_b081bf83cc88.md,64c9bc63b1cd1814098e97ec33702425dcee4915de1418d1eda145721c36d3c5,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000063_b081bf83cc88/figures_manifest.json,7406a04ef66162c07b93d0e5fccaf718f7c32b3565a4e14796061ab5bc63f4d4,4,4,4,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_000086,rec_000086,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000086.pdf,cf1a1ae26c070c5024f3b3e33c7c0307c64e9b3babb4da9073e065af7fecf1e2,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000086.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""PROCYON: A multimodal foundation model for protein phenotypes"", ""Main"", ""Results"", ""PROCYON model architecture"", ""PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions"", ""PROCYON accurately retrieves proteins from flexible prompts of phenotypes""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000086_f51592e07fe3.docling.json,52f49e9741b73853596329f12f7a71f670c25212c8bb5aa9437c774d613ce301,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000086_f51592e07fe3.md,5de229b3326d4971ad50829d032ed108420bb553c2928eabd760671fb42a2f8c,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000086_f51592e07fe3/figures_manifest.json,16f0e398116738e47c73200350320b295337d1cf89157be7b9f0c3cf714bb395,7,7,6,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_000090,rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000090.pdf,7feb044738e63ad52310e767655551d81b625b5d9fe0a32ab4c5426669a2604b,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000090.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""SCALING LARGE LANGUAGE MODELS FOR NEXT-GENERATION SINGLE-CELL ANALYSIS"", ""ABSTRACT"", ""1 Introduction"", ""2 Results"", ""2.1 C2S-Scale: A unified framework for transcriptomics and natural language at scale"", ""2.2 C2S-Scale is a unified architecture for diverse single-cell analysis tasks"", ""2.3 Scaling enhances the biological reasoning capabilities of C2S-Scale"", ""2.4 Interpreting single-cell data across biological scales using natural language""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000090_0d9defcc25c1.docling.json,bf207d1a2358cabe9e7c93f25076f48c1a489070dadeacc6ba66b9e980513ae4,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000090_0d9defcc25c1.md,a50035e3cd20e093aa3bbe0eb5c7a62ea3781f683a1fafcddea3009d0a7e5615,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000090_0d9defcc25c1/figures_manifest.json,1a7f00383650843fb6ce4c8469e8130ba0f6368ea47077681f4bd620ca78a689,13,13,13,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_000771,rec_000771,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000771.pdf,05b2a6f45ed228ae808e33bd371b922fff6595f2d80be7e11e0642b085dcdd55,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000771.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Article"", ""A multimodal conversational agent for DNA, RNA and protein tasks"", ""Results"", ""Transforming DNA foundation models into conversational agents with ChatNT"", ""ChatNT achieves improved performance on a genomics benchmark""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000771_82b0d7e83c3d.docling.json,f7390b71f4a6b159b14e952b5511c7f7b44f99507a6f26d7b0e8ba94401a8425,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000771_82b0d7e83c3d.md,4510cd4d243b74cf56fe75b4d94a8d0fbed968033f2a5de7265b64fcac8da893,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000771_82b0d7e83c3d/figures_manifest.json,fd8c64c05729f13ade3c0700ae072ac36fe7b370ae8d3c6a50e6dfe393185112,9,9,7,2,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_000827,rec_000827,Multimodal learning enables chat-based exploration of single-cell data,10.1038/s41587-025-02857-9,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000827.pdf,b43f07094f4a145d94c2bf7fb4dae4f10922a92b9ad910fc099db775a67bd866,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000827.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Multimodal learning enables chat-based exploration of single-cell data"", ""Results"", ""The CellWhisperer multimodal AI connects transcriptomes and text"", ""CellWhisperer predicts diverse cell characteristics"", ""a Zero-shot cell type prediction and evaluation""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000827_745a8d0e1225.docling.json,8ebfff50b064dd2dcd5e62333cb374e56342c97f5a40d7b5b6a587dfc36e4635,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000827_745a8d0e1225.md,b03ba683d5eeb771abeb4ec8797d7fbcdce402a999772267816861b26264978f,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000827_745a8d0e1225/figures_manifest.json,612fca86ed2c9b17a3202dee1f83972b0ed0f7a53cce66882a7924e31a8c0744,23,23,21,2,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_000950,rec_000950,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000950.pdf,0f5f8dde81269db8b6ce534b31815091814c8c8c1d4a86d1e1e93930ef55c431,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000950.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Article"", ""Illuminating protein space with a programmable generative model"", ""A scalable generative model for protein systems"", ""Article"", ""Analysis of unconditional samples""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000950_3d82859ac01c.docling.json,f86decaa2e08f8eb211db2e03e3b2c88155b96c78a058c4ef7000a4fb4d3f273,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000950_3d82859ac01c.md,560e4ad05eaf84a03c44c475a571db55b438b975693f90edc44073f7da1a4cd7,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_000950_3d82859ac01c/figures_manifest.json,1eb954fdaf34ad7220aaebdaac77aa75f648c4bb02b12296c3e9dc13cc08892a,8,8,5,3,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_001074,rec_001074,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001074.pdf,39ded784548345d94b112d018eedfeca6c2351e37127d49805b436e72e123fe1,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001074.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""BIOREASON: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model"", ""Abstract"", ""1 Introduction"", ""2 Background &amp; Related Work"", ""2.1 DNA Foundation Models"", ""2.2 Large Language Models for Biological Reasoning"", ""2.3 Genomics Benchmarks"", ""3 BioReason Model"", ""3.1 DNA Foundation Model ( f DNA) Encoder"", ""3.2 Large Language Model ( f LLM) Backbone"", ""3.3 Multimodal Genomic Integration"", ""3.4 Group Relative Policy Optimization (GRPO)"", ""4 Datasets"", ""4.1 KEGG-Derived Biological Reasoning Dataset"", ""4.1.1 Dataset Integration and Statistics"", ""4.1.2 Reasoning Path Construction and Curation""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_001074_c72d500e989d.docling.json,feabb9dcf37f7bac980e01376ce446dbed6b375c36e1fe1b44a55ebdf5a01fab,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_001074_c72d500e989d.md,7a7d17d25bc1194bd9c6cc2fa9c6dfb08715a175d2d27b44b2e57bfa93de5c6d,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_001074_c72d500e989d/figures_manifest.json,4a4df913b27df872b75bc156ae883d2137ca32453e52005a69d937143690951c,4,4,4,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_001126,rec_001126,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001126.pdf,bea67b7405d50674b748c724a4ad412de7f3df58eba357b18e208ad54378637b,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001126.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes"", ""Correspondence to qiliu@tongji.edu.cn, fabian.theis@helmholtz-munich.de"", ""Abstract"", ""Introduction"", ""Results"", ""The CellHermes framework""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_001126_3bfaf5b3be46.docling.json,b806b05397e1c9acccadb5d85caeebc57a4a1a9ffd776f34415ebdc42899a033,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_001126_3bfaf5b3be46.md,9a307cbd9c6fa98f5664eb014527a3ff68f91b22921035cefa1f66366030256a,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_001126_3bfaf5b3be46/figures_manifest.json,8f65feda41d101aa28297cfabba7b31ab6260f7a8ed7012f6b7377089f418b7f,5,5,5,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
full_2026-07-06__rec_001187,rec_001187,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,10.1101/2024.07.25.605062,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001187.pdf,cc8abbfdab22c6c670d4203e0897cc9fc47653795a12ccb60d8315f9ea8dfac3,pdf,/Users/bogdan.didenko/lpnu/review/data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001187.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery"", ""Authors"", ""Introduction"", ""Results"", ""Data collection and training""]}",native_docling_vlm_full_conversion,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_001187_7214eb506e14.docling.json,e346adabe57f858e6f17798486d9e23f5d8c0d037353f8b7d425580b3fe83b18,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_001187_7214eb506e14.md,6109319866f1420c76c50b479e3947f5828237dadacadde0a1cdc3c2be9c5f92,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/figures/full_2026_07_06_rec_001187_7214eb506e14/figures_manifest.json,87498b6789b44bfbf8959c43d0e6736b922706687a98bc3db3c5a77da3f7e365,13,13,12,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0.0,,2,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/manifests/canonical_docling_profile_manifest.csv
