carrier_subtype,route_count
connector_mediated_embedding,23
coordinate_backbone_or_shape_conditioning,5
direct_projected_embedding,65
learned_quantized_id_or_codebook_token,2
multi_track_structural_symbol_stream,4
native_biological_token_stream,52
noisy_diffusion_state,3
patch_context_or_case_level_visual_reasoning,6
plain_language_prompt_or_question,62
pooled_or_aggregated_embedding,24
raw_slide_or_patch_input,50
serialized_biological_context_or_ordered_profile,87
structured_biological_prompt_or_task_scaffold,183
symbolic_structural_constraint,11
virtual_token_prefix,9
