source_modality_normalized,route_count
DNA,13
DNA methylation,4
DNA methylation and dense embeddings,1
DNA methylation-derived coefficients,1
DNA sequence,16
DNA sequence pairs,1
RNA,15
RNA expression profile,2
RNA sequence,1
RNA-seq,1
amino acid sequence,4
batch metadata,1
biological network knowledge,1
biological sequence,1
bright-field single-cell microscopy images,1
bulk and multi-sample expression profiles,1
categorical cellular metadata,2
cell-line text and genomics metadata,1
chemical perturbation and transcriptomics,2
chemical perturbation transcriptomics,1
chemically induced expression perturbations,1
chest X-ray image,6
chromatin accessibility,2
clinical biomarker tabular data,1
clinical blood biomarkers,1
condition metadata,1
confocal fluorescence microscopy images,1
continuous numerical vectors,4
dense continuous embedding,1
dense embeddings,1
differential interference contrast microscopy images,1
disease indication,1
expression profiles,1
functional text,1
gene dependency profiles,1
gene embeddings,1
gene expression,2
gene lists,1
gene neighborhood,2
gene ontology graph,1
gene symbol conditioning,1
gene symbol text,1
genetic/phenotypic tabular data,1
genomic DNA,1
genomic sequence,6
genomics sequencing data,1
geometric protein structure,2
geometric shape specification,1
geometric symmetry specification,1
graph/network,8
histology image,10
histology section,1
histology/slide image,7
histopathology image,11
instruction-formatted biological text,3
ligand embeddings,1
mammography image,3
mixed,3
mixed transcriptomics,1
molecule descriptors / prompt text,1
morphological phenotype embeddings,2
multi-omics,4
multimodal,1
natural language,5
natural language / protein mutation text,1
natural language / protein question-answer text,1
natural language / protein task text,1
natural language / structural task text,1
natural-language query,2
nucleotide sequence,24
omics,2
oncology survival tabular data,1
pathology image,1
phase-contrast microscopy images,1
protein,5
protein knowledgebase,1
protein sequence,6
protein sequence pair,2
protein sequence pairs,1
protein sequence text,1
protein structure,4
protein structure constraints,1
protein structure semantics,4
protein structure symbols,2
protein-protein interaction,1
protein-protein interaction network,2
protein/peptide,9
proteomics,1
quantitative phase imaging,1
radiology image,2
single-cell RNA sequencing,6
single-cell RNA sequencing batch with donor metadata,19
single-cell RNA sequencing cell with donor metadata,7
single-cell RNA-seq,4
single-cell and bulk transcriptomic profiles,1
single-cell chemical perturbation data,1
single-cell gene expression,3
single-cell light microscopy images,2
single-cell microscopy images,1
single-cell perturbation data,7
single-cell perturbation transcriptomics,1
single-cell transcriptomic expression profiles,6
single-cell transcriptomic perturbation profiles,1
single-cell transcriptomics,30
single-cell transcriptomics / prompt text,1
skin lesion image,1
small molecule,5
source modality expression measures,1
spatial transcriptomics,19
structured biological database,4
structured biological database record,4
tabular,3
text,177
text-serialized nucleotide sequence plus natural-language annotation,1
text-serialized nucleotide sequence plus species label,1
transcriptomic signature,1
transcriptomics,20
transcriptomics and small-molecule compound,1
visual raster,2
widefield fluorescence microscopy images,1
