source_modality_normalized,routes,records,models
DNA,13,5,7
DNA methylation,4,2,2
DNA methylation and dense embeddings,1,1,1
DNA methylation-derived coefficients,1,1,1
DNA sequence,16,5,9
DNA sequence pairs,1,1,1
RNA,15,7,8
RNA expression profile,2,1,2
RNA sequence,1,1,1
RNA-seq,1,1,1
batch metadata,1,1,1
biological network knowledge,1,1,1
biological sequence,1,1,1
bright-field single-cell microscopy images,1,1,1
bulk and multi-sample expression profiles,1,1,1
categorical cellular metadata,2,1,2
chemical perturbation and transcriptomics,2,1,1
chemical perturbation transcriptomics,1,1,1
chemically induced expression perturbations,1,1,1
chest X-ray image,6,1,1
chromatin accessibility,2,1,1
clinical biomarker tabular data,1,1,1
clinical blood biomarkers,1,1,1
condition metadata,1,1,1
confocal fluorescence microscopy images,1,1,1
continuous numerical vectors,4,1,1
dense continuous embedding,1,1,1
dense embeddings,1,1,1
differential interference contrast microscopy images,1,1,1
disease indication,1,1,1
expression profiles,1,1,1
functional text,1,1,1
gene dependency profiles,1,1,1
gene embeddings,1,1,1
gene expression,2,1,1
gene lists,1,1,1
gene neighborhood,2,1,1
gene ontology graph,1,1,1
gene symbol conditioning,1,1,1
gene symbol text,1,1,1
genetic/phenotypic tabular data,1,1,1
genomic DNA,1,1,1
genomic sequence,6,1,1
genomics sequencing data,1,1,1
geometric protein structure,2,1,1
geometric shape specification,1,1,1
geometric symmetry specification,1,1,1
graph/network,9,6,6
histology image,10,2,2
histology section,1,1,1
histology/slide image,7,2,2
histopathology image,11,3,4
instruction-formatted biological text,3,1,1
ligand embeddings,1,1,1
mammography image,3,1,1
mixed,5,4,4
mixed transcriptomics,1,1,1
molecule descriptors / prompt text,1,1,1
morphological phenotype embeddings,2,1,1
multi-omics,4,1,1
multimodal,1,1,1
natural language,4,2,2
natural language / protein mutation text,1,1,1
natural language / protein question-answer text,1,1,1
natural language / protein task text,1,1,1
natural language / structural task text,1,1,1
natural-language query,2,1,1
nucleotide sequence,24,3,4
omics,2,1,1
oncology survival tabular data,1,1,1
pathology image,1,1,1
phase-contrast microscopy images,1,1,1
protein,5,1,2
protein knowledgebase,1,1,1
protein sequence,6,4,4
protein sequence pair,2,1,1
protein sequence pairs,1,1,1
protein sequence text,1,1,1
protein structure,4,3,3
protein structure constraints,1,1,1
protein structure semantics,4,1,1
protein structure symbols,2,1,1
protein-protein interaction network,2,2,2
protein/peptide,10,6,6
proteomics,1,1,1
quantitative phase imaging,1,1,1
radiology image,2,1,1
single-cell RNA sequencing,6,2,4
single-cell RNA sequencing batch with donor metadata,19,1,8
single-cell RNA sequencing cell with donor metadata,7,1,7
single-cell RNA-seq,4,1,1
single-cell and bulk transcriptomic profiles,1,1,1
single-cell chemical perturbation data,1,1,1
single-cell gene expression,3,2,2
single-cell light microscopy images,2,1,1
single-cell microscopy images,1,1,1
single-cell perturbation data,7,1,2
single-cell perturbation transcriptomics,1,1,1
single-cell transcriptomic expression profiles,6,1,1
single-cell transcriptomic perturbation profiles,1,1,1
single-cell transcriptomics,29,6,9
single-cell transcriptomics / prompt text,1,1,1
skin lesion image,1,1,1
small molecule,5,2,2
source modality expression measures,1,1,1
spatial transcriptomics,19,7,7
structured biological database,4,1,1
structured biological database record,8,1,1
tabular,3,1,1
text,176,41,68
text-serialized nucleotide sequence plus natural-language annotation,1,1,1
text-serialized nucleotide sequence plus species label,1,1,1
transcriptomic signature,1,1,1
transcriptomics,20,4,4
transcriptomics and small-molecule compound,1,1,1
visual raster,2,1,1
widefield fluorescence microscopy images,1,1,1
