action,reason,cluster_id,source_db,title,doi,matched_with_db,matched_with_title
NEW,No match found,0,pubmed,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,10.1016/j.xgen.2026.101329,,
NEW,No match found,1,pubmed,Clifti-GPT: privacy-preserving federated fine-tuning and transferable inference of foundation models,10.1186/s13040-026-00582-w,,
NEW,No match found,2,pubmed,Application of deep learning in prognostic prediction of non-small cell lung cancer.,10.3389/fcell.2026.1878798,,
NEW,No match found,3,pubmed,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,10.64898/2026.07.17.739269,,
NEW,No match found,4,pubmed,Artificial Intelligence in Food-Nutrition-Health Research: From Multimodal Data Integration to Preci,10.1111/1750-3841.71334,,
NEW,No match found,5,pubmed,Cross-modal mapping of cancer stem-like cell plasticity using deep learning.,10.1093/narcan/zcag015,,
NEW,No match found,6,pubmed,DeepExoMir: A Reproducible RNA Language Model Framework for CLIP-Seq-Supported MicroRNA Target-Site ,10.3390/ijms27146184,,
NEW,No match found,7,pubmed,Integrated multi-omics and deep learning analysis reveals neurotransmitter metabolism regulatory mec,10.3389/fnins.2026.1837233,,
NEW,No match found,8,pubmed,clinTALL: machine learning-driven multimodal subtype classification and treatment outcome prediction,10.1186/s13073-026-01733-8,,
NEW,No match found,9,pubmed,Systematic evaluation of single-cell foundation model interpretability: attention-derived edge score,10.1186/s12864-026-12965-8,,
NEW,No match found,10,pubmed,Artificial Intelligence in the Nutritional Management of Inflammatory Bowel Disease: A Scoping Revie,10.2147/JMDH.S614374,,
NEW,No match found,11,pubmed,Multimodal Deep Learning Reveals the Modular Genetic Architecture of Cardiovascular Aging.,10.64898/2026.04.22.26351478,,
NEW,No match found,12,pubmed,ViMST: vision transformer-based dual modality multi-task graph contrastive network for spatial trans,10.1186/s12915-026-02676-7,,
NEW,No match found,13,pubmed,Multimodal spatial omics: From data acquisition to computational integration.,10.1016/j.patter.2026.101592,,
NEW,No match found,14,pubmed,"Trimodal, uncertainty-guided whole-slide framework for genome-scale spatial expression and image-onl",10.1186/s13073-026-01713-y,,
NEW,No match found,15,pubmed,AI-driven multi-omics deciphering of extrachromosomal circular DNA rescues hidden targets in colorec,10.1186/s12964-026-03063-z,,
NEW,No match found,16,pubmed,SPADE: Spatial transcriptomics and pathology alignment using a mixture of data experts for an expres,10.1016/j.media.2026.104197,,
NEW,No match found,17,pubmed,STAG: Biologically guided spatial transcriptomics prediction via hypergraph learning.,10.1016/j.media.2026.104206,,
NEW,No match found,18,pubmed,Spotlight on challenges and novel methods in highly multiplexed tissue imaging-based spatial proteom,10.1186/s12967-026-08577-1,,
NEW,No match found,19,pubmed,scCLIP: A contrastive masked-reconstruction framework for paired single-cell multi-omics integration,10.1016/j.jbi.2026.105078,,
NEW,No match found,20,pubmed,"Celldetective, an AI-enhanced image analysis tool for unraveling dynamic cell interactions.",10.7554/eLife.105302,,
NEW,No match found,21,pubmed,High-resolution mri guided whole mouse brain neuronal cell type atlas using deep learning.,10.1038/s42003-026-10608-y,,
NEW,No match found,22,pubmed,Cellular architecture and neighborhood-informed virtual spatial tumor profiling from histopathology.,10.1016/j.cell.2026.05.031,,
NEW,No match found,23,pubmed,"Artificial intelligence in inflammatory bowel disease: From current evidence, clinical translation, ",10.1097/CM9.0000000000004170,,
NEW,No match found,24,pubmed,"Trends in Computational Metabolomics: A Perspective on Five Years of Software Development, Challenge",10.1021/acs.analchem.6c00361,,
NEW,No match found,25,pubmed,A generative framework for predicting cellular morphological and transcriptomic perturbation respons,10.1016/j.crmeth.2026.101459,,
NEW,No match found,26,pubmed,CellFuse Enables Multimodal Integration of Single-Cell and Spatial Proteomics Data for Systems-Level,10.1158/0008-5472.CAN-25-3699,,
NEW,No match found,27,biorxiv_medrxiv,Semantic fragment representations for coordinate-free analysis of genomics data,10.64898/2026.07.09.737627,,
NEW,No match found,28,biorxiv_medrxiv,Multi-modal foundation model with whole-slide attention enables transferrable digital pathology at s,10.64898/2026.07.31.741265,,
MERGE,DOI match: 10.64898/2026.07.17.739269,3,biorxiv_medrxiv,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology,10.64898/2026.07.17.739269,pubmed,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.
NEW,No match found,29,biorxiv_medrxiv,Interpretable Multi-modal Deep Learning Radiomics for Preoperative Mapping of Tertiary Lymphoid Stru,10.21203/rs.3.rs-10338322/v1,,
NEW,No match found,30,biorxiv_medrxiv,Quantifying Cross-Modal Shared Information Between Histomorphology and Spatial Transcriptomics via S,10.64898/2026.07.13.738201,,
