candidate_type,route_id,configuration_id,model_id,study_id,record_id,title,route_label,model_name,lifecycle_phase,task_or_configuration_verbatim,source_object_verbatim,source_object_normalized,source_modality_normalized,transformation_chain_verbatim,transformation_chain_normalized,model_visible_form_verbatim,carrier_family,carrier_subtype,insertion_or_fusion_verbatim,fusion_topology,text_role,input_status,evidence_quote,section_heading,supporting_figure_or_table,evidence_status,uncertainty,source_candidate_refs,dense_candidate_refs,pages,doc_item_refs,provenance_match,picture_only_provenance,candidate_quote_match,quote_verified_in_canonical_markdown,quote_verified_in_native_items,taxonomy_consistent,final_grounding_valid
accepted_input_route,route_9c535e625fef,config_b14160e930e3,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,single-cell microscopy image pretraining route,scMIR,pretraining,paired single-cell images and structured textual captions,single-cell microscopy images,single-cell microscopy images,single-cell light microscopy images,"[""frozen image encoder"", ""Q-Former"", ""image-text alignment objective"", ""masked image reconstruction module""]","[""frozen image encoder"", ""Q-Former"", ""image-text alignment"", ""masked image reconstruction""]",single-cell microscopy images,visual_raster_carrier,raw_slide_or_patch_input,frozen image encoder coupled with a Q-Former,query_bottleneck,paired_alignment_supervision,actual_model_input,"scMIR  is  a  vision-language  foundation  model  designed  to  learn  generalizable  and transferable representations from diverse single-cell light microscopy data (Fig. 1). The framework  consists  of three main  components:  large-scale dataset curation, a multimodal representation learning architecture, and downstream tasks evaluation. We first curated and harmonized publicly available microscopy datasets spanning multiple species, imaging modalities, cell types, and perturbations to capture broad biological and experimental diversity (Fig. 1a; dataset details are provided in the Supplementary information).  To  provide  consistent  biological  and  experimental  context,  structured textual  descriptions  were  constructed  using  controlled  keywords,  including  species, data  source,  microscopy  type,  cell  type,  and  related  annotations  (Fig.  1b).  scMIR integrates complementary learning objectives to capture both semantic and morphological  information. A  vision-language  alignment  module  associates  images with structured textual descriptions to enable cross-dataset semantic consistency, while an  image  reconstruction  module  preserves  fine-grained  morphological  features  to stabilize representation learning (Fig. 1b).",Methods,Fig. 1b,explicit_text,,"[""update_2026-08-09__rec_000106::route_001""]","[""dense::update_2026-08-09__rec_000106::0001""]","[3, 4, 19]","[""#/pictures/0"", ""#/texts/14"", ""#/texts/15"", ""#/texts/90""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_e9504db58a70,config_b14160e930e3,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,structured textual caption pretraining route,scMIR,pretraining,paired single-cell images and structured textual captions,structured textual captions,structured textual captions,text,"[""Tokenizer"", ""text tokens"", ""Q-Former text transformer"", ""text decoder / image-text alignment objectives""]","[""tokenization"", ""text tokens"", ""Q-Former text transformer"", ""text decoder"", ""image-text alignment objectives""]",text tokens,text_native_token_stream,structured_biological_prompt_or_task_scaffold,structured text serves as a semantic anchor for the image-text alignment module,tokenizer_sequence,paired_alignment_supervision,paired_alignment_input,"scMIR is a pretrained model for learning transferable representations from single-cell microscopy images. During pre-training, scMIR is trained on paired single-cell images and structured textual captions to enable text-guided visual representation learning. In downstream applications, the model takes only single-cell microscopy images as input and  outputs  task-agnostic  image  embeddings.  scMIR  framework  includes  three  key modules:  an  image  encoder,  an  image-text  alignment  module,  and  an  image reconstruction module.",Methods,Fig. 1b,explicit_text,,"[""update_2026-08-09__rec_000106::route_002""]","[""dense::update_2026-08-09__rec_000106::0001""]","[3, 4, 16]","[""#/pictures/0"", ""#/texts/14"", ""#/texts/15"", ""#/texts/49""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_d4287b803dc6,config_3c8763b51351,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,single-cell microscopy image downstream evaluation route,scMIR,evaluation,downstream applications,single-cell microscopy images,single-cell microscopy images,single-cell light microscopy images,"[""frozen image encoder"", ""Q-Former"", ""fixed image-level representations""]","[""frozen image encoder feature extraction"", ""Q-Former"", ""fixed image-level representations""]",single-cell microscopy images,visual_raster_carrier,raw_slide_or_patch_input,the model takes only single-cell microscopy images as input,query_bottleneck,no_text_on_this_route,actual_model_input,the model takes only single-cell microscopy images as input,scMIR model,,explicit_text,,"[""update_2026-08-09__rec_000106::route_003""]","[""dense::update_2026-08-09__rec_000106::0002"", ""dense::update_2026-08-09__rec_000106::0004"", ""dense::update_2026-08-09__rec_000106::0005"", ""dense::update_2026-08-09__rec_000106::0014"", ""dense::update_2026-08-09__rec_000106::0016"", ""dense::update_2026-08-09__rec_000106::0041"", ""dense::update_2026-08-09__rec_000106::0042"", ""dense::update_2026-08-09__rec_000106::0045"", ""dense::update_2026-08-09__rec_000106::0047"", ""dense::update_2026-08-09__rec_000106::0048"", ""dense::update_2026-08-09__rec_000106::0049"", ""dense::update_2026-08-09__rec_000106::0050"", ""dense::update_2026-08-09__rec_000106::0052"", ""dense::update_2026-08-09__rec_000106::0053""]","[1, 2, 4, 5, 6, 7, 8, 12, 13, 14, 15, 16, 21, 27, 28, 32, 33, 34, 35]","[""#/pictures/0"", ""#/pictures/1"", ""#/pictures/5"", ""#/texts/102"", ""#/texts/15"", ""#/texts/16"", ""#/texts/17"", ""#/texts/22"", ""#/texts/23"", ""#/texts/25"", ""#/texts/252"", ""#/texts/254"", ""#/texts/26"", ""#/texts/260"", ""#/texts/264"", ""#/texts/266"", ""#/texts/268"", ""#/texts/27"", ""#/texts/270"", ""#/texts/274"", ""#/texts/275"", ""#/texts/33"", ""#/texts/34"", ""#/texts/35"", ""#/texts/36"", ""#/texts/37"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/43"", ""#/texts/49"", ""#/texts/8"", ""#/texts/9""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_0cdba8333f6b,config_655b2f65250c,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,full-field microscopy image pretraining route,scMIR,pretraining,multimodal pretraining on full-field microscopy images that are segmented into single-cell instances,full-field microscopy images,full-field microscopy images,light microscopy images,"[""automated cell segmentation tools / Cellpose"", ""crop individual cell regions"", ""zero padding to square inputs"", ""frozen image encoder"", ""Q-Former"", ""image-text alignment objective"", ""masked image reconstruction module""]","[""segment full-field images into single-cell instances"", ""crop individual cell regions"", ""zero padding to square inputs"", ""frozen image encoder"", ""Q-Former"", ""image-text alignment"", ""masked image reconstruction""]",single-cell instances,visual_raster_carrier,raw_slide_or_patch_input,frozen image encoder coupled with a Q-Former,query_bottleneck,paired_alignment_supervision,actual_model_input,Full-field images are processed using automated cell segmentation tools to extract individual cell instances,Data preprocessing,,explicit_text,,"[""update_2026-08-09__rec_000106::route_004""]","[""dense::update_2026-08-09__rec_000106::0011"", ""dense::update_2026-08-09__rec_000106::0032"", ""dense::update_2026-08-09__rec_000106::0033"", ""dense::update_2026-08-09__rec_000106::0034"", ""dense::update_2026-08-09__rec_000106::0035"", ""dense::update_2026-08-09__rec_000106::0036"", ""dense::update_2026-08-09__rec_000106::0037""]","[19, 20, 31, 32, 50]","[""#/tables/0"", ""#/texts/236"", ""#/texts/238"", ""#/texts/240"", ""#/texts/242"", ""#/texts/246"", ""#/texts/248"", ""#/texts/94"", ""#/texts/96""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_96ecd11d2089,config_f78117e065e5,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,full-field microscopy image downstream evaluation route,scMIR,evaluation,evaluation datasets processed with the pretraining preprocessing pipeline,full-field microscopy images,full-field microscopy images,light microscopy images,"[""automated cell segmentation tools / Cellpose when applicable"", ""crop individual cell regions"", ""zero padding to square inputs"", ""frozen image encoder"", ""Q-Former"", ""fixed image-level representations""]","[""segment full-field images when applicable"", ""crop individual cell regions"", ""zero padding to square inputs"", ""frozen image encoder"", ""Q-Former"", ""fixed image-level representations""]",single-cell images,visual_raster_carrier,raw_slide_or_patch_input,processed using the same preprocessing pipeline as in pretraining,query_bottleneck,no_text_on_this_route,actual_model_input,"For full-field microscopy images lacking provided cell boundary annotations, singlecell instances are obtained using an automated segmentation pipeline. Specifically, we apply  Cellpose  [59]  with  the  nuclear  channel  as  the  primary  segmentation  cue  to delineate individual cells. Following segmentation, each cell region is cropped from the original image, and zero padding is applied to produce square images. All images are subsequently processed by the pretrained image encoder and Q-Former to extract visual representations. The Q-Former outputs a fixed set of 32 query embeddings for each image,  each  with  a dimensionality  of  768.  To  obtain  a  compact  image-level representation, we compute the mean of the query embeddings, resulting in a single 768-dimensional  feature  vector  per  image.  For  multi-channel  microscopy  images, features are extracted independently from each channel using the same procedure. The resulting channel-specific feature vectors are then concatenated to form the final image representation, yielding a feature dimension of 𝑛 × 768 , where 𝑛 denotes the number of imaging channels.",Evaluation datasets,,explicit_text,"The paper notes that DIBaS and CM4AI do not undergo single-cell segmentation, so this route covers the full-field evaluation datasets that follow the shared preprocessing pipeline.","[""update_2026-08-09__rec_000106::route_005""]","[""dense::update_2026-08-09__rec_000106::0003"", ""dense::update_2026-08-09__rec_000106::0005"", ""dense::update_2026-08-09__rec_000106::0012"", ""dense::update_2026-08-09__rec_000106::0013"", ""dense::update_2026-08-09__rec_000106::0014"", ""dense::update_2026-08-09__rec_000106::0015"", ""dense::update_2026-08-09__rec_000106::0016"", ""dense::update_2026-08-09__rec_000106::0043"", ""dense::update_2026-08-09__rec_000106::0044"", ""dense::update_2026-08-09__rec_000106::0046"", ""dense::update_2026-08-09__rec_000106::0051"", ""dense::update_2026-08-09__rec_000106::0075""]","[4, 5, 9, 12, 13, 14, 15, 20, 21, 24, 25, 27, 28, 31, 33, 34]","[""#/pictures/0"", ""#/pictures/2"", ""#/pictures/5"", ""#/texts/100"", ""#/texts/102"", ""#/texts/104"", ""#/texts/105"", ""#/texts/149"", ""#/texts/15"", ""#/texts/150"", ""#/texts/151"", ""#/texts/152"", ""#/texts/153"", ""#/texts/154"", ""#/texts/155"", ""#/texts/156"", ""#/texts/16"", ""#/texts/17"", ""#/texts/236"", ""#/texts/256"", ""#/texts/258"", ""#/texts/262"", ""#/texts/272"", ""#/texts/28"", ""#/texts/33"", ""#/texts/34"", ""#/texts/35"", ""#/texts/36"", ""#/texts/37"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/43"", ""#/texts/44"", ""#/texts/45"", ""#/texts/96"", ""#/texts/98"", ""#/texts/99""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_c428d481a1bc,config_5918cb0298f6,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",scRNA-seq to OCellus Transformer Encoder,OCellus,pretraining,Training from multi-modal single-cell data,scRNA-seq data,single-cell RNA sequencing data,single-cell transcriptomics,"[""tokenized"", ""passed through an OCellus Transformer Encoder"", ""aligned to a Qwen LLM backbone""]","[""tokenization"", ""OCellus Transformer Encoder"", ""Qwen LLM alignment""]",multi-modal cell embedding,dense_continuous_carrier,direct_projected_embedding,fed into an OCellus Transformer Encoder,shared_latent_alignment,biological_payload,actual_model_input,scRNA-seq,OCellus framework,Figure 1a,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_001""]","[""dense::update_2026-08-09__rec_000138::0004""]","[6, 7, 8, 51]","[""#/pictures/0"", ""#/pictures/2"", ""#/texts/139"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_804a2820eaca,config_5918cb0298f6,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",scPerturb-seq to OCellus Transformer Encoder,OCellus,pretraining,Training from multi-modal single-cell data,scPerturb-seq data,perturbation single-cell sequencing data,single-cell perturbation transcriptomics,"[""tokenized"", ""passed through an OCellus Transformer Encoder"", ""aligned to a Qwen LLM backbone""]","[""tokenization"", ""OCellus Transformer Encoder"", ""Qwen LLM alignment""]",multi-modal cell embedding,dense_continuous_carrier,direct_projected_embedding,fed into an OCellus Transformer Encoder,shared_latent_alignment,biological_payload,actual_model_input,scPerturb-seq,OCellus framework,Figure 1a,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_002""]","[""dense::update_2026-08-09__rec_000138::0005""]","[6, 7, 8, 10, 11, 50, 51]","[""#/pictures/0"", ""#/pictures/2"", ""#/texts/139"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_9235bd10c632,config_ff24c9a9cb7b,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",EvenClock spatial transcriptomics text prefix,OCellus,evaluation,Spatial transcriptomics tasks with EvenClock encoding,spatial transcriptomics data,spatial transcriptomics data,spatial transcriptomics,"[""coordinates discretized into eighteen clockface sectors"", ""neighboring-cell gene lists concatenated into a text prefix"", ""prefix appended to the center cell's ranked-gene sentence""]","[""18-sector clockface discretization"", ""text prefix from neighboring-cell gene lists"", ""append prefix to center-cell ranked-gene sentence""]",text prefix of sector gene lists plus the center cell's ranked-gene sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,EvenClock prefix appended to the input sentence,prefix,biological_payload,actual_model_input,"833,196 edges at confidence ≥ 0.70). Per -gene language-model embeddings from the frozen OCellus backbone serve as initial node features; binary indicators mark the knockout gene and baseline-expression genes; three graph-convolution layers propagate this signal through the network; and a multi-layer-perceptron head produces continuous log2 fold-change predictions. The graph neural network adds less than one million trainable parameters -three orders of magnitude smaller than the nine-billion-parameter backbone -and trains in hours on a single GPU. The full specification appears in Methods. The agent layer addresses a complementary limitation: even a powerful model is accessible only by writing custom code per task (loading h5ad, applying LoRA, decoding predictions, plotting results). OCellus-Agent organizes the full capability suite as a Coordinator -Expert -Verifier system over the same Qwen3.5-9B backbone. The Coordinator contains a trained Planner LoRA that decomposes natural-language queries into executable directed acyclic graphs of typed tool calls, a rule-based Router that dispatches each step to the appropriate expert role, and a threelayer Verifier that provides biological plausibility checks. Five expert roles -Data Loader, Annotator, Perturbation, Spatial, and Explainer -are implemented as dynamic LoRA swaps on the shared backbone, and a Tool Registry of fifteen registered tools is exposed via a Gradio web interface. Six interchangeable runtime configurations are loaded on demand through dynamic adapter swapping, so the entire agent occupies approximately twenty-two gigabytes of GPU memory on a single GPU rather than five separate model instances. For spatial transcriptomics, EvenClock discretizes two-dimensional coordinates into eighteen clockface sectors of text, allowing the same backbone to consume spatial context with no architectural modification; the spatial-encoding scheme is detailed in Results § 2.4.",EvenClock: text-only spatial reasoning,Figure 4a,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_003""]","[""dense::update_2026-08-09__rec_000138::0001"", ""dense::update_2026-08-09__rec_000138::0006"", ""dense::update_2026-08-09__rec_000138::0046"", ""dense::update_2026-08-09__rec_000138::0057"", ""dense::update_2026-08-09__rec_000138::0069"", ""dense::update_2026-08-09__rec_000138::0113""]","[6, 7, 9, 10, 13, 19, 20, 21, 39, 40, 45]","[""#/pictures/0"", ""#/pictures/3"", ""#/pictures/4"", ""#/pictures/6"", ""#/texts/139"", ""#/texts/196"", ""#/texts/199"", ""#/texts/200"", ""#/texts/386"", ""#/texts/389"", ""#/texts/390"", ""#/texts/391"", ""#/texts/392"", ""#/texts/393"", ""#/texts/394"", ""#/texts/395"", ""#/texts/396"", ""#/texts/397"", ""#/texts/398"", ""#/texts/399"", ""#/texts/400"", ""#/texts/403"", ""#/texts/758"", ""#/texts/761"", ""#/texts/762"", ""#/texts/763"", ""#/texts/764""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_fa62fc309857,config_99da216bc181,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",gene symbols to OCellus gene embeddings for perturbation GNN,OCellus,inference,Perturbation prediction with natural-language explanations,individual gene symbols,gene symbols,gene symbol text,"[""passed through the frozen OCellus backbone"", ""last-layer hidden states averaged"", ""fixed-length 4,096-dimensional gene embeddings produced""]","[""frozen OCellus backbone"", ""average hidden states"", ""fixed-length gene embeddings""]","fixed-length 4,096-dimensional gene embeddings",dense_continuous_carrier,pooled_or_aggregated_embedding,used as initial node features for the graph neural network,side_or_generative_conditioning,biological_payload,actual_model_input,"fixed-length 4,096-dimensional gene embeddings",The OCellus framework,Figure 1,explicit_text,,"[""update_2026-08-09__rec_000138::route_004""]","[""dense::update_2026-08-09__rec_000138::0002"", ""dense::update_2026-08-09__rec_000138::0029"", ""dense::update_2026-08-09__rec_000138::0052"", ""dense::update_2026-08-09__rec_000138::0108""]","[1, 2, 5, 6, 7, 8, 9, 10, 21, 22, 23]","[""#/pictures/2"", ""#/tables/0"", ""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149"", ""#/texts/150"", ""#/texts/151"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/42"", ""#/texts/429"", ""#/texts/43"", ""#/texts/432"", ""#/texts/433"", ""#/texts/434"", ""#/texts/435"", ""#/texts/436"", ""#/texts/437"", ""#/texts/438"", ""#/texts/44"", ""#/texts/45""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_9bad7148fc8d,config_b18aaaa3a8b1,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",STRING v12 protein-interaction graph to perturbation predictor,OCellus,fine_tuning,Graph neural network for perturbation prediction,STRING v12 protein-protein interaction network,STRING v12 protein-protein interaction graph,graph/network,"[""filtered to combined confidence at least 700"", ""yield a graph of 15,309 nodes and 416,518 unique undirected edges"", ""used as the topology for a graph neural network""]","[""STRING confidence filtering"", ""graph construction"", ""graph neural network topology""]","graph of 15,309 nodes and 416,518 unique undirected edges with knockout and baseline gene indicators",geometric_or_diffusion_state_carrier,symbolic_structural_constraint,operates on the STRING v12 protein-protein interaction network,other_explicit,no_text_on_this_route,actual_model_input,"Here we present OCellus, a single nine-billion-parameter language model that addresses all three limitations through three coordinated technical contributions on a shared Qwen3.5-9B backbone (Bai et al., 2025). The model is fine-tuned via LoRA (Hu et al., 2022) on twenty-two biological tasks spanning dissociated single-cell and spatially resolved transcriptomics, including novel tasks such as cross-species cell-type annotation, developmental-stage prediction, and binary protein -protein interaction classification on the STRING database (Szklarczyk et al., 2023). First, EvenClock discretizes the continuous two-dimensional plane into a clockface of six directions and three distance rings, encoding each sector's neighboring cells as a gene -list prefix that the language model consumes as text with no architectural modification. Second, per-gene language-model embeddings extracted from the frozen OCellus backbone replace the Gene Ontology annotations that GEARS depends on, serving as node features for a plug-in graph neural network over the STRING v12 protein-interaction graph. Third, OCellus-Agent organizes the full capability suite as a Planner -Router -Verifier system that accepts natural-language biological queries and produces executable directed acyclic graphs of typed tool calls, with a three-layer Verifier providing biological plausibility checks. The unifying insight is that multitask language-model training yields a functional representation of every gene token that simultaneously drives spatial reasoning, perturbation generalization, and natural-language explanation; the full architecture is detailed in Results § 2.1. Empirically, OCellus attains Pearson correlation 0.945 on Replogle 2022 perturbation prediction, the OCellus encoder ranks first",Graph neural network for perturbation prediction,Figure 5,explicit_text,The graph-topology carrier is mapped into the frozen taxonomy's structural-constraint bucket.,"[""update_2026-08-09__rec_000138::route_005""]","[""dense::update_2026-08-09__rec_000138::0002"", ""dense::update_2026-08-09__rec_000138::0050"", ""dense::update_2026-08-09__rec_000138::0052"", ""dense::update_2026-08-09__rec_000138::0108"", ""dense::update_2026-08-09__rec_000138::0114"", ""dense::update_2026-08-09__rec_000138::0029""]","[1, 2, 5, 6, 7, 8, 9, 10, 21, 22, 23, 46, 47, 48]","[""#/pictures/2"", ""#/tables/0"", ""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149"", ""#/texts/150"", ""#/texts/151"", ""#/texts/196"", ""#/texts/199"", ""#/texts/200"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/42"", ""#/texts/429"", ""#/texts/43"", ""#/texts/432"", ""#/texts/433"", ""#/texts/434"", ""#/texts/435"", ""#/texts/436"", ""#/texts/437"", ""#/texts/438"", ""#/texts/44"", ""#/texts/45"", ""#/texts/890"", ""#/texts/891"", ""#/texts/892"", ""#/texts/893"", ""#/texts/894"", ""#/texts/895"", ""#/texts/896"", ""#/texts/897""]","[""verbatim""]",False,True,True,True,True,True
