"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_b9cb174a4498bb09","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Fig. 1","scMIR","pretraining","vision-language alignment objective","single-cell image and structured textual descriptions","single-cell light microscopy image-text pairs","single-cell light microscopy images and text","['Structured keyword annotations are extracted to construct concise and standardized textual descriptions', 'A frozen image encoder is coupled with a Q-Former initialized from BLIP-2', 'optimized using image-text pairs through a vision-language alignment objective', 'In parallel, an image reconstruction objective operates on masked image features']","['structured keyword annotations -> standardized text descriptions', 'frozen image encoder + Q-Former', 'image-text alignment', 'masked-image reconstruction']","image-text pairs","other_evidence_grounded","other_evidence_grounded","structured textual descriptions","query_bottleneck","paired_alignment_supervision","paired_alignment_input","structured text serves as a semantic anchor","Overview of framework","Fig. 1","explicit_text","The figure also includes a masked-image reconstruction branch; this route is coded on the alignment path.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [3, 4], ""pages"": [3, 4], ""refs"": [""#/texts/14"", ""#/texts/15"", ""#/pictures/0""], ""spans"": [{""chunk"": 3, ""start"": 285, ""end"": 291}, {""chunk"": 4, ""start"": 118, ""end"": 124}]}","","","",""
"TaxonomyCodedRoute_977f1abadaf3ec20","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Fig. 2","scMIR","evaluation","cell classification and clustering","evaluation images","single-cell light microscopy images","single-cell light microscopy images","['The frozen image encoder was first used to extract features', 'followed by training a lightweight classifier', 'The resulting embeddings were projected into a shared embedding space for joint analysis', 't-SNE visualization of scMIR embeddings']","['frozen image encoder feature extraction', 'lightweight classifier training', 'shared embedding-space projection', 't-SNE visualization']","learned image embeddings","dense_continuous_carrier","direct_projected_embedding","without access to textual inputs","unclear","no_text_on_this_route","actual_model_input","scMIR operates in an image-only setting during downstream evaluation","scMIR enables robust cell classification across diverse microscopy datasets","Fig. 2","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [7, 8, 9], ""pages"": [6, 7, 8], ""refs"": [""#/pictures/1"", ""#/texts/22"", ""#/texts/23"", ""#/texts/25"", ""#/texts/26"", ""#/texts/27""], ""spans"": [{""chunk"": 7, ""start"": 172, ""end"": 178}, {""chunk"": 8, ""start"": 614, ""end"": 620}, {""chunk"": 9, ""start"": 857, ""end"": 863}]}","","","",""
"TaxonomyCodedRoute_5b5a72bc7b302d25","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Fig. 3","scMIR","evaluation","phenotypic inference from perturbation image embeddings","chemical perturbation microscopy images","single-cell light microscopy images of chemical perturbation assays","single-cell light microscopy images","['A multi-well plate is imaged by microscopy, producing cellular fluorescence images', 'Image features are extracted and used to quantify phenotypic similarity', 'Embeddings from wells of chemical perturbation are then compared']","['multi-well plate microscopy images', 'feature extraction', 'phenotypic similarity comparison', 'well-level embedding comparison']","image embeddings","dense_continuous_carrier","pooled_or_aggregated_embedding","Feature extractor","unclear","no_text_on_this_route","actual_model_input","Image features are extracted and used to quantify phenotypic similarity","scMIR enables unsupervised semantic alignment of heterogeneous data","Fig. 3","explicit_text","The figure spans well-level and treatment-level profiles; this route is coded at the embedding-aggregation level.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [10, 14], ""pages"": [9, 12, 13], ""refs"": [""#/texts/28"", ""#/pictures/2"", ""#/texts/33"", ""#/texts/34"", ""#/texts/35"", ""#/texts/36""], ""spans"": [{""chunk"": 10, ""start"": 164, ""end"": 170}, {""chunk"": 14, ""start"": 888, ""end"": 894}]}","","","",""
"TaxonomyCodedRoute_7cba9690cd6366a6","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Fig. 4","scMIR","evaluation","hierarchical feature aggregation on the Human Protein Atlas (HPA) dataset","single-cell fluorescence microscopy images","single-cell fluorescence microscopy images","single-cell fluorescence microscopy","['Single-cell image embeddings are first extracted from individual microscopy images', 'then aggregated to obtain higher-level representations at multiple biological scales', 'including cell line-level, protein localization-level, and protein-level features']","['single-cell image embedding extraction', 'hierarchical feature aggregation', 'multi-scale biological representation']","cell line embeddings, protein localization embeddings, and protein embeddings","dense_continuous_carrier","pooled_or_aggregated_embedding","Feature aggregation","other_explicit","no_text_on_this_route","actual_model_input","Single-cell image embeddings are first extracted from individual microscopy images and then aggregated","scMIR enables unsupervised semantic alignment of heterogeneous data","Fig. 4","explicit_text","The excerpt truncates the figure 4 caption after panel c, so the route is limited to the feature-aggregation panel.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [14], ""pages"": [12, 13], ""refs"": [""#/texts/33"", ""#/texts/34"", ""#/texts/35"", ""#/texts/36""], ""spans"": [{""chunk"": 14, ""start"": 2449, ""end"": 2455}]}","","","",""
"TaxonomyCodedRoute_5bbf9e1aa04339b7","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Fig. 5","scMIR","evaluation","Batch effect of image embeddings","image-level features extracted by scMIR and representative pretrained baselines","image-level feature representations","single-cell light microscopy images","['image-level feature extraction', 'joint embedding analysis across experimental plates', 'UMAP visualizations']","['feature extraction', 'joint embedding analysis', 'UMAP projection']","image-level features","dense_continuous_carrier","pooled_or_aggregated_embedding","UMAP visualizations of image-level features extracted by scMIR and representative pretrained baselines","other_explicit","no_text_on_this_route","actual_model_input","UMAP visualizations of image-level features extracted by scMIR and representative pretrained baselines on the COOS7 [53], cpg0000 [1] and BBBC021 [58] datasets.","scMIR effectively reduces batch effects for robust image representations","Fig. 5","text_plus_figure","The caption text says COOS7, while the visible panel label in the figure description says CODS7.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [15], ""pages"": [13], ""refs"": [""#/texts/37"", ""#/pictures/5""], ""spans"": [{""chunk"": 15, ""start"": 144, ""end"": 150}]}","","","",""
"TaxonomyCodedRoute_461874eacefb2965","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Image reconstruction module","scMIR","pretraining","Image Reconstruction Module","a fraction of the output tokens from the frozen image encoder","frozen image encoder output tokens","single-cell microscopy image embeddings","['randomly masked', 'shared-weight Q-Former', 'lightweight Transformer decoder', 'predicts the original embeddings for the masked tokens']","['masking', 'Q-Former', 'transformer decoder', 'reconstruction']","partially observed embedding sequence","dense_continuous_carrier","direct_projected_embedding","These masked embeddings are fed into a shared-weight Q-Former","query_bottleneck","no_text_on_this_route","actual_model_input","a fraction of the output tokens from the frozen image encoder are randomly masked","Image reconstruction module","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [19, 27, 77], ""pages"": [16, 18, 19, 35, 36], ""refs"": [""#/texts/49"", ""#/texts/78"", ""#/texts/79"", ""#/texts/80"", ""#/texts/81"", ""#/texts/82"", ""#/texts/83"", ""#/texts/84""], ""spans"": [{""chunk"": 19, ""start"": 619, ""end"": 646}, {""chunk"": 27, ""start"": 96, ""end"": 123}, {""chunk"": 77, ""start"": 693, ""end"": 720}]}","","","",""
"TaxonomyCodedRoute_7fb7e02238433508","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Overall pre-training objective","scMIR","pretraining","The four pre-training objectives-Image-Text Contrastive (ITC), Image-Grounded Text Generation (ITG), Image-Text Matching (ITM), and Image Reconstruction (REC)-are jointly optimized during pre-training.","the four pre-training objectives","pre-training objectives","multimodal pre-training objectives","['Image-Text Contrastive (ITC)', 'Image-Grounded Text Generation (ITG)', 'Image-Text Matching (ITM)', 'Image Reconstruction (REC)', 'jointly optimized during pre-training']","['contrastive objective', 'generative objective', 'matching objective', 'reconstruction objective', 'joint optimization']","the four pre-training objectives","other_evidence_grounded","other_evidence_grounded","jointly optimized during pre-training","other_explicit","training_target","training_only_target","The four pre-training objectives-Image-Text Contrastive (ITC), Image-Grounded Text Generation (ITG), Image-Text Matching (ITM), and Image Reconstruction (REC)-are jointly optimized during pre-training.","Overall pre-training objective","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [28], ""pages"": [19], ""refs"": [""#/texts/86"", ""#/texts/87"", ""#/texts/88""], ""spans"": [{""chunk"": 28, ""start"": 96, ""end"": 126}]}","","","",""
"TaxonomyCodedRoute_1fd34ae4f8eec754","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Training protocol","scMIR","pretraining","multimodal pretraining stage","paired microscopy images and textual descriptions","paired microscopy images and textual descriptions","single-cell microscopy images and structured text captions","['multimodal pretraining stage', 'full scMIR architecture', 'optimized end-to-end']","['multimodal pretraining', 'full architecture', 'end-to-end optimization']","paired microscopy images and textual descriptions","visual_raster_carrier","raw_slide_or_patch_input","During pretraining, the full scMIR architecture, consisting of the image encoder, Q-Former, and the proposed image reconstruction module, is optimized end-to-end.","shared_latent_alignment","paired_alignment_supervision","actual_model_input","During pretraining, the full scMIR architecture, consisting of the image encoder, Q-Former, and the proposed image reconstruction module, is optimized end-to-end.","Training protocol","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [29, 78], ""pages"": [19, 36], ""refs"": [""#/texts/90"", ""#/texts/285""], ""spans"": [{""chunk"": 29, ""start"": 96, ""end"": 113}, {""chunk"": 78, ""start"": 122, ""end"": 139}]}","","","",""
"TaxonomyCodedRoute_ccbe5a1a2a8a37cd","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Benchmarking methods","scMIR","evaluation","We compare scMIR with both task-oriented models and general-purpose pretrained representations.","task-oriented models and general-purpose pretrained representations","task-oriented models and general-purpose pretrained representations","microscopy image representation learning","[]","[]","fixed image-level features","dense_continuous_carrier","pooled_or_aggregated_embedding","fixed image-level features are extracted without additional fine-tuning and evaluated using the same downstream classifiers and evaluation protocols as scMIR","other_explicit","no_text_on_this_route","baseline_only","We compare scMIR with both task-oriented models and general-purpose pretrained representations.","Benchmarking methods","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [30], ""pages"": [19], ""refs"": [""#/texts/92""], ""spans"": [{""chunk"": 30, ""start"": 96, ""end"": 116}]}","","","",""
"TaxonomyCodedRoute_a93a861e247d66e6","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Datasets","scMIR","pretraining","We assemble a large-scale collection of publicly available microscopy image datasets for pretraining and evaluation of scMIR.","publicly available microscopy image datasets","publicly available microscopy image datasets","microscopy images","['Full-field images are processed using automated cell segmentation tools to extract individual cell instances', 'the individual cell instances are combined with originally provided single-cell datasets to form a unified single-cell image pool']","['segment full-field images into individual cell instances', 'combine segmented instances with originally provided single-cell datasets into a unified single-cell image pool']","single-cell images and full-field microscopy images","visual_raster_carrier","raw_slide_or_patch_input","Textual metadata are used only during pretraining and are excluded from all downstream analyses.","unclear","metadata_or_context","paired_alignment_input","The corpus includes both single-cell images and full-field microscopy images","Datasets","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [19], ""refs"": [""#/texts/94""], ""spans"": [{""chunk"": 31, ""start"": 145, ""end"": 189}]}","","","",""
"TaxonomyCodedRoute_9153bc64ab78cdbf","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Data preprocessing","scMIR","inference","For full-field microscopy images lacking provided cell boundary annotations, single-cell instances are obtained using an automated segmentation pipeline.","full-field microscopy images lacking provided cell boundary annotations","full-field microscopy images without cell boundary annotations","full-field microscopy images","['we apply Cellpose [59] with the nuclear channel as the primary segmentation cue to delineate individual cells', 'Following segmentation, each cell region is cropped from the original image, and zero padding is applied to produce square images', 'The Q-Former outputs a fixed set of 32 query embeddings for each image, each with a dimensionality of 768', 'we compute the mean of the query embeddings, resulting in a single 768-dimensional feature vector per image', 'For multi-channel microscopy images, features are extracted independently from each channel using the same procedure', 'The resulting channel-specific feature vectors are then concatenated to form the final image representation']","['segment full-field images with Cellpose using the nuclear channel', 'crop each cell region and zero-pad to square images', 'encode images with pretrained image encoder and Q-Former to produce 32 query embeddings of dimension 768', 'mean-pool the query embeddings into a 768-dimensional feature vector per image', 'extract channel-wise features independently for multi-channel images', 'concatenate channel-specific vectors into the final representation']","square images","visual_raster_carrier","raw_slide_or_patch_input","The Q-Former outputs a fixed set of 32 query embeddings for each image, each with a dimensionality of 768.","query_bottleneck","no_text_on_this_route","actual_model_input","Following segmentation, each cell region is cropped from the original image","Data preprocessing","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [32], ""pages"": [20], ""refs"": [""#/texts/96""], ""spans"": [{""chunk"": 32, ""start"": 96, ""end"": 114}]}","","","",""
"TaxonomyCodedRoute_f001855692c21f1f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Evaluation experiments","scMIR","evaluation","For cell classification tasks, datasets containing full-field microscopy images are first processed by cell segmentation to obtain single-cell images.","datasets containing full-field microscopy images","full-field microscopy image datasets","full-field microscopy images","['datasets containing full-field microscopy images are first processed by cell segmentation to obtain single-cell images', 'Single-cell representations are extracted using the pretrained models and then aggregated by average pooling to obtain image-level features', 'Model selection is performed on the training set using five-fold cross-validation']","['segment full-field microscopy datasets into single-cell images', 'extract single-cell representations and average-pool to image-level features', 'select models with five-fold cross-validation on the training set']","image-level features","dense_continuous_carrier","pooled_or_aggregated_embedding","Single-cell representations are extracted using the pretrained models and then aggregated by average pooling to obtain image-level features.","other_explicit","no_text_on_this_route","actual_model_input","Single-cell representations are extracted using the pretrained models and then aggregated by average pooling to obtain image-level features.","Evaluation experiments Cell classification","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [33], ""pages"": [20, 21], ""refs"": [""#/texts/98"", ""#/texts/99"", ""#/texts/100""], ""spans"": [{""chunk"": 33, ""start"": 96, ""end"": 118}]}","","","",""
"TaxonomyCodedRoute_3418a25613c13b46","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Cell classification","scMIR","evaluation","datasets containing full-field microscopy images are first processed by cell segmentation to obtain single-cell images","full-field microscopy images","full-field microscopy images","light microscopy images","['processed by cell segmentation', 'obtain single-cell images', 'Single-cell representations are extracted using the pretrained models', 'aggregated by average pooling', 'obtain image-level features']","['cell segmentation', 'single-cell image extraction', 'pretrained model encoding', 'average pooling', 'image-level feature aggregation']","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","aggregated by average pooling to obtain image-level features","other_explicit","no_text_on_this_route","actual_model_input","For cell classification tasks, datasets containing full-field microscopy images are first processed by cell segmentation to obtain single-cell images.","Cell classification","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [33], ""pages"": [20, 21], ""refs"": [""#/texts/98"", ""#/texts/99"", ""#/texts/100""], ""spans"": [{""chunk"": 33, ""start"": 139, ""end"": 289}]}","","","",""
"TaxonomyCodedRoute_342a77413988cb86","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Cell clustering","scMIR","evaluation","For unsupervised evaluation, KMeans clustering is applied to image representations extracted from all datasets.","image representations extracted from all datasets","image representations","light microscopy images","['KMeans clustering is applied to image representations', 'channel-wise features are first averaged', 'classbalanced subsampling for visualization', 'up to 600 samples per dataset']","['KMeans clustering', 'channel-wise feature averaging', 'class-balanced subsampling', 'visualization']","image representations","dense_continuous_carrier","pooled_or_aggregated_embedding","channel-wise features are first averaged to ensure a consistent feature length across datasets","other_explicit","no_text_on_this_route","actual_model_input","KMeans clustering is applied to image representations extracted from all datasets.","Cell clustering","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [4, 34], ""pages"": [4, 21], ""refs"": [""#/texts/15"", ""#/pictures/0"", ""#/texts/102""], ""spans"": [{""chunk"": 4, ""start"": 2468, ""end"": 2483}, {""chunk"": 34, ""start"": 96, ""end"": 111}]}","","","",""
"TaxonomyCodedRoute_d1c6258f241bd97f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Morphology-informed phenotypic inference","scMIR","evaluation","For drug-perturbation datasets, full-field microscopy images are first segmented into single-cell images, from which single-cell representations are extracted.","full-field microscopy images","full-field microscopy images","light microscopy images","['segmented into single-cell images', 'single-cell representations are extracted', 'Image-level features are obtained by average aggregation of single-cell features', 'welllevel representations are computed by averaging image-level features', 'treatmentlevel representations are derived by further aggregating wells subjected to identical perturbation conditions', 'sphering normalization prior to feature aggregation']","['cell segmentation', 'single-cell representation extraction', 'average aggregation to image-level features', 'averaging to well-level representations', 'further aggregation to treatment-level representations', 'sphering normalization']","image-level features","dense_continuous_carrier","pooled_or_aggregated_embedding","Image-level features are obtained by average aggregation of single-cell features","other_explicit","no_text_on_this_route","actual_model_input","Image-level features are obtained by average aggregation of single-cell features.","Morphology-informed phenotypic inference","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [5, 17, 35], ""pages"": [5, 14, 15, 21], ""refs"": [""#/texts/16"", ""#/texts/17"", ""#/texts/43"", ""#/texts/44"", ""#/texts/45"", ""#/texts/104"", ""#/texts/105""], ""spans"": [{""chunk"": 5, ""start"": 1753, ""end"": 1793}, {""chunk"": 17, ""start"": 812, ""end"": 852}, {""chunk"": 35, ""start"": 96, ""end"": 136}]}","","","",""
"TaxonomyCodedRoute_cfe7d02914aebb75","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Batch correction","scMIR","evaluation","Batch correction is conducted using joint embedding visualization with UMAP [72].","Each image","image","light microscopy images","['joint embedding visualization with UMAP', 'Each image is treated as an individual data point', 'for drug perturbation datasets, image-level features are obtained by averaging single-cell representations', 'Batch-related variability is quantified using the Inverse Median Absolute Deviation (IMAD)']","['joint embedding visualization with UMAP', 'image-level embedding', 'averaging single-cell representations for drug perturbation datasets', 'IMAD batch-variability quantification']","single feature vector","dense_continuous_carrier","direct_projected_embedding","image-level features are obtained by averaging single-cell representations","other_explicit","no_text_on_this_route","actual_model_input","Batch correction is conducted using joint embedding visualization with UMAP [72].","Batch correction","","explicit_text","The route spans both single-cell datasets and drug-perturbation datasets; the carrier coding reflects the feature-vector form used for UMAP.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [4, 5, 16, 17, 36, 53], ""pages"": [4, 5, 13, 14, 15, 21, 27, 28], ""refs"": [""#/texts/15"", ""#/pictures/0"", ""#/texts/16"", ""#/texts/17"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/43""], ""spans"": [{""chunk"": 4, ""start"": 2491, ""end"": 2507}, {""chunk"": 5, ""start"": 1853, ""end"": 1869}, {""chunk"": 16, ""start"": 470, ""end"": 486}, {""chunk"": 17, ""start"": 858, ""end"": 874}]}","","","",""
"TaxonomyCodedRoute_5307a9d974a5394c","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Evaluation metrics","scMIR","evaluation","For all evaluation metrics reported in this study, higher values indicate better performance.","evaluation metrics reported in this study","evaluation metrics","text","[]","[]","Evaluation metrics","other_evidence_grounded","other_evidence_grounded","","unclear","metadata_or_context","unclear","For all evaluation metrics reported in this study, higher values indicate better performance.","Evaluation metrics","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [35, 37], ""pages"": [21, 22], ""refs"": [""#/texts/104"", ""#/texts/105"", ""#/texts/109""], ""spans"": [{""chunk"": 35, ""start"": 1884, ""end"": 1902}, {""chunk"": 37, ""start"": 96, ""end"": 114}]}","","","",""
"TaxonomyCodedRoute_1faa02989cd93846","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Accuracy (ACC)","scMIR","evaluation","where N denotes the number of samples, y and y are the ground-truth and predicted labels, respectively, and I(∙) is the indicator function.","Accuracy (ACC)","accuracy","text","[]","[]","Accuracy (ACC)","other_evidence_grounded","other_evidence_grounded","","unclear","metadata_or_context","unclear","Accuracy (ACC)","Evaluation metrics","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [38], ""pages"": [22], ""refs"": [""#/texts/111"", ""#/texts/112"", ""#/texts/113"", ""#/texts/114"", ""#/texts/115"", ""#/texts/116"", ""#/texts/117""], ""spans"": [{""chunk"": 38, ""start"": 96, ""end"": 110}]}","","","",""
"TaxonomyCodedRoute_bf2a4852b4e8ff21","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","F1 score","scMIR","evaluation","where Precision and Recall are computed based on true positives (TP), false positives (FP), and false negatives (FN).","F1 score","f1 score","text","[]","[]","F1 score","other_evidence_grounded","other_evidence_grounded","","unclear","metadata_or_context","unclear","F1 score","Evaluation metrics","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [6, 33, 38], ""pages"": [5, 6, 20, 21, 22], ""refs"": [""#/texts/19"", ""#/texts/20"", ""#/texts/21"", ""#/texts/98"", ""#/texts/99"", ""#/texts/100"", ""#/texts/111"", ""#/texts/112""], ""spans"": [{""chunk"": 6, ""start"": 1690, ""end"": 1698}, {""chunk"": 33, ""start"": 752, ""end"": 760}, {""chunk"": 38, ""start"": 293, ""end"": 301}]}","","","",""
"TaxonomyCodedRoute_a197a2b497d8aa84","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Macro-Average Precision (Macro-AP)","scMIR","evaluation","Macro-Average Precision (Macro-AP) is obtained by computing the average precision independently for each class and then averaging across all classes, treating each class equally regardless of sample size.","Macro-Average Precision (Macro-AP)","macro-average precision","text","[]","[]","Macro-Average Precision (Macro-AP)","other_evidence_grounded","other_evidence_grounded","","unclear","metadata_or_context","unclear","Macro-Average Precision (Macro-AP) is obtained by computing the average precision independently for each class","Evaluation metrics","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [35, 37], ""pages"": [21, 22], ""refs"": [""#/texts/104"", ""#/texts/105"", ""#/texts/109""], ""spans"": [{""chunk"": 35, ""start"": 1884, ""end"": 1902}, {""chunk"": 37, ""start"": 96, ""end"": 114}]}","","","",""
"TaxonomyCodedRoute_21fa30da7e1b9748","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Micro-Average Precision (Micro-AP)","scMIR","evaluation","For cell classification tasks, datasets containing full-field microscopy images are first processed by cell segmentation to obtain single-cell images.","true positives, false positives, and false negatives over all classes","classification outcomes aggregated across classes","single-cell light microscopy images","[]","[]","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","single-cell representations are extracted using the pretrained models and then aggregated by average pooling to obtain image-level features.","unclear","no_text_on_this_route","actual_model_input","Micro-Average Precision (Micro-AP) computes average precision by aggregating true positives","Evaluation experiments Cell classification","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [33], ""pages"": [20, 21], ""refs"": [""#/texts/98"", ""#/texts/99"", ""#/texts/100""], ""spans"": [{""chunk"": 33, ""start"": 139, ""end"": 289}]}","","","",""
"TaxonomyCodedRoute_0ed0c7fd688877b9","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Normalized Mutual Information (NMI)","scMIR","evaluation","For unsupervised evaluation, KMeans clustering is applied to image representations extracted from all datasets.","predicted cluster assignment","predicted cluster assignments","single-cell light microscopy image representations","[]","[]","image representations extracted from all datasets","dense_continuous_carrier","pooled_or_aggregated_embedding","KMeans clustering is applied to image representations extracted from all datasets.","unclear","no_text_on_this_route","actual_model_input","where 𝑌 J is predicted cluster assignment, 𝑌 is ground-truth label","Cell clustering","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [39], ""pages"": [22], ""refs"": [""#/texts/119"", ""#/texts/120""], ""spans"": [{""chunk"": 39, ""start"": 96, ""end"": 131}]}","","","",""
