"id","label","type","__class__","route_label","model_name","lifecycle_phase_verbatim","task_or_configuration_verbatim","source_object_verbatim","transformation_chain_verbatim","model_visible_form_verbatim","insertion_or_fusion_verbatim","text_role_verbatim","input_status_verbatim","evidence_quote","section_heading","supporting_figure_or_table","uncertainty","__provenance__","title","doi","input_routes"
"InputRouteDiscovery_1f07151688b2f0a4","InputRouteDiscovery","entity","InputRouteDiscovery","scRNA-seq to OCellus Transformer Encoder","OCellus","pretraining","Training from multi-modal single-cell data","scRNA-seq data","['tokenized', 'passed through an OCellus Transformer Encoder', 'aligned to a Qwen LLM backbone']","multi-modal cell embedding","fed into data integration and Qwen LLM pretraining/alignment","actual input","actual model input","single-cell RNA-seq","OCellus framework","Figure 1a","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1354, ""end"": 1396}]}","","",""
"InputRouteDiscovery_b3c3a4cab87b2a75","InputRouteDiscovery","entity","InputRouteDiscovery","scPerturb-seq to OCellus Transformer Encoder","OCellus","pretraining","Training from multi-modal single-cell data","scPerturb-seq data","['tokenized', 'passed through an OCellus Transformer Encoder', 'aligned to a Qwen LLM backbone']","multi-modal cell embedding","fed into data integration and Qwen LLM pretraining/alignment","actual input","actual model input","scPerturb-seq","OCellus framework","Figure 1a","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1354, ""end"": 1396}]}","","",""
"InputRouteDiscovery_108443d93f35379b","InputRouteDiscovery","entity","InputRouteDiscovery","spatial transcriptomics to EvenClock text prefix","OCellus","evaluation","Spatial transcriptomics tasks with EvenClock encoding","spatial transcriptomics data","['coordinates discretized into eighteen clockface sectors', 'neighboring-cell gene lists concatenated into a text prefix', ""prefix appended to the center cell's ranked-gene sentence""]","text prefix of sector gene lists plus the center cell's ranked-gene sentence","EvenClock prefix appended to the input sentence","actual input","actual model input","EvenClock spatial encoding","EvenClock: text-only spatial reasoning","Figure 4a","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 12, 42], ""pages"": [6, 7, 10, 39, 40], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/3"", ""#/texts/758"", ""#/texts/761"", ""#/texts/762"", ""#/texts/763"", ""#/texts/764""], ""spans"": [{""chunk"": 7, ""start"": 2169, ""end"": 2197}, {""chunk"": 12, ""start"": 2255, ""end"": 2283}, {""chunk"": 42, ""start"": 259, ""end"": 287}]}","","",""
"InputRouteDiscovery_98d7a753e43a70c2","InputRouteDiscovery","entity","InputRouteDiscovery","gene symbols to OCellus gene embeddings for perturbation GNN","OCellus","inference","Perturbation prediction with natural-language explanations","individual gene symbols","['passed through the frozen OCellus backbone', 'last-layer hidden states averaged', 'fixed-length 4,096-dimensional gene embeddings produced', 'used as initial node features for the graph neural network']","fixed-length 4,096-dimensional gene embeddings","node features for a plug-in graph neural network","actual input","actual model input","4,096-dimensional gene embeddings","The OCellus framework","Figure 1","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [6], ""pages"": [5, 6], ""refs"": [""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126""], ""spans"": [{""chunk"": 6, ""start"": 1127, ""end"": 1175}]}","","",""
"InputRouteDiscovery_94ba8faebe7ed0a3","InputRouteDiscovery","entity","InputRouteDiscovery","STRING v12 PPI network to OCellus-GNN perturbation predictor","OCellus","training","Continuous perturbation prediction on the STRING v12 protein-protein interaction network","STRING v12 protein-protein interaction network","['filtered to combined confidence at least 700', 'linear embedding-projection layer maps gene embeddings to working dimension', 'indicator-projection layer encodes knockout and baseline gene indicators', 'three graph-convolution layers propagate the signal', 'MLP head produces continuous log2 fold-change predictions']","graph of 15,309 nodes and 416,518 unique undirected edges with knockout and baseline gene indicators","operates on the STRING v12 protein-protein interaction network","actual input","actual model input","STRING v12","Graph neural network for perturbation prediction","Figure 5","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [49, 50], ""pages"": [46, 47, 48], ""refs"": [""#/texts/890"", ""#/texts/891"", ""#/texts/892"", ""#/texts/893"", ""#/texts/894"", ""#/texts/895"", ""#/texts/896"", ""#/texts/897""], ""spans"": [{""chunk"": 49, ""start"": 127, ""end"": 175}, {""chunk"": 50, ""start"": 127, ""end"": 175}]}","","",""
"InputRouteDiscovery_ffdf884156c71963","InputRouteDiscovery","entity","InputRouteDiscovery","natural-language biological query to OCellus-Agent","OCellus-Agent","inference","Natural-language biological queries","natural-language biological queries","['Planner LoRA decomposes the query into an executable directed acyclic graph', 'rule-based Router dispatches each step', 'three-layer Verifier checks outputs', 'expert LoRA swaps execute the tasks']","typed tool-call directed acyclic graph","Planner-Router-Verifier system over the Qwen3.5-9B backbone","actual input","actual model input","natural-language biological queries","OCellus-Agent","Figure 8","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [6], ""pages"": [5, 6], ""refs"": [""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126""], ""spans"": [{""chunk"": 6, ""start"": 1331, ""end"": 1366}]}","","",""
"InputRouteDiscovery_c39776c6ce68337a","InputRouteDiscovery","entity","InputRouteDiscovery","uploaded h5ad file to OCellus-Agent preprocessing pipeline","OCellus-Agent","inference","single-cell RNA-seq pipeline","uploaded pbmc.h5ad file","['loaded', 'mitochondrial and ribosomal filtering', 'lognormalization', 'cell-type annotation', 'embedding', 'UMAP plotting', 'subset summarization']","annotated AnnData object","Data Loader expert routes the file through the shared backbone and tools","actual input","actual model input","uploaded pbmc.h5ad file","OCellus-Agent","Figure 8","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [38], ""pages"": [34, 35], ""refs"": [""#/texts/672"", ""#/texts/675"", ""#/texts/676"", ""#/texts/677"", ""#/texts/678"", ""#/texts/679"", ""#/texts/680"", ""#/texts/681""], ""spans"": [{""chunk"": 38, ""start"": 1408, ""end"": 1436}]}","","",""
"InputRouteDiscovery_9ba4cf03246dc82f","InputRouteDiscovery","entity","InputRouteDiscovery","shared-ortholog gene list to OCellus cross-species cell-type classifier","OCellus","evaluation","cross-species cell-type task","mouse cell's top-ranked genes on the shared ortholog panel of approximately 250 genes","[]","shared-ortholog gene list","fed as a text prompt to the shared Qwen3.5-9B backbone","actual input","actual model input","shared ortholog panel of approximately 250 genes","Cross-domain reasoning","Figure 7","The exact prompt template is not spelled out; the paper explicitly describes the ortholog-panel gene input.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [33], ""pages"": [29, 30], ""refs"": [""#/texts/573"", ""#/pictures/9"", ""#/texts/577"", ""#/texts/578"", ""#/texts/579"", ""#/texts/580"", ""#/texts/581"", ""#/texts/582""], ""spans"": [{""chunk"": 33, ""start"": 676, ""end"": 724}]}","","",""
"InputRouteDiscovery_5f690b66e64a7dee","InputRouteDiscovery","entity","InputRouteDiscovery","embryonic cell gene profiles to OCellus developmental-stage classifier","OCellus","evaluation","developmental-stage prediction across mouse embryogenesis and human embryogenesis","mouse and human embryonic cell gene profiles","[]","ranked-gene cell sentence","fed into the shared backbone as a classification prompt","actual input","actual model input","developmental-stage prediction across mouse embryogenesis (E9.5 -E16.5) and human embryogenesis (CS12 -CS23)","Cross-domain reasoning","Figure 2a","The paper gives the task but does not fully specify the surface-form prompt encoding.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [34], ""pages"": [30, 31], ""refs"": [""#/texts/594"", ""#/texts/595"", ""#/texts/596"", ""#/texts/597"", ""#/texts/598"", ""#/texts/599"", ""#/texts/600"", ""#/texts/601""], ""spans"": [{""chunk"": 34, ""start"": 1691, ""end"": 1799}]}","","",""
"InputRouteDiscovery_b129c28a7c5c56fd","InputRouteDiscovery","entity","InputRouteDiscovery","STRING v12 gene pairs to OCellus binary PPI classifier","OCellus","evaluation","binary protein-protein interaction classification on STRING v12","gene pairs from STRING v12","[]","pairwise gene-token text prompt","fed to the shared backbone as a binary classification prompt","actual input","actual model input","binary protein -protein interaction classification on STRING v12","Cross-domain reasoning","Figure 2a","The exact text formatting of the gene pairs is not explicitly described; the task-level input is explicit.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [14], ""pages"": [11, 12], ""refs"": [""#/texts/221"", ""#/texts/222"", ""#/texts/223"", ""#/texts/224"", ""#/texts/225"", ""#/texts/226"", ""#/texts/227"", ""#/texts/228""], ""spans"": [{""chunk"": 14, ""start"": 766, ""end"": 830}]}","","",""
