candidate_type,route_id,configuration_id,model_id,study_id,record_id,title,route_label,model_name,lifecycle_phase,task_or_configuration_verbatim,source_object_verbatim,source_object_normalized,source_modality_normalized,transformation_chain_verbatim,transformation_chain_normalized,model_visible_form_verbatim,carrier_family,carrier_subtype,insertion_or_fusion_verbatim,fusion_topology,text_role,input_status,evidence_quote,section_heading,supporting_figure_or_table,evidence_status,uncertainty,source_candidate_refs,dense_candidate_refs,pages,doc_item_refs,provenance_match,picture_only_provenance,candidate_quote_match,quote_verified_in_canonical_markdown,quote_verified_in_native_items,taxonomy_consistent,final_grounding_valid
accepted_input_route,route_1be4b212c913,config_2c2156773479,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,single-cell microscopy image pretraining route,scMIR,pretraining,paired microscopy images and textual descriptions,single-cell microscopy images,single-cell microscopy images,single-cell microscopy,"[""frozen image encoder"", ""Q-Former"", ""image-text alignment objective"", ""masked image reconstruction module""]","[""encode single-cell microscopy images"", ""align image and text with a Q-Former"", ""apply masked image reconstruction""]",single-cell microscopy images,visual_raster_carrier,raw_slide_or_patch_input,frozen image encoder coupled with a Q-Former,query_bottleneck,paired_alignment_supervision,actual_model_input,"The model is trained in a multimodal pretraining stage using paired microscopy images and textual descriptions. During pretraining, the full scMIR architecture, consisting of the  image  encoder,  Q-Former,  and  the  proposed  image  reconstruction  module,  is optimized  end-to-end.  Detailed  hyperparameter  configurations  and  implementation settings  are  provided  in  the  Supplementary  information.  For  downstream  tasks, microscopy  images  are  fed  into  the  pretrained  model  to  extract  fixed  image-level representations, which are then used as input features for task-specific classifiers or evaluation protocols, depending on the application.",Methods,Fig. 1b,explicit_text,,"[""update_2026-08-09__rec_000106::route_001""]","[""dense::update_2026-08-09__rec_000106::0001"", ""dense::update_2026-08-09__rec_000106::0002"", ""dense::update_2026-08-09__rec_000106::0003""]","[1, 19, 31, 32, 50]","[""#/tables/0"", ""#/texts/1"", ""#/texts/2"", ""#/texts/236"", ""#/texts/242"", ""#/texts/244"", ""#/texts/3"", ""#/texts/4"", ""#/texts/5"", ""#/texts/6"", ""#/texts/90""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_0bec94c1fe77,config_b14160e930e3,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,structured textual caption pretraining route,scMIR,pretraining,paired single-cell images and structured textual captions,structured textual captions,structured textual captions,text,"[""Tokenizer"", ""text tokens"", ""Q-Former text transformer"", ""text decoder / image-text alignment objectives""]","[""tokenize structured captions"", ""encode text tokens"", ""align text with paired image supervision""]",text tokens,text_native_token_stream,structured_biological_prompt_or_task_scaffold,structured text serves as a semantic anchor for the image-text alignment module,tokenizer_sequence,paired_alignment_supervision,paired_alignment_input,paired single-cell images and structured textual captions,Methods,Fig. 1b,explicit_text,,"[""update_2026-08-09__rec_000106::route_002""]","[""dense::update_2026-08-09__rec_000106::0001"", ""dense::update_2026-08-09__rec_000106::0002"", ""dense::update_2026-08-09__rec_000106::0003""]","[1, 16, 31, 32, 50]","[""#/tables/0"", ""#/texts/1"", ""#/texts/2"", ""#/texts/236"", ""#/texts/242"", ""#/texts/244"", ""#/texts/3"", ""#/texts/4"", ""#/texts/49"", ""#/texts/5"", ""#/texts/6""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_d5653943da13,config_3c8763b51351,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,single-cell microscopy image downstream route,scMIR,evaluation,downstream applications,single-cell microscopy images,single-cell microscopy images,single-cell microscopy,"[""frozen image encoder"", ""Q-Former"", ""fixed image-level representations""]","[""encode single-cell microscopy images"", ""extract fixed image-level representations""]",single-cell microscopy images,visual_raster_carrier,raw_slide_or_patch_input,the model takes only single-cell microscopy images as input,query_bottleneck,no_text_on_this_route,actual_model_input,the model takes only single-cell microscopy images as input,scMIR model,,explicit_text,,"[""update_2026-08-09__rec_000106::route_003""]","[""dense::update_2026-08-09__rec_000106::0005"", ""dense::update_2026-08-09__rec_000106::0006"", ""dense::update_2026-08-09__rec_000106::0007"", ""dense::update_2026-08-09__rec_000106::0010""]","[16, 31, 32, 33, 50]","[""#/tables/0"", ""#/texts/236"", ""#/texts/248"", ""#/texts/252"", ""#/texts/254"", ""#/texts/260"", ""#/texts/49""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_f0a0247412fe,config_655b2f65250c,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,full-field microscopy image pretraining route,scMIR,pretraining,multimodal pretraining on full-field microscopy images that are segmented into single-cell instances,full-field microscopy images,full-field microscopy images,full-field microscopy,"[""automated cell segmentation tools / Cellpose"", ""crop individual cell regions"", ""zero padding to square inputs"", ""frozen image encoder"", ""Q-Former"", ""image-text alignment objective"", ""masked image reconstruction module""]","[""segment full-field images into individual cells"", ""crop and pad cell regions"", ""encode images"", ""align image and text"", ""apply masked image reconstruction""]",cropped single-cell image instances,visual_raster_carrier,raw_slide_or_patch_input,frozen image encoder coupled with a Q-Former,query_bottleneck,paired_alignment_supervision,actual_model_input,Full-field images are processed using automated cell segmentation tools to extract individual cell instances,Data preprocessing,,explicit_text,,"[""update_2026-08-09__rec_000106::route_004""]","[""dense::update_2026-08-09__rec_000106::0004""]","[19, 31, 32, 50]","[""#/tables/0"", ""#/texts/236"", ""#/texts/246"", ""#/texts/94""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_64e3ba650b3e,config_f78117e065e5,model_e0f70ec41e97,study_ab49825e939e,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,full-field microscopy image downstream route,scMIR,evaluation,evaluation datasets processed with the pretraining preprocessing pipeline,full-field microscopy images,full-field microscopy images,full-field microscopy,"[""automated cell segmentation tools / Cellpose when applicable"", ""crop individual cell regions"", ""zero padding to square inputs"", ""frozen image encoder"", ""Q-Former"", ""fixed image-level representations""]","[""apply the shared preprocessing pipeline where applicable"", ""segment full-field images when applicable"", ""crop and pad cell regions"", ""encode images"", ""extract fixed image-level representations""]",cropped single-cell image instances,visual_raster_carrier,raw_slide_or_patch_input,frozen image encoder coupled with a Q-Former,query_bottleneck,no_text_on_this_route,actual_model_input,"For full-field microscopy images lacking provided cell boundary annotations, singlecell instances are obtained using an automated segmentation pipeline. Specifically, we apply  Cellpose  [59]  with  the  nuclear  channel  as  the  primary  segmentation  cue  to delineate individual cells. Following segmentation, each cell region is cropped from the original image, and zero padding is applied to produce square images. All images are subsequently processed by the pretrained image encoder and Q-Former to extract visual representations. The Q-Former outputs a fixed set of 32 query embeddings for each image,  each  with  a dimensionality  of  768.  To  obtain  a  compact  image-level representation, we compute the mean of the query embeddings, resulting in a single 768-dimensional  feature  vector  per  image.  For  multi-channel  microscopy  images, features are extracted independently from each channel using the same procedure. The resulting channel-specific feature vectors are then concatenated to form the final image representation, yielding a feature dimension of 𝑛 × 768 , where 𝑛 denotes the number of imaging channels.",Evaluation datasets,Table S2,explicit_text,"The paper notes that DIBaS and CM4AI do not undergo single-cell segmentation, so this route covers the full-field evaluation datasets that follow the shared preprocessing path.","[""update_2026-08-09__rec_000106::route_005""]","[""dense::update_2026-08-09__rec_000106::0008"", ""dense::update_2026-08-09__rec_000106::0009"", ""dense::update_2026-08-09__rec_000106::0011""]","[20, 21, 31, 33]","[""#/texts/100"", ""#/texts/104"", ""#/texts/105"", ""#/texts/236"", ""#/texts/256"", ""#/texts/258"", ""#/texts/262"", ""#/texts/96"", ""#/texts/98"", ""#/texts/99""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_39edc43606ff,config_5918cb0298f6,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",scRNA-seq to OCellus Transformer Encoder,OCellus,pretraining,Training from multi-modal single-cell data,scRNA-seq data,scRNA-seq data,single-cell transcriptomics,"[""tokenized"", ""passed through an OCellus Transformer Encoder"", ""aligned to a Qwen LLM backbone""]","[""tokenized"", ""transformer encoder"", ""shared latent alignment to Qwen backbone""]",multi-modal cell embedding,dense_continuous_carrier,direct_projected_embedding,fed into data integration and Qwen LLM pretraining/alignment,shared_latent_alignment,biological_payload,actual_model_input,single-cell RNA-seq,OCellus framework,Figure 1a,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_001""]","[""dense::update_2026-08-09__rec_000138::0001""]","[6, 7]","[""#/pictures/0"", ""#/texts/139""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_d12bfd7aa7bd,config_5918cb0298f6,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",scPerturb-seq to OCellus Transformer Encoder,OCellus,pretraining,Training from multi-modal single-cell data,scPerturb-seq data,scPerturb-seq data,single-cell perturbation transcriptomics,"[""tokenized"", ""passed through an OCellus Transformer Encoder"", ""aligned to a Qwen LLM backbone""]","[""tokenized"", ""transformer encoder"", ""shared latent alignment to Qwen backbone""]",multi-modal cell embedding,dense_continuous_carrier,direct_projected_embedding,fed into data integration and Qwen LLM pretraining/alignment,shared_latent_alignment,biological_payload,actual_model_input,scPerturb-seq,OCellus framework,Figure 1a,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_002""]","[""dense::update_2026-08-09__rec_000138::0001""]","[6, 7]","[""#/pictures/0"", ""#/texts/139""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_80ef56194064,config_ff24c9a9cb7b,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",spatial transcriptomics to EvenClock text prefix,OCellus,evaluation,Spatial transcriptomics tasks with EvenClock encoding,spatial transcriptomics data,spatial transcriptomics data,spatial transcriptomics,"[""coordinates discretized into eighteen clockface sectors"", ""neighboring-cell gene lists concatenated into a text prefix"", ""prefix appended to the center cell's ranked-gene sentence""]","[""coordinate discretization into eighteen sectors"", ""serialization into neighboring-cell gene-list prefix"", ""prefix appended to center-cell ranked-gene sentence""]",text prefix of sector gene lists plus the center cell's ranked-gene sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,EvenClock prefix appended to the input sentence,prefix,biological_payload,actual_model_input,This encoding is appended to the center cell's own ranked-gene sentence for spatial tasks,EvenClock spatial encoding,Figure 4a,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_003""]","[""dense::update_2026-08-09__rec_000138::0011"", ""dense::update_2026-08-09__rec_000138::0012"", ""dense::update_2026-08-09__rec_000138::0052""]","[6, 7, 10, 18, 19, 20, 39, 40, 45]","[""#/pictures/0"", ""#/pictures/3"", ""#/pictures/6"", ""#/texts/139"", ""#/texts/339"", ""#/texts/340"", ""#/texts/341"", ""#/texts/342"", ""#/texts/343"", ""#/texts/344"", ""#/texts/345"", ""#/texts/346"", ""#/texts/386"", ""#/texts/389"", ""#/texts/390"", ""#/texts/391"", ""#/texts/392"", ""#/texts/393"", ""#/texts/394"", ""#/texts/758"", ""#/texts/761"", ""#/texts/762"", ""#/texts/763"", ""#/texts/764""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_a26836adaaa9,config_99da216bc181,model_f924e02d892f,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",gene symbols to OCellus gene embeddings for perturbation GNN,OCellus,inference,Perturbation prediction with natural-language explanations,individual gene symbols,individual gene symbols,gene symbols,"[""passed through the frozen OCellus backbone"", ""last-layer hidden states averaged"", ""fixed-length 4,096-dimensional gene embeddings produced"", ""used as initial node features for the graph neural network""]","[""backbone encoding"", ""last-layer pooling"", ""fixed-length gene embeddings"", ""node features for perturbation GNN""]","fixed-length 4,096-dimensional gene embeddings",dense_continuous_carrier,pooled_or_aggregated_embedding,node features for a plug-in graph neural network,side_or_generative_conditioning,biological_payload,actual_model_input,"4,096-dimensional gene embeddings",The OCellus framework,Figure 1,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_004""]","[""dense::update_2026-08-09__rec_000138::0013"", ""dense::update_2026-08-09__rec_000138::0053""]","[5, 6, 21, 22, 23, 46, 47, 48]","[""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126"", ""#/texts/429"", ""#/texts/432"", ""#/texts/433"", ""#/texts/434"", ""#/texts/435"", ""#/texts/436"", ""#/texts/437"", ""#/texts/438"", ""#/texts/890"", ""#/texts/891"", ""#/texts/892"", ""#/texts/893"", ""#/texts/894"", ""#/texts/895"", ""#/texts/896"", ""#/texts/897""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_426a23ffa5ad,config_838480e4a99f,model_f12e33a1e764,study_6673da673ba0,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",natural-language biological queries to OCellus-Agent,OCellus-Agent,inference,Natural-language biological queries,natural-language biological queries,natural-language biological queries,natural language text,"[""Planner LoRA decomposes the query into an executable directed acyclic graph"", ""rule-based Router dispatches each step"", ""three-layer Verifier checks outputs"", ""expert LoRA swaps execute the tasks""]","[""planner decomposes query to DAG"", ""rule-based dispatch"", ""verification layers"", ""expert execution""]",natural-language query,text_native_token_stream,plain_language_prompt_or_question,Planner-Router-Verifier system over the Qwen3.5-9B backbone,tokenizer_sequence,instruction_or_query,actual_model_input,natural-language biological queries,OCellus-Agent,Figure 8,text_plus_figure,,"[""update_2026-08-09__rec_000138::route_006""]","[""dense::update_2026-08-09__rec_000138::0025"", ""dense::update_2026-08-09__rec_000138::0028""]","[5, 6, 33, 34, 35]","[""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126"", ""#/texts/629"", ""#/texts/630"", ""#/texts/631"", ""#/texts/632"", ""#/texts/633"", ""#/texts/634"", ""#/texts/635"", ""#/texts/636"", ""#/texts/672"", ""#/texts/675"", ""#/texts/676"", ""#/texts/677"", ""#/texts/678"", ""#/texts/679"", ""#/texts/680"", ""#/texts/681""]","[""verbatim""]",False,True,True,False,True,True
