candidate_id,download_status,disposition
update_2026-08-09__rec_000001,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000003,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000025,html_full_text_downloaded,html_full_text_retrieved
update_2026-08-09__rec_000039,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000076,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000082,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000106,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000131,html_full_text_downloaded,html_full_text_retrieved
update_2026-08-09__rec_000138,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000219,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000227,pdf_downloaded,pdf_retrieved
update_2026-08-09__rec_000231,pdf_downloaded,pdf_retrieved
