section_type,heading,occurrences,record_count,include_occurrences,uncertain_occurrences,avg_original_chars,max_original_chars
introduction,Introduction,140,140,90,50,5890.3,22498
abstract,Abstract,139,139,90,49,2808.9,72723
discussion_conclusion,Discussion,132,129,87,45,7040.9,31884
data_representation,Methods,60,60,45,15,16817.9,49704
discussion_conclusion,Conclusion,53,53,30,23,12359.0,142712
abstract,ABSTRACT,34,34,23,11,1571.8,3224
introduction,INTRODUCTION,31,31,17,14,5599.3,45795
data_representation,Datasets,28,24,23,5,2479.5,7824
discussion_conclusion,DISCUSSION,16,16,9,7,10530.9,31518
discussion_conclusion,Conclusions,15,15,9,6,4148.1,26568
data_representation,Model Architecture,13,13,8,5,3967.8,15885
document_opening,Docling opening text,10,10,2,8,1416.4,1592
discussion_conclusion,CONCLUSION,10,10,5,5,11550.8,18654
data_representation,Model architecture,8,7,5,3,2205.9,5451
data_representation,Architecture,8,5,6,2,2163.2,5678
data_representation,Materials and methods,7,7,4,3,18840.9,66202
introduction,Background,6,6,2,4,5461.8,7150
data_representation,Method,6,6,4,2,6488,12515
data_representation,METHODS,6,6,2,4,10866,21684
data_representation,Dataset,6,6,5,1,3468.5,6227
data_representation,Training Data,5,5,3,2,1380.4,2764
data_representation,Materials and Methods,5,5,2,3,16234.4,24338
data_representation,Online Methods,4,4,3,1,18262,37176
data_representation,Training data,4,4,3,1,3129,4741
data_representation,Influence of pre-training data size,4,4,4,0,2664,2664
data_representation,DATASETS,4,4,3,1,2113.2,3258
discussion_conclusion,Discussion and Conclusion,4,4,2,2,5273.8,11549
data_representation,Dataset Construction,3,3,2,1,2302,2529
data_representation,MODEL ARCHITECTURE,3,3,3,0,2564.7,3374
data_representation,Data collection and preprocessing,3,3,0,3,3151.7,3958
data_representation,Results under Noisy Mulit-modal Training Data,3,3,0,3,4513,4513
data_representation,Training Data Curation,3,3,0,3,4654,4654
data_representation,LLM-enriched Textual Corpus Curation,3,3,0,3,4083,4083
data_representation,Comparison Methods and Datasets,3,3,0,3,10471,10471
data_representation,Input representation,2,2,1,1,1574.5,2341
data_representation,Data Collection,2,2,2,0,1974,2215
data_representation,Analysis of species tag-prompting methods,2,2,2,0,1942,1942
data_representation,Downstream task datasets,2,2,2,0,4502.5,5704
data_representation,Pretraining data collection and preprocessing,2,2,1,1,1696,2077
data_representation,Datasets and Tasks,2,2,2,0,2665.5,3513
data_representation,"Huang, K., Fu, T., Gao, W., Zhao, Y., Roohani, Y., Leskovec, J., Coley, C.W., Xiao, C., Sun, J., Zitnik, M.: Therapeutics data commons: Machine learning datasets and tasks for drug discovery and development. arXiv preprint arXiv:2102.09548 (2021)",2,2,1,1,12102,12102
data_representation,- Molecular Aligned Multi-Modal Architecture and Language for Biomedical Discovery,2,2,1,1,9272,9272
data_representation,MAMMAL Architecture,2,2,1,1,4720,4720
data_representation,Data Preprocessing,2,2,1,1,1226,1312
data_representation,Embedding Representation,2,2,2,0,6188,10849
data_representation,Architecture Comparison,2,2,2,0,2069,2728
discussion_conclusion,DISCUSSION AND CONCLUSION,2,2,1,1,9910,17740
data_representation,DATASET CONSTRUCTION,2,2,2,0,1480,1480
data_representation,DATASET CONSTRUCTION DETAILS,2,2,2,0,4713,4713
data_representation,DATASET STATISTICS AND DISTRIBUTIONS,2,2,2,0,3557,3557
data_representation,METHOD,2,2,2,0,9538.5,11205
data_representation,Model architecture and pre-training,2,2,2,0,3499.5,3702
data_representation,Benchmark OmniNA with task-specific deep learning methods,2,2,2,0,1619,1674
data_representation,Data collection,2,2,2,0,495.5,879
data_representation,Model Architecture and Training,2,2,1,1,1659.5,1877
data_representation,Evaluation Datasets,2,2,2,0,4183.5,5047
data_representation,MATERIALS AND METHODS,2,2,1,1,12561.5,16777
data_representation,Pretraining Datasets,2,2,1,1,2829,4923
data_representation,Tasks and datasets,2,2,1,1,1665,1665
data_representation,Baseline methods,2,2,0,2,2193.5,2210
data_representation,Data curation,2,2,0,2,2264,2904
data_representation,Downstream Datasets,2,2,0,2,2214,2874
data_representation,Downstream Task Datasets,2,2,0,2,918,918
data_representation,Pre-training Data,2,2,0,2,4597,4597
data_representation,Downstream Tasks Dataset,2,2,0,2,7792,7792
data_representation,Pretraining Data,1,1,1,0,867,867
data_representation,Architecture and Pretraining,1,1,1,0,2097,2097
data_representation,"Large-Scale, Multi-Modal Dataset for Computational Pathology",1,1,1,0,1664,1664
data_representation,Dataset partitioning for model training and testing,1,1,1,0,766,766
data_representation,PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions,1,1,1,0,3094,3094
data_representation,model architecture,1,1,1,0,23604,23604
data_representation,Multi-Task Dataset Creation,1,1,1,0,2789,2789
data_representation,Dataset interpretation,1,1,1,0,3166,3166
data_representation,PlantCAD2 model architecture and pre-training 562,1,1,1,0,2191,2191
