artifact_group,status,count_or_scope,canonical_path,notes
git_remote_branches,exact,4 remote branches,.git,All advertised remote objects fetched
crabs_2026_abstract,exact_or_reconstructed,complete v1 and v2 packages,data/health_intelligence_conference_2026_abstract_2026-07-11_v2,Committed in 7d256bc8
july_screening_archive,exact,100 paths,analysis/codex_screening_run_artifacts_20260706,Restored from remote Git branch and blob-verified
taxonomy_artifacts,exact,52-record analysis,data/input_representation_taxonomy_2026-07-11,Retained in Git history
vlm_docling_markdown,exact,52 of 52,data/docling_include_vlm_52_2026-07-10_nolimits/markdown,Recovered from logged complete-document prompts and hash-verified
vlm_docling_native_json,not_recovered,0 of 52,data/docling_include_vlm_52_2026-07-10_nolimits,Requires PDF reprocessing
vlm_source_figures,partial,59 of 506,data/docling_include_vlm_52_2026-07-10_nolimits/figures,Exact atlas-backed source files
accepted_source_pdfs,valid_recovery,52 of 52,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs,28 exact historical hashes; all pass pdfinfo
determinism_summary,partial,20 records,data/determinism_codex_2026-07-01,Original role-run directories absent
download_full_texts_script,exact,1,scripts/download_full_texts.py,Recovered by replaying historical patches
unesco_builder,exact,1,scripts/build_unesco_application_docs.py,Generated artifacts rebuilt
atlas_crop_finalizer,exact,1,scripts/finalize_atlas_crop_crossvalidation.py,Recovered from historical patch
missing_helper_scripts,not_recovered,2,scripts,Incomplete history; no source fabricated
api_keys,local_only,2 keys,api_keys.json,Ignored mode 0600; rotation recommended

