arxiv_id,bytes,candidate_count,cluster_id,content_type,doi,error_digest,errors_json,final_url,method,path,pmid,source_url,status,title
,,1.0,3794,,,9b7917fe77ab,"[{""candidate"": ""https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6304512"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,Sparse Autoencoders Reveal Interpretable Cell-Type Programs in Single-Cell Foundation Model Representations
,,1.0,3962,,,ee9b510fb7dd,"[{""candidate"": ""https://www.sciencedirect.com/science/article/pii/S1570180826000898"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,Gold nanoparticles as therapeutic targets against Porphyromonas gingivalis and gingivitis: A molecular docking and network pharmacology study
,,1.0,4011,,,aef7fddb8f86,"[{""candidate"": ""https://www.researchgate.net/profile/Jonatan-Leffler/publication/402666563_Impact_of_testosterone-based_gender-affirming_hormone_therapy_on_toll-like_receptor_transcript_levels_and_peripheral_blood_leukocyte_counts_in_transmasculine_individuals/links/69bb534ea5bf176ab552b74c/Impact-of-testosterone-based-gender-affirming-hormone-therapy-on-toll-like-receptor-transcript-levels-and-peripheral-blood-leukocyte-counts-in-transmasculine-individuals.pdf"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,Impact of testosterone-based gender-affirming hormone therapy on toll-like receptor transcript levels and peripheral blood leukocyte counts in transmasculine …
,,1.0,4006,,,d3df357c1c52,"[{""status"": ""html_landing"", ""method"": ""record_url"", ""source_url"": ""https://openarchive.ki.se/articles/thesis/Regulation_of_macrophage_Function_by_ADAR1_in_metabolic_disease/30664964"", ""final_url"": ""https://openarchive.ki.se/articles/thesis/Regulation_of_macrophage_Function_by_ADAR1_in_metabolic_disease/30664964"", ""content_type"": ""text/html; charset=UTF-8""}]",,,,,,not_downloaded,Regulation of macrophage Function by ADAR1 in metabolic disease
,,1.0,4020,,,b063a3c131e2,"[{""candidate"": ""https://www.sciencedirect.com/science/article/pii/B9780443346712000232"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,Pharmacogenomics-based nanoprecision medicine
,,1.0,4008,,,98cbf6a1eed7,"[{""status"": ""html_landing"", ""method"": ""record_url"", ""source_url"": ""https://books.google.com/books?hl=en&lr=&id=vGLPEQAAQBAJ&oi=fnd&pg=PA307&dq=GPT+%22single+cell%22+%22gene+expression%22+generative&ots=aWrxdZAayn&sig=UhSHJHHQ-W6KHuvFmjSr6QqHf6A"", ""final_url"": ""https://books.google.bg/books?hl=en&lr=&id=vGLPEQAAQBAJ&oi=fnd&pg=PA307&dq=GPT+%22single+cell%22+%22gene+expression%22+generative&ots=aWrxdZAayn&sig=UhSHJHHQ-W6KHuvFmjSr6QqHf6A&redir_esc=y"", ""content_type"": ""text/html; charset=UTF-8""}]",,,,,,not_downloaded,"10 Frontier Technologies: Al, Synthetic"
,,1.0,4005,,,8393078e1ce0,"[{""status"": ""html_landing"", ""method"": ""record_url"", ""source_url"": ""https://books.google.com/books?hl=en&lr=&id=ClTCEQAAQBAJ&oi=fnd&pg=PA26&dq=GPT+%22single+cell%22+%22gene+expression%22+generative&ots=qPfs7dmWBo&sig=uVm_JwD4Lh3IwCfZB9I8XYNBS3E"", ""final_url"": ""https://books.google.bg/books?hl=en&lr=&id=ClTCEQAAQBAJ&oi=fnd&pg=PA26&dq=GPT+%22single+cell%22+%22gene+expression%22+generative&ots=qPfs7dmWBo&sig=uVm_JwD4Lh3IwCfZB9I8XYNBS3E&redir_esc=y"", ""content_type"": ""text/html; charset=UTF-8""}]",,,,,,not_downloaded,cancer cell cycle
,,1.0,3805,,,854d88148fee,"[{""candidate"": ""https://aacrjournals.org/cancerres/article/86/7_Supplement/2754/778628"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer.
,,1.0,4035,,,8108a90f6a21,"[{""status"": ""html_landing"", ""method"": ""record_url"", ""source_url"": ""https://books.google.com/books?hl=en&lr=&id=2dfCEQAAQBAJ&oi=fnd&pg=PA87&dq=GPT+%22single+cell%22+%22gene+expression%22+generative&ots=scEES1hR6O&sig=ujIIx6wRG-SPLVWCi51MOirXOtg"", ""final_url"": ""https://books.google.bg/books?hl=en&lr=&id=2dfCEQAAQBAJ&oi=fnd&pg=PA87&dq=GPT+%22single+cell%22+%22gene+expression%22+generative&ots=scEES1hR6O&sig=ujIIx6wRG-SPLVWCi51MOirXOtg&redir_esc=y"", ""content_type"": ""text/html; charset=UTF-8""}]",,,,,,not_downloaded,medicine discovery by systems
,,1.0,3749,,10.1016/j.jad.2026.121532,7a56c13d5c56,"[{""status"": ""html_landing"", ""method"": ""doi_landing"", ""source_url"": ""https://doi.org/10.1016/j.jad.2026.121532"", ""final_url"": ""https://linkinghub.elsevier.com/retrieve/pii/S0165032726003836"", ""content_type"": ""text/html;charset=UTF-8""}]",,,,41780696.0,,not_downloaded,"Neurobiological architecture of first-episode, drug-naive late-life depression: Insights from multimodal MRI, transcriptomics, and neurotransmitter mapping."
,,1.0,4081,,,694131caaac4,"[{""candidate"": ""https://www.researchgate.net/profile/Sunny-Rao-2/publication/401125478_Causal_Discovery_in_Spatially-Resolved_Transcriptomics_via_Heterogeneous_Graph_Neural_Networks_for_Decoding_Tumor_Microenvironment_Interactions/links/699cf023ca66ef6ab99662cd/Causal-Discovery-in-Spatially-Resolved-Transcriptomics-via-Heterogeneous-Graph-Neural-Networks-for-Decoding-Tumor-Microenvironment-Interactions.pdf"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,Causal Discovery in Spatially-Resolved Transcriptomics via Heterogeneous Graph Neural Networks for Decoding Tumor Microenvironment Interactions
,,1.0,4087,,,23e4dcb7fc2e,"[{""status"": ""html_landing"", ""method"": ""record_url"", ""source_url"": ""https://openarchive.ki.se/articles/thesis/Integrative_analysis_of_morphological_and_chemical_signatures_for_understanding_drug_perturbations_in_diverse_cancer_cell_models/30466082"", ""final_url"": ""https://openarchive.ki.se/articles/thesis/Integrative_analysis_of_morphological_and_chemical_signatures_for_understanding_drug_perturbations_in_diverse_cancer_cell_models/30466082"", ""content_type"": ""text/html; charset=UTF-8""}]",,,,,,not_downloaded,Integrative analysis of morphological and chemical signatures for understanding drug perturbations in diverse cancer cell models
,,1.0,4089,,,112d2f513c33,"[{""candidate"": ""https://www.sciencedirect.com/science/article/pii/S0031320326002840"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,VitaMol: Lightweight molecular modality expansion in discrete space for multi-task transfer learning
,,1.0,4088,,,3cdb291ba551,"[{""candidate"": ""https://academic.oup.com/gpb/advance-article-abstract/doi/10.1093/gpbjnl/qzag022/8510723"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,The 2025 Westlake Autumn Symposium for Al Proteomics and Virtual Cell
,,1.0,4034,,,80d8f02d2827,"[{""status"": ""html_landing"", ""method"": ""record_url"", ""source_url"": ""https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781003545781-13&type=chapterpdf"", ""final_url"": ""https://www.taylorfrancis.com/chapters/edit/10.1201/9781003545781-13/uncovering-complicated-plant-biological-networks-assistance-artificial-intelligence-tools-kamalakkannan-charulekha-agnishwar-girigoswami-koyeli-girigoswami-mani-manoj-pragya-pallavi-pemula-gowtham-asirvatham-alwin-robert-arumugam-vijaya-anand"", ""content_type"": ""text/html; charset=UTF-8""}]",,,,,,not_downloaded,Uncovering Complicated Plant Biological Networks through the Assistance of Artificial Intelligence Tools
,,1.0,3763,,10.1158/1538-7445.am2026-1467,d70500e90fab,"[{""candidate"": ""https://doi.org/10.1158/1538-7445.am2026-1467"", ""method"": ""doi_landing"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,Abstract 1467: Mechanism-aware cancer therapy planning with group-relative policy optimization on a multimodal oncology foundation model.
,,1.0,4112,,,a86a5642f932,"[{""candidate"": ""https://www.researchgate.net/profile/Ruiqi-Chen-28/publication/403524021_MID_A_Multi-Task_Deep_Learning_Approach_Integrating_Multi-Omics_and_Clinical_Data_for_Precision_Health/links/69d2aaad9f53d47411c48683/MID-A-Multi-Task-Deep-Learning-Approach-Integrating-Multi-Omics-and-Clinical-Data-for-Precision-Health.pdf"", ""method"": ""record_url"", ""status_code"": 403, ""content_type"": ""text/html; charset=UTF-8"", ""impersonate"": ""safari17_0""}]",,,,,,not_downloaded,MID: A Multi-Task Deep Learning Approach Integrating Multi-Omics and Clinical Data for Precision Health
